"COMID","UNIQUE_ID","SITE_ID","VISIT_NO","YEAR","WSAREASQKM","WSAREASQKMRP100","CATAREASQKM","CATAREASQKMRP100","PCTHBWET2013CATRP100","PCTHBWET2013WSRP100","PCTOW2013CATRP100","PCTOW2013WSRP100","PCTHAY2013CATRP100","PCTHAY2013WSRP100","PCTWDWET2013CATRP100","PCTWDWET2013WSRP100","PCTSHRB2013CATRP100","PCTSHRB2013WSRP100","PCTURBHI2013CATRP100","PCTURBHI2013WSRP100","PCTICE2013CATRP100","PCTICE2013WSRP100","PCTMXFST2013CATRP100","PCTMXFST2013WSRP100","PCTURBLO2013CATRP100","PCTURBLO2013WSRP100","PCTURBMD2013CATRP100","PCTURBMD2013WSRP100","PCTCONIF2013CATRP100","PCTCONIF2013WSRP100","PCTCROP2013CATRP100","PCTCROP2013WSRP100","PCTDECID2013CATRP100","PCTDECID2013WSRP100","PCTURBOP2013CATRP100","PCTURBOP2013WSRP100","PCTGRS2013CATRP100","PCTGRS2013WSRP100","PCTAGDRAINAGECAT","PCTAGDRAINAGEWS","PCTHBWET2013CAT","PCTHBWET2013WS","PCTOW2013CAT","PCTOW2013WS","PCTHAY2013CAT","PCTHAY2013WS","PCTWDWET2013CAT","PCTWDWET2013WS","PCTSHRB2013CAT","PCTSHRB2013WS","PCTURBHI2013CAT","PCTURBHI2013WS","PCTICE2013CAT","PCTICE2013WS","PCTMXFST2013CAT","PCTMXFST2013WS","PCTURBLO2013CAT","PCTURBLO2013WS","PCTURBMD2013CAT","PCTURBMD2013WS","PCTCONIF2013CAT","PCTCONIF2013WS","PCTCROP2013CAT","PCTCROP2013WS","PCTDECID2013CAT","PCTDECID2013WS","PCTURBOP2013CAT","PCTURBOP2013WS","PCTGRS2013CAT","PCTGRS2013WS","PCTOW2019CATRP100","PCTOW2019WSRP100","PCTWDWET2019CATRP100","PCTWDWET2019WSRP100","PCTDECID2019CATRP100","PCTDECID2019WSRP100","PCTHBWET2019CATRP100","PCTHBWET2019WSRP100","PCTCONIF2019CATRP100","PCTCONIF2019WSRP100","PCTSHRB2019CATRP100","PCTSHRB2019WSRP100","PCTURBHI2019CATRP100","PCTURBHI2019WSRP100","PCTURBLO2019CATRP100","PCTURBLO2019WSRP100","PCTICE2019CATRP100","PCTICE2019WSRP100","PCTURBMD2019CATRP100","PCTURBMD2019WSRP100","PCTURBOP2019CATRP100","PCTURBOP2019WSRP100","PCTCROP2019CATRP100","PCTCROP2019WSRP100","PCTHAY2019CATRP100","PCTHAY2019WSRP100","PCTMXFST2019CATRP100","PCTMXFST2019WSRP100","PCTGRS2019CATRP100","PCTGRS2019WSRP100","PCTCROP2008CATRP100","PCTCROP2008WSRP100","PCTHAY2008CATRP100","PCTHAY2008WSRP100","PCTGRS2008CATRP100","PCTGRS2008WSRP100","PCTOW2008CATRP100","PCTOW2008WSRP100","PCTURBLO2008CATRP100","PCTURBLO2008WSRP100","PCTURBOP2008CATRP100","PCTURBOP2008WSRP100","PCTSHRB2008CATRP100","PCTSHRB2008WSRP100","PCTMXFST2008CATRP100","PCTMXFST2008WSRP100","PCTURBHI2008CATRP100","PCTURBHI2008WSRP100","PCTWDWET2008CATRP100","PCTWDWET2008WSRP100","PCTDECID2008CATRP100","PCTDECID2008WSRP100","PCTICE2008CATRP100","PCTICE2008WSRP100","PCTURBMD2008CATRP100","PCTURBMD2008WSRP100","PCTHBWET2008CATRP100","PCTHBWET2008WSRP100","PCTCONIF2008CATRP100","PCTCONIF2008WSRP100","PCTIMP2008CATRP100","PCTIMP2008WSRP100","PCTIMP2019CATRP100","PCTIMP2019WSRP100","PCTIMP2013CATRP100","PCTIMP2013WSRP100","PCTIMP2008CAT","PCTIMP2008WS","PCTIMP2019CAT","PCTIMP2019WS","PCTIMP2013CAT","PCTIMP2013WS","PCTOW2019CAT","PCTOW2019WS","PCTWDWET2019CAT","PCTWDWET2019WS","PCTDECID2019CAT","PCTDECID2019WS","PCTHBWET2019CAT","PCTHBWET2019WS","PCTCONIF2019CAT","PCTCONIF2019WS","PCTSHRB2019CAT","PCTSHRB2019WS","PCTURBHI2019CAT","PCTURBHI2019WS","PCTURBLO2019CAT","PCTURBLO2019WS","PCTICE2019CAT","PCTICE2019WS","PCTURBMD2019CAT","PCTURBMD2019WS","PCTURBOP2019CAT","PCTURBOP2019WS","PCTCROP2019CAT","PCTCROP2019WS","PCTHAY2019CAT","PCTHAY2019WS","PCTMXFST2019CAT","PCTMXFST2019WS","PCTGRS2019CAT","PCTGRS2019WS","PCTCROP2008CAT","PCTCROP2008WS","PCTHAY2008CAT","PCTHAY2008WS","PCTGRS2008CAT","PCTGRS2008WS","PCTOW2008CAT","PCTOW2008WS","PCTURBLO2008CAT","PCTURBLO2008WS","PCTURBOP2008CAT","PCTURBOP2008WS","PCTSHRB2008CAT","PCTSHRB2008WS","PCTMXFST2008CAT","PCTMXFST2008WS","PCTURBHI2008CAT","PCTURBHI2008WS","PCTWDWET2008CAT","PCTWDWET2008WS","PCTDECID2008CAT","PCTDECID2008WS","PCTICE2008CAT","PCTICE2008WS","PCTURBMD2008CAT","PCTURBMD2008WS","PCTHBWET2008CAT","PCTHBWET2008WS","PCTCONIF2008CAT","PCTCONIF2008WS"
15236258,"NRS_AR-10040","FW08AR004",1,2008,5.6313,1.0728,2.835,0.5463,0,0,0.16,0.08,0,0,0,0,0,0,0,0,0,0,33.28,34.98,1.65,1.09,0,0,10.71,11.58,0,0,40.36,41.28,13.84,10.99,0,0,0,0,0,0,0.03,0.02,0,0,0,0,0.57,0.29,0,0,0,0,36.29,39.49,0.35,0.37,0,0,22.1,23.33,0,0,36.57,33.07,3.17,2.97,0.92,0.46,0.16,0.08,0,0,40.36,41.28,0,0,10.71,11.58,0,0,0,0,1.65,1.09,0,0,0,0,13.84,10.99,0,0,0,0,33.28,34.98,0,0,0,0,0,0,0,0,0.16,0.08,1.65,1.09,13.84,10.99,1.48,0.76,32.95,34.82,0,0,0,0,40.2,41.19,0,0,0,0,0,0,9.72,11.07,1.22,0.99,1.22,0.99,1.22,0.99,0.27,0.3,0.27,0.3,0.27,0.3,0.03,0.02,0,0,36.44,33,0,0,22.1,23.33,1.46,0.74,0,0,0.35,0.37,0,0,0,0,3.17,2.97,0,0,0,0,36.32,39.51,0.13,0.06,0,0,0,0,0.13,0.06,0.03,0.02,0.35,0.37,3.17,2.97,1.75,1.79,35.56,38.79,0,0,0,0,36.38,32.46,0,0,0,0,0,0,22.63,23.54
7805589,"NRS_AR-10016","FW08AR007",1,2008,235.1862,44.9208,0.5427,0.1251,3.6,0.01,0,0.04,12.95,14.6,0,0.04,2.16,2.54,0,0,0,0,28.78,35.66,0,0.65,0,0.04,0,25.67,0,0,52.52,15.69,0,3.76,0,1.28,0,0,0.83,0,0,0.05,27.03,10.09,0,0.01,6.97,4.31,0,0,0,0,11.11,33.18,0.5,0.5,0,0.08,15.75,35.21,0,0,17.08,11.8,1,3.06,19.73,1.69,0,0.04,0,0.04,52.52,16.02,3.6,0.01,0,25.9,0,3.04,0,0,0,0.65,0,0,0,0.05,0,3.76,0,0,12.95,14.5,30.94,35.7,0,0.27,0,0,12.95,15.51,2.16,1.51,0,0.04,0,0.65,0,3.76,0,3.08,28.78,35.1,0,0,0,0.04,52.52,15.02,0,0,0,0.04,3.6,0.01,0,25.24,0,0.41,0,0.4,0,0.4,0.24,0.32,0.24,0.33,0.24,0.32,0,0.04,0,0.01,22.22,14.2,0.83,0,18.24,35.49,19.9,2.95,0,0,0.5,0.5,0,0,0,0.08,1,3.07,0,0,25.37,9.96,11.94,33.48,0,0.2,0,0,29.52,10.43,6.97,1.11,0,0.04,0.5,0.49,1,3.06,0,4.65,11.77,32.84,0,0,0,0.01,22.89,12.06,0,0,0,0.07,0.83,0,26.53,35.21
21923571,"NRS_AR-10026","FW08AR008",1,2008,3.2112,1.1214,1.3158,0.3645,0,0,0,0,0,0,20.25,6.82,15.06,10.91,0,0,0,0,8.64,5.94,0.49,1.12,0,0.16,36.3,62.52,0,0,17.04,8.91,2.22,2.81,0,0.8,0,0,0,0,0,0,0,0,11.9,4.96,37.82,25.08,0,0,0,0,4.04,3.11,1.78,3,0,0.08,30.92,53.17,0,0,5.13,3.56,3.01,4.01,5.4,3.03,0,0,20.25,6.82,17.04,9.39,0,0,47.65,66.13,2.47,2.41,0,0,0.49,1.12,0,0,0,0.32,2.22,2.65,0,0,0,0,8.89,4.9,0.99,6.26,0,0,0,0,14.81,4.82,0,0,0.49,1.12,2.22,2.89,1.73,9.23,8.4,5.86,0,0,20,6.74,17.04,9.07,0,0,0,0.08,0.25,0.08,35.06,60.11,0.18,0.61,0.18,0.49,0.18,0.49,0.67,1.12,0.85,1.38,0.7,1.17,0,0,11.9,4.96,7.73,6.19,0,0,62.86,68.08,6.22,4.6,0.07,0.03,1.92,3.11,0,0,0.07,0.34,2.74,3.62,0,0,0,0,4.1,2.38,2.39,6.7,0,0,0,0,29.96,12.3,0,0,1.71,2.94,3.08,4.12,4.45,11.69,3.97,3.08,0,0,11.22,4.68,5.13,3.78,0,0,0,0.03,0.68,0.28,39.81,57.09
22702780,"NRS_AR-10055","FW08AR009",1,2008,12.4587,3.6117,1.1925,0.2376,1.14,0.07,0,0,35.23,16.02,13.26,2.29,6.44,8.72,0,0,0,0,4.55,13.11,0,0.67,0.38,0.1,6.44,26.26,0,0,29.17,28.26,3.41,1.94,0,2.54,0,0,0.23,0.02,0.08,0.03,70.42,27.01,3.17,0.87,1.36,7.51,0,0.07,0,0,2.04,8.24,0.23,0.86,0.08,0.16,2.04,32.11,0,0,16.53,15.29,3.85,2.88,0,4.8,0,0,13.64,2.32,30.3,26.79,0.76,0.05,11.36,33.24,0,3.59,0,0,0.38,0.7,0,0,0.38,0.22,3.03,1.79,0,0,35.23,16,4.92,13.53,0,1.77,0,0,35.23,16.3,1.14,12.58,0,0,0,0.7,3.79,1.97,0,0.1,4.55,12.26,0,0,12.88,2.27,31.06,27.59,0,0,0,0,1.52,0.1,9.85,26.14,0.59,0.46,0.25,0.36,0.25,0.33,0.25,0.5,0.38,0.68,0.31,0.61,0.08,0.03,3.25,0.87,16.75,14.72,0.15,0.01,3.09,37.48,0,2.72,0,0.07,0.38,0.89,0,0,0.08,0.27,3.7,2.75,0,0,70.42,26.92,2.11,8.44,0,4.61,0,0,70.42,27.34,0.3,13.44,0.08,0.03,0.15,0.87,4,2.88,0,0.32,2.04,7.89,0,0,3.09,0.86,16.91,14.99,0,0,0,0.09,0.3,0.03,2.72,31.12
7764647,"NRS_AR-10082","FW08AR035",1,2008,9.1206,1.4373,2.2149,0.3186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21,2.25,0,0,0,0,1.69,1.82,0,0,87.85,94.99,4.24,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,1.74,0,0,0,0,9.63,4.83,0,0,83.99,91.47,3.01,1.96,0,0,0,0,0,0,87.85,94.99,0,0,1.69,1.82,0,0,0,0,0,0,0,0,0,0,4.24,0.94,0,0,0,0,6.21,2.25,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0.94,0,0,6.21,2.25,0,0,0,0,87.85,94.99,0,0,0,0,0,0,1.69,1.82,0.04,0.01,0.04,0.01,0.04,0.01,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,83.99,91.47,0,0,9.63,4.83,0,0,0,0,0,0,0,0,0,0,3.01,1.96,0,0,0,0,3.37,1.74,0,0,0,0,0,0,0,0,0,0,0,0,3.01,1.96,0,0,3.37,1.74,0,0,0,0,83.99,91.47,0,0,0,0,0,0,9.63,4.83
14191085,"NRS_AR-10108","FW08AR067",1,2008,2349122.2848,377290.6866,17.9973,2.1258,2.33,2.83,20.32,0.78,0,9.99,61.13,4.84,0,8.64,0.04,0.17,0,0,0.51,3.36,0.3,1.59,0.3,0.63,0,3.53,13.8,21.66,0.25,17.73,0.34,3.1,0,20.88,3.48,7.6,0.84,1.38,55.06,1.62,0.03,9.22,23.72,2.1,0,8.46,0.01,0.29,0,0.01,0.17,2.45,0.12,1.78,0.08,0.83,0,3.64,18.62,29.97,0.12,14.72,1.07,2.87,0,20.38,20.79,0.84,62.07,4.86,0.25,17.73,1.4,2.83,0,3.51,0,8.72,0.04,0.19,0.3,1.6,0,0,0.3,0.7,0.34,3.07,13.34,21.98,0,9.88,0.51,3.37,0.21,20.47,13.8,21.34,0,10.24,0,21.13,21.08,0.71,0.3,1.58,0.34,3.1,0,8.62,0.51,3.33,0.04,0.16,59.86,4.78,0.25,17.68,0,0,0.3,0.58,2.41,2.9,0,3.56,0.37,1.35,0.37,1.26,0.37,1.22,0.11,1.52,0.14,1.66,0.13,1.58,55.48,1.63,23.78,2.1,0.12,14.75,0.59,1.4,0,3.62,0,8.54,0.02,0.31,0.12,1.8,0,0.01,0.09,0.92,1.05,2.83,18.4,30.35,0.03,9.08,0.17,2.46,0.03,19.92,18.62,29.5,0.03,9.52,0,20.68,55.29,1.57,0.1,1.77,1.11,2.88,0,8.43,0.17,2.42,0.01,0.27,23.52,2.07,0.12,14.69,0,0.01,0.06,0.78,0.75,1.43,0,3.69
14189961,"NRS_AR-10115","FW08AR078",1,2008,2326312.3599,373003.3602,14.0643,1.6884,0.91,2.85,33.1,0.77,0.11,10.03,52.29,4.74,0,8.74,0,0.18,0,0,0.53,3.37,0.05,1.59,0.05,0.63,0,3.56,5.54,21.27,0.32,17.77,0.16,3.1,0,21.12,0,7.34,0.22,1.39,58.8,1.62,0.26,9.26,29.56,2.04,0,8.54,0,0.29,0,0.01,0.12,2.46,0.01,1.78,0.01,0.84,0,3.67,4.84,29.65,0.12,14.73,0.06,2.87,0.6,20.58,34.65,0.84,50.85,4.76,0.32,17.77,1.01,2.86,0,3.55,0,8.82,0,0.19,0.11,1.61,0,0,0.16,0.7,0,3.07,5.49,21.59,0.11,9.92,0.53,3.38,0.37,20.71,5.44,20.94,0.11,10.28,0,21.37,32.3,0.71,0.05,1.58,0.21,3.11,0,8.72,0.53,3.35,0,0.16,52.51,4.68,0.32,17.73,0,0,0,0.59,1.6,2.92,0,3.6,0.14,1.35,0.06,1.27,0.03,1.22,0.01,1.52,0.02,1.66,0.01,1.58,59.05,1.62,29.38,2.05,0.12,14.76,0.2,1.41,0,3.66,0,8.63,0,0.31,0.02,1.8,0,0.01,0.02,0.92,0.04,2.83,4.84,30.03,0.26,9.12,0.12,2.47,0.65,20.12,4.83,29.16,0.26,9.57,0.6,20.89,58.78,1.57,0.01,1.77,0.07,2.88,0,8.51,0.12,2.43,0,0.27,29.54,2.01,0.12,14.71,0,0.01,0,0.78,0.29,1.44,0,3.73
18055942,"NRS_AR-10120","FW08AR087",1,2008,2823939.7956,451233.7065,3.1806,0.4563,3.16,2.53,12.43,0.76,0,10.2,65.29,4.69,0,8.79,0,0.16,0,0,0,3.32,0,1.49,0,0.59,0,3.73,0.99,20.22,0,18.3,0,2.99,0,21.95,0,6.62,1.5,1.21,46.38,1.54,0,9.39,43.01,2,0,8.97,0,0.27,0,0.01,0,2.37,0,1.68,0,0.79,0,3.84,2.69,28.34,0,14.52,0.08,2.83,0,21.98,35.31,0.83,61.14,4.7,0,18.32,1.78,2.54,0,3.71,0,8.84,0,0.18,0,1.51,0,0,0,0.66,0,2.96,0.39,20.51,0,10.1,0,3.33,0,21.57,0.99,19.92,0,10.43,0,22.21,13.21,0.71,0,1.48,0,3,0,8.74,0,3.3,0,0.15,66.27,4.64,0,18.26,0,0,0,0.55,1.38,2.59,0,3.76,0,1.27,0,1.19,0,1.14,0,1.44,0,1.58,0,1.5,52.24,1.55,40.27,2,0,14.55,4.16,1.23,0,3.82,0,9.03,0,0.3,0,1.7,0,0.01,0,0.88,0.08,2.79,1.56,28.7,0,9.27,0,2.38,0,21.54,3.06,27.89,0,9.66,0,22.31,46.69,1.51,0,1.67,0.08,2.84,0,8.9,0,2.34,0,0.25,42.76,1.97,0,14.5,0,0.01,0,0.74,1.05,1.26,0,3.89
18057726,"NRS_AR-10162","FW08AR205",1,2008,2824504.1892,451284.2145,33.6663,2.8224,3.09,2.53,5.17,0.76,0,10.2,87.69,4.7,0,8.79,0.03,0.16,0,0,0.13,3.32,0.06,1.49,0.06,0.59,0,3.73,2.26,20.22,0.03,18.3,0.26,2.99,0,21.95,0.01,6.62,1.07,1.21,43.79,1.55,0.01,9.39,49.99,2.01,0,8.97,0.21,0.27,0,0.01,0.02,2.37,0.29,1.68,0.23,0.79,0,3.84,2.84,28.33,0,14.51,1.43,2.83,0,21.97,8.77,0.83,84.95,4.71,0.03,18.32,2.33,2.54,0,3.71,0,8.84,0.03,0.18,0.32,1.51,0,0,0.38,0.66,0.41,2.96,1.91,20.51,0,10.09,0.13,3.33,0,21.57,2.3,19.92,0,10.43,0,22.21,5.52,0.71,0.06,1.48,0.35,3,0,8.74,0.13,3.3,0,0.15,87.4,4.65,0.03,18.26,0,0,0,0.55,3,2.59,0,3.76,0.42,1.27,0.04,1.19,0.04,1.14,0.47,1.44,0.65,1.58,0.49,1.5,45.03,1.56,48.95,2.01,0,14.55,0.95,1.23,0,3.82,0,9.03,0.24,0.3,0.39,1.7,0,0.01,0.38,0.88,1.32,2.79,2.64,28.69,0.01,9.27,0.02,2.38,0,21.54,2.87,27.88,0.01,9.66,0,22.31,43.77,1.51,0.28,1.67,1.46,2.84,0,8.9,0.02,2.34,0.2,0.25,50.27,1.98,0,14.5,0,0.01,0.21,0.73,0.77,1.26,0,3.89
7476356,"NRS_AR-10186","FW08AR274",1,2008,2325888.8847,372937.3578,7.3332,0.7722,1.98,2.85,14.92,0.77,0,10.03,71.56,4.73,0,8.74,0,0.17,0,0,2.45,3.37,0,1.59,0,0.63,0,3.56,6.64,21.27,0.58,17.77,0,3.1,0,21.13,0.01,7.34,0.58,1.39,61.21,1.61,0.65,9.26,32,2.04,0,8.54,0,0.29,0,0.01,0.88,2.46,0,1.78,0,0.83,0,3.67,2.44,29.65,1.03,14.73,0.06,2.87,0.5,20.59,16.2,0.84,69.58,4.75,0.58,17.78,2.68,2.86,0,3.55,0,8.82,0,0.19,0,1.61,0,0,0,0.7,0,3.07,6.64,21.59,0,9.92,2.45,3.38,0,20.71,6.64,20.94,0,10.28,0,21.37,14.8,0.71,0,1.58,0,3.1,0,8.72,2.45,3.35,0,0.16,70.16,4.68,0.58,17.73,0,0,0,0.59,3.5,2.92,0,3.6,0,1.35,0,1.27,0,1.22,0,1.52,0,1.66,0,1.58,61.35,1.62,31.8,2.04,1.03,14.76,0.63,1.41,0,3.66,0,8.63,0,0.31,0,1.8,0,0.01,0,0.92,0.06,2.83,2.52,30.03,0.65,9.12,0.88,2.47,0.43,20.12,2.44,29.17,0.65,9.57,0.5,20.89,60.97,1.56,0,1.77,0.06,2.88,0,8.52,0.88,2.43,0,0.27,32.13,2.01,1.03,14.71,0,0.01,0,0.78,0.68,1.44,0,3.73
