UID,SAMPLE_ID,DATE_COL,SITE_ID,VISIT_NO,dD (vsmow),d18O (vsmow),d-excess,LAT_DD83,LON_DD83
13371,550851,6/15/2009,FW08AL001,1,-24.13,-4.54,12.15,33.22341539,-86.88815694
13371,548721,6/15/2009,FW08AL001,1,-24.72,-4.69,12.84,33.22341539,-86.88815694
13791,552051,7/9/2009,FW08AL001,2,-24.85,-4.83,13.81,33.22341539,-86.88815694
13793,552991,7/10/2009,FW08AL002,2,-21.35,-3.81,9.13,33.424918,-86.77562358
13792,548431,6/26/2009,FW08AL002,1,-21.37,-4.15,11.85,33.424918,-86.77562358
13792,548731,6/26/2009,FW08AL002,1,-21.13,-4.13,11.94,33.424918,-86.77562358
14525,553461,8/13/2009,FW08AL003,1,-10.68,-1.77,3.44,31.67663561,-87.08381335
13794,552981,7/1/2009,FW08AL004,1,-22.37,-4.05,10.06,33.87273064,-86.32362837
13902,543271,6/27/2009,FW08AL006,1,-23.42,-4.57,13.11,32.99386913,-86.3618639
13795,552391,7/19/2009,FW08AL007,1,-27.7,-5.08,12.91,34.09180468,-87.73796193
13796,552871,7/3/2009,FW08AL008,1,-27.13,-4.74,10.76,33.77873961,-85.75962636
13798,550861,6/25/2009,FW08AL009,1,-20.93,-3.85,9.89,33.35811668,-87.14547143
12992,548711,6/9/2009,FW08AL011,1,-26.71,-4.67,10.65,34.71586192,-85.61116941
13799,547911,7/2/2009,FW08AL012,2,-25.08,-3.89,6.07,34.95092177,-87.042028
12993,548451,6/7/2009,FW08AL012,1,-26.58,-4.58,10.05,34.95092177,-87.042028
12993,548441,6/7/2009,FW08AL012,1,-26.57,-4.62,10.42,34.95092177,-87.042028
13800,552481,7/16/2009,FW08AL013,1,-24.55,-4.26,9.51,33.26014983,-85.50357137
13801,552491,7/22/2009,FW08AL014,1,-16.86,-2.8,5.58,32.48594218,-85.72031495
14526,549581,8/15/2009,FW08AL015,1,-17.88,-3.22,7.87,31.08686327,-87.08175172
13802,549421,7/21/2009,FW08AL016,2,-20.73,-3.65,8.49,34.69505835,-87.76208738
13802,550751,7/21/2009,FW08AL016,2,-21.17,-3.92,10.19,34.69505835,-87.76208738
13372,550501,6/12/2009,FW08AL016,1,-25.94,-4.57,10.62,34.69505835,-87.76208738
13373,543281,6/28/2009,FW08AL018,1,-24.55,-4.78,13.69,32.93231611,-86.36246869
