PUBLICATION_DATE,UID,SITE_ID,VISIT_NO,YEAR,DATE_COL,AGGR_ECO9_2015,SAMPLE_TYPE,BENT_SAMPLE_TYPE,BENT_MMI_COND,OE_COND,SAMPLED_BENT,MMI_BENT,OE_SCORE,COMP_PT,DIVS_PT,FEED_PT,HABT_PT,RICH_PT,TOLR_PT,BURRPTAX,CHIRPTAX,CLNGNTAX,CLNGPTAX,DOM5PIND,EPHENTAX,EPHEPTAX,EPT_NTAX,EPT_PIND,EPT_PTAX,HPRIME,INTLNTAX,NOINPIND,NTOLNTAX,NTOLPTAX,SCRPNTAX,SHRDNTAX,STOLPTAX,TOLRPTAX
9/2/2015,10000,FW08KS001,1,2008,5-Aug-08,SPL,BENT,BERWW,Good,O/E>0.9,YES,39.6,1.17468923,5.05,6.82,2.86,2.84,3.33,2.86,27.27,,,,,,,6,33.67,,2.6,3,,,,3,,,
9/2/2015,10001,FW08KS003,1,2008,11-Aug-08,SPL,BENT,BERWW,Good,O/E<0.5,YES,50.93,0.438390167,6.53,6.59,5.71,4.11,3.33,4.29,23.33,,,,,,,6,43.33,,2.55,4,,,,5,,,
9/2/2015,10002,FW08KS005,1,2008,22-Jul-08,TPL,BENT,BERWW,Poor,O/E<0.8,YES,17.3,0.724566489,0.06,3.98,3.75,0.59,2,0,,,4,,,3,,,1.17,,2.11,,,,,4,,34.78,
9/2/2015,10003,FW08KS006,1,2008,12-Aug-08,SPL,BENT,BERWW,Poor,O/E<0.5,YES,15.68,0.27444883,0.98,0,0,3.57,2,2.86,25,,,,,,,4,7.1,,0.7,3,,,,1,,,
9/2/2015,10004,FW08KS012,1,2008,15-Jul-08,TPL,BENT,BERWW,Good,O/E>0.9,YES,77.17,1.265207863,7.58,7.16,6.25,8.82,9,7.49,,,18,,,10,,,61,,2.67,,,,,6,,11.63,
9/2/2015,10006,FW08KS036,1,2008,25-Aug-08,SPL,BENT,BERWW,Fair,O/E<0.8,YES,25.65,0.718467349,3.26,4.45,0,7.01,0.67,0,14.29,,,,,,,2,22,,2.1,1,,,,1,,,
9/2/2015,10007,FW08KS039,1,2008,8-Jul-08,TPL,BENT,BERWW,Poor,O/E<0.8,YES,25.58,0.685823222,0.75,4.66,5,2.94,2,0,,,8,,,3,,,6.67,,2.23,,,,,5,,42.31,
9/2/2015,10060,FW08LA011,1,2008,16-Jul-08,CPL,BENT,BELGB,Poor,O/E<0.8,YES,18.67,0.604519637,2.63,4.02,2.5,0,0,2.05,,,,13.64,,,,1,,,2.3,,54,,,,3,,40.91
9/2/2015,10109,FW08DE002,1,2008,20-Aug-08,CPL,BENT,BELGB,Poor,O/E>0.9,YES,34.62,0.925941401,1.57,5.74,2.5,3.09,3.75,4.12,,,,26.83,,,,7,,,2.59,,61.67,,,,3,,31.71
9/2/2015,10828,FW08KS033,1,2008,29-Jul-08,SPL,BENT,BERWW,Fair,O/E<0.8,YES,28.83,0.720381095,4.85,6.07,0,2.95,2,1.43,26.92,,,,,,,4,32.33,,2.44,2,,,,1,,,
9/2/2015,10829,FW08DE001,2,2008,3-Sep-08,CPL,BENT,BERWW,Fair,O/E>0.9,YES,42.32,1.125419445,7.19,8.11,3.75,2.21,1.25,2.88,,,,23.26,,,,3,,,2.99,,21,,,,4,,37.21
9/2/2015,10842,FW08DE013,1,2008,13-Aug-08,CPL,BENT,BERWW,Poor,O/E>0.9,YES,28.82,0.96563046,4.1,4.91,1.25,4.46,1.25,1.32,,,,32.35,,,,3,,,2.45,,43.33,,,,2,,44.12
9/2/2015,10854,FW08NV003,1,2008,16-Jun-08,XER,BENT,BERWW,Poor,O/E>0.9,YES,29,0.965331686,9.69,0.1,2.86,2.1,1.18,1.47,,,,26.32,91.82,,,3,,,,,4.33,,,2,,,31.58
9/2/2015,10856,FW08NV069,1,2008,6-Aug-08,XER,BENT,BERWW,Good,O/E>0.9,YES,68.12,1.418890987,9.9,6.49,5.71,3.33,7.65,7.79,,,,32.43,61.4,,,14,,,,,3.67,,,4,,,10.81
9/2/2015,10857,FW08NV003,2,2008,5-Aug-08,XER,BENT,BERWW,Poor,O/E<0.5,YES,15.98,0.361999382,0,2.01,5.71,1.28,0.59,0,,,,22.22,82.72,,,2,,,,,43,,,4,,,55.56
9/2/2015,10858,FW08NV004,1,2008,9-Jul-08,XER,BENT,BERWW,Fair,O/E>0.9,YES,51.37,1.093007753,0,6.03,8.57,4.34,7.65,4.23,,,,37.5,63.6,,,14,,,,,39.33,,,6,,,22.5
9/2/2015,10871,FW08NV004,2,2008,7-Aug-08,XER,BENT,BERWW,Fair,O/E<0.8,YES,54.38,0.776403116,2.65,6.65,5.71,4.41,7.06,6.15,,,,37.84,60.64,,,13,,,,,27.33,,,4,,,16.22
9/2/2015,10872,FW08NV005,1,2008,12-Jun-08,XER,BENT,BERWW,Poor,O/E>0.9,YES,30.53,0.97534195,0,2.19,2.86,4.46,3.53,5.28,,,,38.1,81.86,,,7,,,,,66.67,,,2,,,19.05
9/2/2015,10875,FW08NV006,1,2008,24-Jun-08,XER,BENT,BERWW,Fair,O/E<0.8,YES,50.47,0.657724896,10,1.29,2.86,7.32,3.53,5.28,,,,52.38,86.14,,,7,,,,,2.67,,,2,,,19.05
9/2/2015,10876,FW08NV008,1,2008,15-Jul-08,XER,BENT,BERWW,Good,O/E>0.9,YES,64.03,1.098863471,4.08,9.99,5.71,5.56,8.24,4.84,,,,43.59,44.76,,,15,,,,,22.67,,,4,,,20.51
9/2/2015,10885,FW08NV009,1,2008,10-Jun-08,XER,BENT,BERWW,Poor,O/E<0.9,YES,34.42,0.803091232,8.47,4.37,1.43,2.46,2.35,1.57,,,,28.12,71.48,,,5,,,,,8.33,,,1,,,31.25
9/2/2015,10886,FW08NV010,1,2008,25-Jun-08,XER,BENT,BERWW,Poor,O/E<0.9,YES,38.28,0.894210551,6.12,4.04,1.43,1.84,3.53,6.01,,,,25,73.05,,,7,,,,,16,,,1,,,16.67
9/2/2015,10887,FW08NV011,1,2008,25-Jun-08,XER,BENT,BERWW,Poor,O/E>0.9,YES,35.77,1.150722862,0,7.27,8.57,2.84,2.35,0.43,,,,30,57.69,,,5,,,,,43.33,,,6,,,35
9/2/2015,10888,FW08NV012,1,2008,3-Jun-08,XER,BENT,BERWW,Poor,O/E<0.8,YES,15.42,0.726301566,0,1.29,2.86,2.4,1.76,0.94,,,,27.78,86.16,,,4,,,,,56.67,,,2,,,33.33
9/2/2015,10889,FW08NV014,1,2008,26-Jun-08,XER,BENT,BERWW,Fair,O/E<0.9,YES,49.67,0.872659325,0.1,4.64,5.71,4.84,6.47,8.04,,,,40,70.22,,,12,,,,,35.67,,,4,,,10
9/2/2015,10890,FW08NV015,1,2008,27-Jun-08,XER,BENT,BERWW,Poor,O/E<0.8,YES,23.42,0.732418541,0,8.05,2.86,1.84,0,1.3,,,,25,53.96,,,1,,,,,50.67,,,2,,,32.14
9/2/2015,10893,FW08NV019,1,2008,22-Jul-08,XER,BENT,BERWW,Good,O/E<0.9,YES,63.02,0.840349019,9.49,4.17,4.29,4.17,7.65,8.04,,,,36.67,72.47,,,14,,,,,5,,,3,,,10
9/2/2015,10895,FW08NV019,2,2008,11-Aug-08,XER,BENT,BERWW,Fair,O/E>0.9,YES,47.93,1.114302728,10,5.2,2.86,0.54,4.71,5.45,,,,18.52,67.53,,,9,,,,,2.67,,,2,,,18.52
9/2/2015,10896,FW08NV022,1,2008,4-Jun-08,XER,BENT,BERWW,Poor,O/E>0.9,YES,32.13,1.087772096,0,5.09,7.14,4.7,2.35,0,,,,39.29,68.09,,,5,,,,,63.33,,,5,,,42.86
9/2/2015,10897,FW08NV026,1,2008,5-Jun-08,XER,BENT,BERWW,Poor,O/E>0.9,YES,41.83,1.088084343,1.43,5.94,4.29,5.12,3.53,4.79,,,,41.38,64.03,,,7,,,,,31.33,,,3,,,20.69
9/2/2015,10898,FW08NV028,1,2008,17-Jun-08,XER,BENT,BERWW,Good,O/E>0.9,YES,69.45,1.244105516,9.9,5.18,5.71,7.18,4.71,8.99,,,,51.72,67.64,,,9,,,,,3.67,,,4,,,6.9
9/2/2015,10899,FW08NV029,1,2008,11-Jun-08,XER,BENT,BERWW,Good,O/E>0.9,YES,70.83,1.205267446,8.06,5.92,7.14,7.43,8.24,5.71,,,,52.94,64.14,,,15,,,,,9.67,,,5,,,17.65
9/2/2015,10900,FW08NV031,1,2008,18-Jun-08,XER,BENT,BERWW,Poor,O/E<0.5,YES,12.95,0.355222525,0,2.06,5.71,0,0,0,,,,8.7,82.48,,,1,,,,,85,,,4,,,60.87
9/2/2015,10901,FW08NV032,1,2008,10-Jun-08,XER,BENT,BERWW,Fair,O/E>0.9,YES,56.43,0.904909954,9.79,4.45,1.43,7.37,2.94,7.88,,,,52.63,71.11,,,6,,,,,4,,,1,,,10.53
9/2/2015,10918,FW08NV033,1,2008,11-Jun-08,XER,BENT,BERWW,Poor,O/E<0.8,YES,20.7,0.778361306,0,0,2.86,5.08,2.35,2.13,,,,41.18,93.67,,,5,,,,,83.67,,,2,,,29.41
9/2/2015,10922,FW08NV034,1,2008,24-Jul-08,XER,BENT,BERWW,Poor,O/E<0.8,YES,40.72,0.51141175,8.52,4.51,0,0.59,3.53,7.28,,,,18.75,70.83,,,7,,,,,8.16,,,0,,,12.5
9/2/2015,10926,FW08NV035,1,2008,17-Jun-08,XER,BENT,BERWW,Poor,O/E<0.5,YES,7.07,0.277864908,0,2.81,1.43,0,0,0,,,,5.26,78.93,,,1,,,,,40.33,,,1,,,57.89
9/2/2015,10927,FW08NV037,1,2008,26-Jun-08,XER,BENT,BERWW,Good,O/E>0.9,YES,61.18,0.958633292,0,7.08,8.57,7.4,7.65,6.01,,,,52.78,58.59,,,14,,,,,49.67,,,6,,,16.67
9/2/2015,10928,FW08NV038,1,2008,3-Jun-08,XER,BENT,BERWW,Poor,O/E<0.8,YES,9.8,0.566906906,0,1.76,0,1.05,0,3.07,,,,21.05,83.93,,,1,,,,,46.01,,,0,,,26.32
9/2/2015,10951,FW08NV049,1,2008,31-Jul-08,XER,BENT,BERWW,Poor,O/E<0.8,YES,30,0.702685848,5.2,2.74,1.43,1.13,2.94,4.56,,,,21.43,79.25,,,6,,,,,19,,,1,,,21.43
9/2/2015,10954,FW08NV040,1,2008,30-Jun-08,XER,BENT,BERWW,Fair,O/E<0.9,YES,50.53,0.857962318,6.94,3.34,5.71,6.84,4.71,2.78,,,,50,76.41,,,9,,,,,13.33,,,4,,,27.27
