SITE_ID,YEAR,VISIT_NO,UNIQUE_ID,ECOWSA9,RT_WQI,CL_pt,SO4_pt,PTL_pt,NTL_pt,TURB_pt,ENTERO_PT,DO_PT,PH_PT,NUMVARN,WQII
FW08AL011,2009,1,NRS_AL-10005,SAP,S,7.79687988,9.962694628,1.360787172,0,10,0,10,10,8,61.40
FW08AL009,2009,1,NRS_AL-10006,SAP,R,10,0,10,10,10,10,,10,7,85.71
FW08AL004,2009,1,NRS_AL-10010,SAP,S,9.736571772,10,0.389562682,0,0,10,10,10,8,62.66
FW08AL002,2009,1,NRS_AL-10019,SAP,T,5.679312312,8.718596607,10,8.603773585,10,10,,10,7,90.00
FW08AL002,2009,2,NRS_AL-10019,SAP,T,6.263760961,8.581235627,10,10,10,10,10,10,8,93.56
FW08AL008,2009,1,NRS_AL-10020,SAP,T,10,10,8.798104956,6.301886792,10,10,10,10,8,93.87
FW08AL007,2009,1,NRS_AL-10023,SAP,S,10,10,4.282419825,10,9.95423341,0,10,10,8,80.30
FW08AL003,2009,1,NRS_AL-10024,CPL,S,10,10,10,10,5.219512195,10,10,10,8,94.02
FW08AL006,2009,1,NRS_AL-10026,SAP,R,10,10,0,0,5.789473684,10,10,10,8,69.74
FW08AL001,2009,1,NRS_AL-10029,SAP,R,9.863625826,10,10,10,9.176201373,10,10,10,8,98.80
FW08AL001,2009,2,NRS_AL-10029,SAP,R,10,10,6.372069971,10,10,10,10,10,8,95.47
FW08AL012,2009,1,NRS_AL-10031,SAP,S,7.966285285,9.956807729,0,0,10,10,10,10,8,72.40
FW08AL012,2009,2,NRS_AL-10031,SAP,S,7.136198799,10,0,0,0,10,10,10,8,58.92
ALR9-0901,2013,1,NRS_AL-10031,SAP,S,9.584953934,10,0,0,7.00228833,10,10,10,8,70.73
ALR9-0901,2013,2,NRS_AL-10031,SAP,S,7.943415556,10,0,0,2.860411899,10,10,10,8,63.50
NRS18_AL_10002,2018,1,NRS_AL-10031,SAP,S,9.116547988,10,0,0,0,10,10,10,8,61.40
NRS18_AL_10002,2018,2,NRS_AL-10031,SAP,S,8.023883123,10,0,0,0,10,10,10,8,60.03
FW08AL013,2009,1,NRS_AL-10032,SAP,S,10,10,7.630087464,10,10,0,10,10,8,84.54
ALS9-0916,2013,1,NRS_AL-10032,SAP,S,10,10,0,0,0,10,10,10,8,62.50
ALS9-0916,2013,2,NRS_AL-10032,SAP,S,10,10,0,0,0,0,8,10,8,47.50
FW08AL014,2009,1,NRS_AL-10033,CPL,S,10,6.81301765,10,5.591397849,10,10,10,10,8,90.51
ALR9-0902,2014,1,NRS_AL-10033,CPL,S,10,9.46145071,10,9.935483871,10,10,10,10,8,99.25
ALR9-0902,2014,2,NRS_AL-10033,CPL,S,10,10,10,10,10,10,10,10,8,100.00
FW08AL015,2009,1,NRS_AL-10034,CPL,S,10,10,10,10,10,10,,10,7,100.00
ALR9-0903,2014,1,NRS_AL-10034,CPL,S,10,10,10,10,10,0,10,10,8,87.50
NRS18_AL_10006,2019,1,NRS_AL-10034,CPL,S,10,10,10,10,10,10,10,10,8,100.00
FW08AL016,2009,1,NRS_AL-10035,SAP,S,10,10,10,9.886792453,10,10,10,10,8,99.86
FW08AL016,2009,2,NRS_AL-10035,SAP,S,10,10,10,10,4.462242563,10,10,10,8,93.08
ALS9-0917,2014,1,NRS_AL-10035,SAP,S,10,10,9.912536443,10,9.496567506,0,10,10,8,86.76
ALS9-0917,2014,2,NRS_AL-10035,SAP,S,10,10,7.580174927,7.962264151,6.659038902,10,10,10,8,90.25
FW08AL018,2009,1,NRS_AL-10037,SAP,S,10,10,10,10,3.409610984,0,10,10,8,79.26
ALS9-0918,2013,1,NRS_AL-10037,SAP,S,10,10,5.247813411,10,8.627002288,10,10,10,8,92.34
FW08AL019,2009,1,NRS_AL-10038,CPL,S,10,10,10,10,0,10,0,10,8,75.00
ALS9-0919,2013,1,NRS_AL-10038,CPL,S,10,10,10,10,0,10,0.85,10,8,76.06
NRS18_AL_10004,2019,1,NRS_AL-10038,CPL,S,10,10,10,10,0,10,0.6,10,8,75.75
NRS18_AL_10004,2019,2,NRS_AL-10038,CPL,S,10,10,10,6.795698925,0,10,0,10,8,70.99
FW08AL020,2009,1,NRS_AL-10039,SAP,T,8.660847447,9.582989632,0,0,10,10,10,10,8,72.80
ALR9-0904,2013,1,NRS_AL-10039,SAP,T,9.776382042,9.573080019,0,0,10,10,10,10,8,74.19
NRS18_AL_10007,2018,1,NRS_AL-10039,SAP,T,6.76265988,9.451711781,8.902040816,0,6.681922197,10,10,10,8,77.25
FW08AL021,2009,1,NRS_AL-10040,CPL,S,10,10,10,10,10,10,10,10,8,100.00
ALR9-0905,2014,1,NRS_AL-10040,CPL,S,10,10,10,10,6.012195122,10,10,10,8,95.02
NRS18_AL_10008,2019,1,NRS_AL-10040,CPL,S,10,10,10,8.193548387,10,10,10,10,8,97.74
FW08AL022,2009,1,NRS_AL-10041,CPL,R,10,10,10,10,10,10,10,10,8,100.00
ALR9-0906,2014,1,NRS_AL-10041,CPL,R,10,10,10,10,8.097560976,10,10,10,8,97.62
FW08AL023,2009,1,NRS_AL-10042,CPL,R,10,4.536530349,9.121851429,10,7.865853659,10,10,10,8,89.41
FW08AL024,2009,1,NRS_AL-10043,SAP,S,4.442652853,10,0,0,8.878718535,10,10,10,8,66.65
FW08AL025,2009,1,NRS_AL-10044,CPL,T,10,8.013999139,10,10,10,10,10,10,8,97.52
FW08AL026,2009,1,NRS_AL-10045,CPL,S,9.800234586,0,10,10,3.134146341,10,,10,7,75.62
FW08AL027,2009,1,NRS_AL-10046,CPL,R,10,10,1.647497143,10,0,10,8.5,10,8,75.18
ALS9-0920,2013,1,NRS_AL-10046,CPL,S,10,6.106768833,7.314285714,10,0,10,9,10,8,78.03
