UID,SITE_ID,VISIT_NO,SAMPLE_ID,DATE_COL,LAT_DD83,LON_DD83,STRAH_ORD,Chem_Lab_ID,H2O_dD,H2O_d18O,d-excess
11229,ALR9-0901,1,721560,8/5/2013,34.95092177,-87.042028,7,1310511,-23.8,-4.36,11.07
12156,ALR9-0901,2,729780,9/17/2013,34.95092177,-87.042028,7,1310846,-26.88,-4.81,11.63
10425,ALR9-0904,1,712600,6/25/2013,33.41281268,-86.75189942,5,1310127,-22.69,-4.29,11.64
11004,ALRF-0001,1,721480,7/25/2013,34.917856,-86.13294466,NA,1310413,-30.39,-5.02,9.74
12194,ALRF-0002,1,729860,9/18/2013,33.22326014,-86.88807657,NA,1310851,-23.7,-4.65,13.52
10548,ALRF-0003,1,712560,7/1/2013,34.08128827,-88.02124812,NA,1310189,-27.19,-4.96,12.5
11178,ALRF-0004,1,721540,8/4/2013,31.05288349,-87.8369997,NA,1310504,-19.39,-3.95,12.25
11095,ALRM-1001,1,709340,7/30/2013,32.22869,-87.14828,7,1310468,-20.98,-3.79,9.37
11175,ALRM-1002,1,709280,8/2/2013,31.74166,-88.0956,7,1310489,-26.57,-4.41,8.73
10502,ALRM-1003,1,712580,6/28/2013,33.01342,-87.08608,6,1310176,-22.04,-4.18,11.37
11056,ALRO-1021,1,709240,7/29/2013,33.58483,-87.09572,5,1310428,-22.99,-4.12,9.95
10361,ALS9-0916,1,713860,6/24/2013,33.26014982,-85.50357137,1,1310118,-19.81,-4,12.2
11027,ALS9-0916,2,721500,7/26/2013,33.26014982,-85.50357137,1,1310401,-20.93,-3.83,9.74
10319,ALS9-0918,1,713820,6/20/2013,32.93231611,-86.36246869,2,1310102,-23.63,-4.81,14.83
10471,ALS9-0919,1,713880,6/27/2013,32.91383014,-87.5326477,1,1310157,-20.61,-4.28,13.64
12228,ALS9-0920,1,729820,9/20/2013,32.12422056,-87.52831805,1,1310859,-8.34,-1.35,2.47
12245,ALS9-0921,1,729760,9/22/2013,31.86806513,-85.76601507,3,1310877,-20.21,-3.76,9.9
10512,ALS9-0922,1,713900,6/30/2013,34.50734375,-88.05036704,4,1310179,-24.24,-4.36,10.63
11032,ALS9-0923,1,721520,7/28/2013,33.79214422,-86.13073021,1,1310419,-23.69,-4.73,14.14
10289,ALSS-1063,1,713800,6/19/2013,33.35583,-86.60633,1,1310092,-19.31,-3.33,7.37
10320,ALSS-1064,1,713840,6/21/2013,33.11467,-87.11905,2,1310096,-21.77,-3.96,9.89
10964,ALSS-1065,1,721460,7/24/2013,34.07899,-86.50564,1,1310385,-24.42,-4.46,11.29
12230,ALSS-1066,1,729840,9/19/2013,32.25358,-87.00951,1,1310873,-20.16,-4.25,13.8
10897,ARLS-1045,1,714740,7/22/2013,34.78806,-91.87005,4,,-14.87,-2.75,7.15
11405,ARLS-1046,1,720300,8/13/2013,33.99517,-93.38717,4,,-15.66,-2.91,7.61
10683,ARLS-1047,1,713700,6/26/2013,35.56233,-93.28855,4,,-27.58,-5.14,13.57
11820,ARLS-1048,1,726220,8/28/2013,36.1023,-91.6197,4,,-24.42,-4.24,9.52
11964,ARR9-0901,1,717960,9/5/2013,35.62598092,-89.87932864,10,,-40.43,-6.12,8.52
12217,ARR9-0901,2,731080,9/19/2013,35.62598092,-89.87932864,10,,-45.6,-6.55,6.77
12141,ARR9-0902,1,731840,9/16/2013,34.35270394,-91.10541947,8,,-25.41,-4.31,9.04
12195,ARR9-0903,1,731860,9/18/2013,34.69500093,-90.64588479,7,,-22.12,-3.74,7.84
10637,ARR9-0904,1,713660,7/9/2013,35.67817479,-93.74408948,5,,-23.82,-3.94,7.66
10998,ARR9-0905,1,712640,7/25/2013,33.55630442,-92.02261248,6,,-18.8,-2.87,4.16
10686,ARR9-0906,1,712660,7/10/2013,34.92887774,-93.36068491,5,,-22.34,-3.43,5.06
12387,ARR9-0907,1,731100,9/26/2013,34.8014198,-90.77003066,5,,-28.05,-4.57,8.48
11385,ARR9-0908,1,725680,8/12/2013,33.61703373,-93.86000774,6,,-15.3,-2.51,4.79
11763,ARR9-0909,1,724980,8/27/2013,35.5326437,-90.44201227,7,,-20.29,-3.6,8.51
11967,ARRM-1001,1,724900,9/5/2013,35.60184,-89.90212,10,,-40.21,-5.94,7.28
12192,ARRM-1002,1,725000,9/17/2013,33.32053,-91.16849,10,,-35.7,-4.51,0.41
11878,ARRM-1003,1,725020,8/15/2013,33.63585,-93.90638,6,,-15.33,-2.29,2.98
10420,ARRM-1004,1,712700,6/25/2013,35.0758,-92.63969,9,,-19.38,-3.01,4.73
11966,ARRM-1005,1,724940,9/4/2013,35.12047,-90.09057,10,,-38.82,-5.53,5.39
10491,ARRO-1021,1,712680,6/27/2013,35.54235,-93.16002,5,,-25.42,-4.2,8.16
11859,ARRO-1022,1,724960,8/20/2013,35.51034,-91.92887,6,,-23.93,-3.98,7.87
12395,ARRO-1023,1,731960,9/25/2013,33.19634,-93.39313,5,,-76.38,-10.38,6.64
