PUBLICATION_DATE,UID,SAMPLE_TYPE,SITETYPE,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,LAT_DD83,LON_DD83,AG_ECO9_NM,INDEX_VISIT,METRIC_TAXA_ROOT,COMP_PT,DIVS_PT,FEED_PT,HABT_PT,MMI_BENT,RICH_PT,TOLR_PT,OE_SCORE
4/23/2019,1002013,BERW,PROB,KSRS-1288,4/30/2013,1,KS,39.12843,-95.65402,Temperate Plains,Y,WSA,0,5.74,2.5,1.18,16.45,0,0.45,0.409185953
4/23/2019,1002014,BERW,PROB,AZR9-0903,5/6/2013,1,AZ,32.40882,-111.1606,Xeric,Y,WSA,0,0,0,6.84,11.4,0,0,0.279837816
4/23/2019,1002015,BERW,PROB,AZSS-1115,5/7/2013,1,AZ,34.33749,-111.0138,Western Mountains,Y,WSA,5.39,4.39,5.71,4.33,43.67,4.71,1.67,1.263744136
4/23/2019,1002016,BERW,PROB,KSR9-0910,5/6/2013,1,KS,39.49523,-97.2319,Southern Plains,Y,WSA,0.61,4.36,5.71,0,22.4,1.33,1.43,0.939382504
4/23/2019,1002017,BERW,PROB,AZLS-1055,5/8/2013,1,AZ,34.86995,-112.0693,Western Mountains,Y,WSA,2.64,5.45,4.29,1.31,34.38,4.12,2.82,1.32908917
4/23/2019,1002018,BERW,PROB,KSRS-1270,5/13/2013,1,KS,37.17128,-96.84909,Temperate Plains,Y,WSA,0.29,5.68,6.25,2.35,24.28,0,0,0.725868123
4/23/2019,1002019,BERW,PROB,KSS9-0933,5/14/2013,1,KS,37.84409,-96.85665,Temperate Plains,Y,WSA,0.5,9.38,3.75,5.29,31.53,0,0,1.350914603
4/23/2019,1002020,BERW,PROB,AZR9-0903,5/20/2013,2,AZ,32.40882,-111.1606,Xeric,N,WSA,0,0,0,6.84,11.4,0,0,0.279837816
4/23/2019,1002021,BETB,PROB,KYRM-1006,5/21/2013,1,KY,38.51354,-85.02908,Southern Appalachians,Y,WSA,6.29,0,1.11,9.28,27.8,0,0,0.493663102
4/23/2019,1002022,BERW,PROB,KSR9-0902,5/21/2013,1,KS,37.8236,-97.46279,Southern Plains,Y,WSA,0.51,5.45,2.86,0,19.3,1.33,1.43,0.860671853
4/23/2019,1002023,BETB,PROB,KYRM-1002,5/22/2013,1,KY,38.68588,-85.17831,Southern Appalachians,Y,WSA,0,0,0,2.32,3.87,0,0,0.538082076
4/23/2019,1002024,BERW,PROB,GAS9-0921,5/21/2013,1,GA,34.42898,-82.90528,Southern Appalachians,Y,WSA,0,4.89,0,1.29,10.3,0,0,0.600774125
4/23/2019,1002025,BERW,PROB,GAS9-0915,5/23/2013,1,GA,33.92673,-85.05046,Southern Appalachians,Y,WSA,0,0,0,4.97,8.28,0,0,0.419024904
4/23/2019,1002026,BETB,PROB,PARM-1005,5/29/2013,1,PA,40.59864,-79.75119,Southern Appalachians,Y,WSA,3.34,3.45,1.11,0,14.83,1,0,0.519596583
4/23/2019,1002027,BETB,PROB,OHRM-1002,5/28/2013,1,OH,40.14887,-80.70356,Southern Appalachians,Y,WSA,1.42,0,2.22,0,6.07,0,0,0.30537884
4/23/2019,1002028,BETB,PROB,PARM-1001,5/29/2013,1,PA,40.76001,-79.54689,Southern Appalachians,Y,WSA,1.98,1.08,3.33,3.87,17.93,0.5,0,0.427861145
4/23/2019,1002029,BERW,PROB,NJS9-0908,6/2/2013,1,NJ,41.04212,-74.0473,Southern Appalachians,Y,WSA,0,4.89,1.11,0.46,13.15,0,1.43,0.347799868
4/23/2019,1002030,BETB,PROB,CARM-1007,6/3/2013,1,CA,38.43501,-121.5249,Xeric,Y,WSA,5.92,0,0,0,9.87,0,0,0.225447522
4/23/2019,1002031,BETB,PROB,AZR9-0902,5/27/2013,1,AZ,36.43346,-111.8641,Xeric,Y,WSA,2.63,5.13,2.86,4.84,29.02,0,1.95,0.735991287
4/23/2019,1002032,BETB,PROB,AZR9-0901,5/30/2013,1,AZ,36.08766,-111.8706,Xeric,Y,WSA,0,1.7,4.29,4.53,21.37,0.59,1.71,0.763844541
4/23/2019,1002033,BETB,PROB,CARM-1003,6/4/2013,1,CA,37.90976,-121.3253,Xeric,Y,WSA,0,0,2.86,0.48,5.57,0,0,0.19523375
4/23/2019,1002034,BETB,PROB,NJRO-1019,6/4/2013,1,NJ,40.75796,-74.16351,Southern Appalachians,Y,WSA,0,0,0,0,0,0,0,0.308842648
4/23/2019,1002035,BETB,PROB,TXR9-0907,6/4/2013,1,TX,30.57973,-94.99791,Coastal Plains,Y,WSA,2.39,3.49,6.25,3.12,37.6,1.25,6.06,0.788006314
4/23/2019,1002036,BERW,PROB,GAS9-0916,6/4/2013,1,GA,32.80116,-82.92292,Coastal Plains,Y,WSA,8.62,8.34,6.25,4.49,63.47,2.5,7.88,0.93840983
4/23/2019,1002037,BERW,PROB,NES9-0934,6/5/2013,1,NE,40.90226,-96.60626,Temperate Plains,Y,WSA,0,0,0,0,0,0,0,0.350016091
4/23/2019,1002038,BERW,PROB,KSRS-1261,6/5/2013,1,KS,39.35249,-99.83154,Southern Plains,Y,WSA,0,4.83,1.43,1.82,16.97,0.67,1.43,0.551612043
4/23/2019,1002039,BERW,PROB,KSRS-1277,6/5/2013,1,KS,39.04576,-99.04318,Southern Plains,Y,WSA,1.28,5.5,7.14,3.31,40.15,4,2.86,0.955162647
4/23/2019,1002040,BERW,PROB,OKR9-0901,6/3/2013,1,OK,35.92582,-99.51525,Southern Plains,Y,WSA,3.72,4.55,2.86,2.84,24.4,0.67,0,0.521339129
4/23/2019,1002041,BERW,PROB,PALS-1091,6/5/2013,1,PA,41.75655,-77.5552,Northern Appalachians,Y,WSA,10,10,7.78,8.37,90.87,10,8.37,1.213144964
4/23/2019,1002042,BERW,PROB,NJLS-1043,6/5/2013,1,NJ,40.91547,-74.08986,Southern Appalachians,Y,WSA,0,7.05,0,0,11.75,0,0,0.685182851
4/23/2019,1002043,BERW,PROB,DELS-1036,6/5/2013,1,DE,38.85149,-75.66956,Coastal Plains,Y,WSA,6.73,5.5,2.5,2.64,32.67,0.62,1.61,1.054678067
4/23/2019,1002044,BERW,PROB,NES9-0923,6/4/2013,1,NE,41.41566,-98.08897,Southern Plains,Y,WSA,0.23,5.83,5.71,7.22,31.65,0,0,0.482708595
4/23/2019,1002045,BERW,PROB,NES9-0930,6/3/2013,1,NE,41.67311,-97.67665,Southern Plains,Y,WSA,0,0,0,0,0,0,0,0.454701286
4/23/2019,1002046,BERW,HAND,WVRF-0001,6/5/2013,1,WV,39.4955,-78.30457,Southern Appalachians,Y,WSA,4.43,9.28,5.56,3.41,62.08,7.5,7.07,1.001752253
4/23/2019,1002047,BERW,PROB,OKS9-0935,6/4/2013,1,OK,35.54539,-99.72271,Southern Plains,Y,WSA,1.94,7.54,0,1.78,31.32,4.67,2.86,0.796008191
4/23/2019,1002048,BERW,PROB,PAS9-0918,6/6/2013,1,PA,41.60763,-77.50377,Northern Appalachians,Y,WSA,7.51,9.07,8.89,5.8,79.53,10,6.45,0.913427456
4/23/2019,1002049,BETB,PROB,MDS9-0914,6/6/2013,1,MD,38.68908,-75.7699,Coastal Plains,Y,WSA,6.22,3.96,1.25,0.42,19.75,0,0,1.023270872
4/23/2019,1002050,BETB,PROB,NJR9-0901,6/6/2013,1,NJ,41.27242,-74.84022,Southern Appalachians,Y,WSA,3.68,4.96,10,4.05,49.85,5.5,1.72,0.661073246
4/23/2019,1002051,BERW,PROB,TXS9-0926,6/6/2013,1,TX,29.91047,-95.49178,Coastal Plains,Y,WSA,3.64,4.5,0,0,18.03,0,2.68,0.637870198
4/23/2019,1002052,BERW,PROB,NJSS-1082,6/7/2013,1,NJ,41.0507,-74.38407,Northern Appalachians,Y,WSA,1.17,2.31,0,0,14.67,0.95,4.37,0.506655426
4/23/2019,1002053,BETB,PROB,NJRO-1020,6/9/2013,1,NJ,40.90745,-74.30466,Southern Appalachians,Y,WSA,0,0,0,4.97,8.28,0,0,0.211434138
4/23/2019,1002054,BERW,PROB,MNSS-1171,6/6/2013,1,MN,44.94257,-93.02145,Upper Midwest,Y,WSA,5.11,5.55,2.86,3.69,28.68,0,0,1.063484175
4/23/2019,1002056,BERW,PROB,PAS9-0923,6/10/2013,1,PA,40.52159,-79.39899,Southern Appalachians,Y,WSA,0,5.54,1.11,4.27,22.53,0,2.6,0.859302279
4/23/2019,1002057,BERW,PROB,NJS9-0909,6/11/2013,1,NJ,41.11046,-74.84292,Southern Appalachians,Y,WSA,0.98,0,1.11,4.46,10.92,0,0,0.397556362
4/23/2019,1002058,BERW,PROB,NER9-0904,6/10/2013,1,NE,40.79966,-98.43775,Southern Plains,Y,WSA,9.64,0.62,0,3.57,24.17,0.67,0,0.101868389
4/23/2019,1002059,BETB,PROB,AZRM-1002,6/8/2013,1,AZ,35.9166,-113.3347,Xeric,Y,WSA,10,0,0,6.84,44.73,0,10,0.253408979
4/23/2019,1002060,BETB,PROB,MDRM-1003,6/11/2013,1,MD,39.44732,-78.97643,Southern Appalachians,Y,WSA,4.66,4.68,0,4.07,28.18,3.5,0,0.63810124
4/23/2019,1002061,BERW,PROB,NVRM-1001,6/10/2013,1,NV,36.73991,-114.206,Xeric,Y,WSA,2.24,0.55,4.29,2.29,18.55,1.76,0,0.673146736
4/23/2019,1002062,BERW,PROB,OKR9-0909,6/11/2013,1,OK,34.59159,-99.02375,Southern Plains,Y,WSA,0.51,5.26,1.43,3.57,20.17,1.33,0,1.171862349
4/23/2019,1002063,BERW,PROB,OKS9-0931,6/10/2013,1,OK,34.83934,-98.306,Southern Plains,Y,WSA,0,3.03,1.43,5.48,16.57,0,0,0.653995693
4/23/2019,1002064,BERW,PROB,NELS-1074,6/11/2013,1,NE,40.84166,-99.74438,Southern Plains,Y,WSA,1.31,1.71,2.86,4.46,19.45,1.33,0,0.978177993
4/23/2019,1002065,BERW,PROB,PALS-1090,6/11/2013,1,PA,41.51621,-79.32288,Northern Appalachians,Y,WSA,7.44,9.28,7.78,5.85,74.75,10,4.5,1.230014179
4/23/2019,1002066,BERW,PROB,KSRS-1340,6/10/2013,1,KS,38.43482,-95.74648,Temperate Plains,Y,WSA,0,2.39,5,0.59,13.3,0,0,0.612716113
4/23/2019,1002067,BERW,PROB,NDSS-1103,6/11/2013,1,ND,46.31488,-101.6123,Northern Plains,Y,WSA,0,4.21,2,0.68,15.65,0,2.5,0.63031576
4/23/2019,1002068,BERW,PROB,TXSS-1216,6/12/2013,1,TX,32.78727,-96.87091,Southern Plains,Y,WSA,3.62,4.79,1.43,7.01,28.08,0,0,0.94297497
4/23/2019,1002069,BERW,PROB,TXS9-0928,6/11/2013,1,TX,33.75841,-97.29398,Southern Plains,Y,WSA,3.72,7.3,0,4.66,31.85,2,1.43,1.119607026
4/23/2019,1002070,BETB,PROB,KSR9-0906,6/11/2013,1,KS,37.39754,-95.67977,Temperate Plains,Y,WSA,0.92,9.77,8.75,4.71,56.73,5,4.89,1.405491771
4/23/2019,1002071,BERW,HAND,WIRF-0011,6/12/2013,1,WI,44.01212,-89.78824,Upper Midwest,Y,WSA,7.57,2.19,0,3.13,29.4,0,4.75,0.716812963
4/23/2019,1002072,BERW,PROB,PAS9-0922,6/12/2013,1,PA,41.65698,-78.61148,Northern Appalachians,Y,WSA,5.71,4.98,3.33,6.22,50.98,6.67,3.68,1.074700044
4/23/2019,1002073,BERW,PROB,MNS9-0933,6/11/2013,1,MN,44.51765,-94.02858,Upper Midwest,Y,WSA,2.47,5.74,0,5.32,26.78,1.11,1.43,1.040887761
4/23/2019,1002074,BETB,PROB,NJR9-0902,6/12/2013,1,NJ,40.5089,-74.46615,Southern Appalachians,Y,WSA,0,0,4.44,0,7.4,0,0,0.457850542
4/23/2019,1002075,BERW,PROB,OKRO-1089,6/12/2013,1,OK,34.88904,-99.37742,Southern Plains,Y,WSA,0,0,0,2.42,4.03,0,0,0.381715899
4/23/2019,1002076,BETB,PROB,VTR9-0901,6/11/2013,1,VT,42.79337,-72.52477,Northern Appalachians,Y,WSA,1.69,3.83,0,0,11.58,1.43,0,0.596597239
4/23/2019,1002078,BERW,HAND,WIRF-0006,6/13/2013,1,WI,44.19707,-90.73067,Upper Midwest,Y,WSA,5.25,0,2.86,3.46,31.02,1.67,5.37,0.647333734
4/23/2019,1002079,BERW,PROB,NDLS-1055,6/12/2013,1,ND,46.27863,-100.2429,Northern Plains,Y,WSA,3.76,7.21,10,4.88,58.57,4.29,5,1.054192268
