PUBLICATION_DATE,UID,SITE_ID,VISIT_NO,PSTL_CODE,DATE_COL,YEAR,LAT_DD83,LON_DD83,SITETYPE,STRAH_ORD,AG_ECO3,AG_ECO9,PROTOCOL,XBKA,MEDBK_A,XUN,MEDBKUN,XCDENMID,XCDENBK,CONBANKFULL,CONSTRAINT,CONFEATURES,CONPATTERN,CONPERCENT,CONVALLEY,CONVALLEYBOX,PCT_FA,PCT_DR,PCT_FAST,PCT_SLOW,PCT_POOL,XWIDTH,SDWIDTH,XBKF_W,XBKF_H,XINC_H,SDINC_H,BFWD_RAT,XWXD,XWD_RAT,SDWXD,SDWD_RAT,XDEPTH_CM,SDDEPTH_CM,XFC_ALG,XFC_RCK,XFC_BRS,XFC_LVT,XFC_AQM,XFC_OHV,XFC_HUM,XFC_UCB,XFC_LWD,XFC_NAT,XFC_BIG,XFC_ALL,PCT_SIDE,REACHLEN,W1_HAG,W1_HNOAG,W1_HALL,W1H_BLDG,W1H_LDFL,W1H_LOG,W1H_MINE,W1H_PARK,W1H_PSTR,W1H_PVMT,W1H_PIPE,W1H_ROAD,W1H_CROP,W1H_WALL,C1WM100,C2WM100,C4WM100,V1WM100,V1W_MSQ,V2WM100,V2W_MSQ,V4WM100,V4W_MSQ,PCAN_C,PCAN_D,PCAN_E,PCAN_M,PCAN_N,XCL,XCS,XMW,XMH,XGW,XGH,XGB,XC,XM,XCMW,XCM,XG,XCMGW,XCMG,XPCAN,XPMID,XPMGW,XPCM,XPCMG,XSLOPE,XSLOPE_MAP,XSLOPE_FIELD,PCTCLINOMETER,XBEARING,SINU,LSUB_DMM,LSUBD_SD,LSUB_DMM_NOR,PCT_FN,PCT_GC,PCT_GF,PCT_HP,PCT_OM,PCT_OT,PCT_RC,PCT_SA,PCT_WD,PCT_BIGR,PCT_BDRK,PCT_SAFN,PCT_SFGF,PCT_ORG,XEMBED,XCEMBED,RPXDEP_CM,RPMXDEP_CM,RPGT50,RPGT75,RP100,LTEST,LRBS_TST,LDMB_BW5,LRBS_BW5,LRBS_BW6,SHLD_PX3,REYP3,RRPW3,CP3CTRPWD_RAT,CP3_MILL,CT_RPWD,RB3,LDCBF_G08,LRBS_G08,L_RB3,L_CT_RPWD,L_CP3_MILL,L_RRPW3,L_REYP3,L_SHLD_PX3,L_XSLOPE,RADJRT_RAT,PCT_SFG,XGV,PCT_BH,BANGMODE,XSHOR2VG,PCT_OVRB,PCT_GL,C1TM100,C2TM100,C4TM100,PCT_GR,PCT_DRS,LITSB1_FN,LITSB1_SF,LITSB1_SFGF,LITSB12_FN,LITSB12_SF,QRVEG1,QRVEG2,RDIST1,QR1,CVDTH,RPRAT,CVWIDTH,CVWXD,LWDEQVOL_MSQ,LWDEQVOLM100,PHAB_COM
4/23/2019,1002013,KSRS-1288,1,KS,30-Apr-13,2013,39.12843,-95.65402,PROB,2,PLNLOW,TPL,WADEABLE,31.72727273,32.5,0,0,40.64171123,64.70588235,10,CON_BROAD,TERRACE,SINGLE,100,5000,Y,0,0,9,91,12,5.55,1.650996509,9.209090909,1.008181818,2.103636364,0.458416246,7.707186978,1.2426,30.89651669,0.659727488,18.54707168,22.32,10.08737585,0.063636364,0.056818182,0.081818182,0.040909091,0.115909091,0.081818182,0,0.004545455,0,0.265909091,0.061363636,0.445454545,1,198,0,1.606086364,1.606086364,0,0.659090909,0,0,0.212131818,0,0.030304545,0,0.492436364,0,0.212122727,9.595959596,1.515151515,0,0.820707071,0.000891192,0.352020202,0.000382253,0,0,0,0.772727273,0,0.181818182,0.045454545,0.125,0.1875,0.373863636,0.002272727,0.047727273,0.380681818,0.5125,0.3125,0.376136364,0.686363636,0.688636364,0.428409091,0.734090909,1.117045455,0.954545455,0.954545455,0.909090909,0.909090909,0.909090909,0.270277778,,0.270277778,0,124.3630595,1.093300286,-1.568331954,1.397480472,-1.619991245,84.76190476,3.80952381,1.904761905,0,0,0.952380952,0,1.904761905,0,10.47619048,0.952380952,86.66666667,88.57142857,0,91.90909091,90.75757576,11.49662873,27.74916667,0,0,9.174077475,0.616195101,-2.184527056,1.32358923,-2.891921184,-2.897710223,0.028928465,3.858283875,0.466983981,0.198603853,0.002,0.010070298,0.800398182,1.420907433,-2.989239387,-0.096693907,-1.996957675,-2.698970004,-0.330698016,0.586394178,-1.538674611,-0.56818966,0.583439583,92.38095238,0.428409091,0.952380952,,,,79,11.61616162,2.525252525,0,,,,,,,,0.430340909,0.682352941,0.616282862,0.482996851,0.451943362,0.411024976,0.297476849,0.530925066,0.000382253,0.352020202,
4/23/2019,1002014,AZR9-0903,1,AZ,6-May-13,2013,32.40882,-111.1606,PROB,6,WMTNS,XER,WADEABLE,78.5,90,7.615384615,0.5,9.35828877,37.1657754,17,CON_BROAD,TERRACE,SINGLE,100,400,,0,0,11,89,0,10.45263158,2.695339274,16.04545455,0.727272727,2.855555556,0.51747249,15.45737376,2.875684211,41.02471768,0.826999466,18.25925569,31.22,9.383609178,0.031818182,0,0.018181818,0.036363636,0.040909091,0.125,0,0.027272727,0,0.206818182,0.027272727,0.279545455,0,475.2,1.295454545,1.5076,2.803054545,0.060609091,0.98485,0,0.060609091,0.068181818,1.295454545,0,0,0.33335,0,0,0,0,0,0,0,0,0,0,0,0.045454545,0.181818182,0,0.181818182,0.590909091,0.011363636,0.036363636,0.113636364,0.018181818,0.070454545,0.065909091,0.834090909,0.047727273,0.131818182,0.161363636,0.179545455,0.136363636,0.231818182,0.315909091,0.409090909,0.772727273,0.727272727,0.409090909,0.363636364,0.309895833,0.313087038,0.309895833,0,284.6685896,2.564849153,-0.199008468,0.761668735,-0.199008468,3.80952381,0.952380952,17.14285714,0,0,0,0,74.28571429,0,4.761904762,0,78.0952381,95.23809524,0,98.18181818,96.96969697,9.639027961,48.31275,0,0,7.399657828,0.821339207,-1.020347675,1.311647858,-1.510656326,-1.510656326,0.016478164,88.84449931,0.370378666,0.164724623,0.002,0.012141476,0.675657273,1.624073378,-1.823081846,-0.170273544,-1.915728525,-2.698970004,-0.431354037,1.948630544,-1.78309118,-0.508784263,0.548175356,96.19047619,0.136363636,0,,,,89,0,0,0,,,,,,,,0.204318182,0.434491979,0.737053469,0.285793321,0.300564035,0.237016586,0.257862267,0.287583547,0,0,
4/23/2019,1002015,AZSS-1115,1,AZ,7-May-13,2013,34.33749,-111.0138,PROB,2,WMTNS,WMT,WADEABLE,25,18.5,23.7,18,92.9144385,98.93048128,8,UNC_NARROW,HILLSLOPE,SINGLE,5,300,,0,0,39,61,10,4.735,1.351908982,9.736363636,0.659090909,1.963636364,0.674199862,11.08638529,1.47705,21.42735,0.681694365,22.91762483,31.15841584,15.49563337,0.022727273,0.104545455,0.077272727,0.06,0.022727273,0.027272727,0,0.022727273,0,0.291818182,0.127272727,0.337272727,0,240,0,0.272727273,0.272727273,0,0.204545455,0,0,0.068181818,0,0,0,0,0,0,18.75,9.583333333,0.416666667,6.677916667,0.006858738,6.14625,0.006312675,3.925416667,0.004031707,0.045454545,0.409090909,0,0.5,0.045454545,0.231818182,0.323863636,0.425,0.013636364,0.197727273,0.423863636,0.264772727,0.555681818,0.438636364,0.980681818,0.994318182,0.621590909,1.178409091,1.615909091,0.954545455,1,1,0.954545455,0.954545455,4.249074074,,4.249074074,0,139.8624055,1.11779181,1.953264723,0.944894189,1.953264723,0.952380952,22.85714286,15.23809524,0,0,0,0,1.904761905,0,81.9047619,0,2.857142857,18.0952381,0,20.72727273,20.90909091,12.8929184,88.48766667,1,1,8.251467778,1.957560243,-0.00429552,2.405716336,-0.452451613,-0.512657612,0.029332203,45141.23179,0.472408889,0.419751724,0.008117405,0.019338587,0.630938794,2.616388174,-0.663123451,-0.200012769,-1.713575257,-2.090582769,-0.325681939,4.654573406,-1.532655312,0.628294302,0.748739646,40.95238095,0.621590909,0,,,,51,22.5,12.5,0.416666667,,,,,,,,0.630284091,0.990374332,0.214285714,0.78861819,0.497317753,0.264823084,0.28551404,0.461524231,0.006312675,6.14625,
4/23/2019,1002016,KSR9-0910,1,KS,6-May-13,2013,39.49523,-97.2319,PROB,7,PLNLOW,SPL,WADEABLE,27.5,26,0.018181818,0,0.802139037,42.51336898,55,UNC_BROAD,TERRACE,SINGLE,100,2000,Y,0,0,0,100,6.666666667,44.975,8.694334211,54.27272727,1.454545455,2.090909091,0.650314609,26.88970478,25.518,88.12544164,8.88684338,34.28395001,51.99,18.80548759,0,0,0.118181818,0.018181818,0,0.013636364,0,0,0.05,0.2,0.05,0.2,13,2098.8,0.242436364,0.20455,0.446986364,0,0.090913636,0,0,0,0.060609091,0,0,0,0.181827273,0.113636364,8.576329331,5.098151325,1.000571755,11.260911,0.002074875,11.05917667,0.002037704,8.3446255,0.001537536,0,0.681818182,0,0,0.318181818,0.056818182,0.134090909,0.360227273,0.025,0.119318182,0.452272727,0.192045455,0.190909091,0.385227273,0.551136364,0.576136364,0.571590909,0.670454545,1.147727273,0.636363636,0.909090909,0.818181818,0.590909091,0.590909091,0.04769392,0.269957265,0.04769392,0,172.5176446,1.173054082,-0.889543276,0.727619637,-0.889543276,26,0,0,0,0,0,0,74,0,0,0,100,100,0,100,100,16.3106462,84.01611111,2,1,12.02704215,0.230073411,-1.119616687,0.781331257,-1.670874534,-1.670874534,0.02313191,9.795698262,1.079564481,0.59521007,0.002,0.003360158,1.283389545,1.128620612,-2.018163888,0.108358497,-2.473640274,-2.698970004,0.033248587,0.991035399,-1.635788504,-1.321536978,0.841182231,100,0.571590909,0,,,,93.33333333,10.2915952,6.33695445,1.000571755,,,,,,,,0.401704545,0.482620321,0.308908484,0.511700652,0.361713552,0.231333759,0.193314824,0.348257833,0.002037704,11.05917667,
4/23/2019,1002017,AZLS-1055,1,AZ,8-May-13,2013,34.86995,-112.0693,PROB,4,WMTNS,WMT,WADEABLE,8.769230769,6,16.53846154,17,66.94117647,96.3800905,20,CON_VSHAPED,BEDROCK,ANASTOM,50,300,Y,0,0,7.777777778,92.22222222,2.222222222,9.195,5.16674335,24.27692308,1.023846154,1.363333333,0.842111344,18.36519704,3.3727,29.73018352,2.486825012,19.35614444,37.79,14.37892327,0.484615385,0,0.030769231,0.053846154,0.080769231,0.123076923,0,0,0.003846154,0.211538462,0.003846154,0.776923077,29,237.6,0,0.115384615,0.115384615,0,0.115384615,0,0,0,0,0,0,0,0,0,6.734006734,3.367003367,0,1.123737374,0.000462883,0.928451178,0.000382442,0,0,0,0.923076923,0,0.038461538,0.038461538,0.075961538,0.354807692,0.607692308,0.051923077,0.345192308,0.411538462,0.147115385,0.430769231,0.659615385,1.038461538,1.090384615,0.756730769,1.383653846,1.847115385,0.961538462,1,1,0.961538462,0.961538462,1.106481481,,1.106481481,0,145.4526052,1.260360184,1.043095829,1.420038365,1.043095829,8.256880734,16.51376147,3.669724771,0,0,0,0,22.93577982,0,65.13761468,0,31.19266055,34.86238532,0,50.84745763,35.71428571,15.2540924,41.48111111,0,0,12.78878454,1.457011613,-0.413915784,1.984440111,-0.941344282,-0.949629511,0.027054288,3404.29498,0.604052006,0.291390107,0.003363966,0.011544545,0.911135,2.173902869,-1.13080704,-0.04041727,-1.937623197,-2.473148395,-0.218925669,3.532027184,-1.56776389,0.04394415,0.662966526,51.37614679,0.756730769,0,,,,90,7.154882155,3.787878788,0,,,,,,,,0.722644231,0.967420814,0.103448276,0.855798995,0.380495456,0.338417162,0.561907923,0.737339524,0.000382442,0.928451178,
4/23/2019,1002018,KSRS-1270,1,KS,13-May-13,2013,37.17128,-96.84909,PROB,3,PLNLOW,TPL,WADEABLE,35.18181818,37.5,0,0,65.50802139,88.77005348,16,CON_BROAD,TERRACE,SINGLE,100,5000,Y,0,0,16,84,0,13.85,2.45539149,16.14545455,0.690909091,1.681818182,0.851842922,12.94077943,8.86625,25.60773326,3.824682606,11.82908339,60.53,25.14983583,0.225,0.009090909,0.077272727,0.022727273,0.027272727,0.040909091,0.009090909,0,0.036363636,0.186363636,0.054545455,0.447727273,0,475.2,0.181827273,0.696977273,0.878804545,0.030304545,0.272727273,0,0,0,0,0,0,0.257581818,0.181827273,0.136363636,10.1010101,3.367003367,0,1.383627946,0.000856977,0.993055556,0.000615068,0,0,0,0.909090909,0,0,0.090909091,0.220454545,0.242045455,0.128409091,0.122727273,0.034090909,0.645454545,0.154545455,0.4625,0.251136364,0.590909091,0.713636364,0.679545455,0.625,1.393181818,0.909090909,0.909090909,0.5,0.909090909,0.909090909,0.122106481,,0.122106481,0,186.2082996,1.079010078,0.308196528,1.725890185,0.308196528,33.33333333,60.95238095,1.904761905,0,0,0,0,0,0,64.76190476,0,33.33333333,35.23809524,0,52.27272727,36.21212121,30.29512878,89.77472222,3,1,26.92900336,0.704399963,-0.396203435,0.933240048,-0.62504352,-0.62504352,0.018924467,200.2294767,0.290780647,0.041108463,0.002211231,0.053790177,0.842535909,1.05440106,-0.746204532,-0.07441158,-1.26929703,-2.655365796,-0.536434502,2.301528012,-1.722976347,-0.913261283,0.345125523,96.19047619,0.679545455,0,,,,84,17.04545455,6.313131313,0.841750842,,,,,,,,0.38125,0.898930481,0.467746657,0.567132827,0.415493736,0.444886889,0.177284584,0.431375453,0.000615068,0.993055556,
4/23/2019,1002019,KSS9-0933,1,KS,14-May-13,2013,37.84409,-96.85665,PROB,4,PLNLOW,TPL,WADEABLE,34.18181818,33.5,0.045454545,0,66.44385027,86.89839572,20,CON_BROAD,TERRACE,SINGLE,100,3000,Y,0,0,10,90,68,20.55777778,9.925978261,18.54545455,0.86,2.254545455,0.62347997,12.13362765,19.39448889,38.87940774,22.09377637,28.32068038,72.89,47.37469277,0.165909091,0.009090909,0.054545455,0.004545455,0.036363636,0.045454545,0,0.004545455,0.084090909,0.202272727,0.097727273,0.404545455,0,673.2,0.272740909,0.848513636,1.121254545,0,0.030304545,0,0.219704545,0.098486364,0,0.151522727,0.196972727,0.090913636,0.272740909,0.060609091,16.04278075,9.803921569,1.782531194,14.18345217,0.00764794,13.82159834,0.007452823,10.1127451,0.005452951,0,0.818181818,0,0,0.181818182,0.294444444,0.315277778,0.161363636,0.002272727,0.063636364,0.590909091,0.210714286,0.609722222,0.163636364,0.660227273,0.6625,0.654545455,0.723863636,1.317045455,1,1,0.727272727,1,1,0.198611111,0.485185185,0.198611111,0,132.2803858,1.269215216,0.161042707,2.16914548,-0.095495313,45.71428571,20.95238095,1.904761905,1.904761905,0,0,0,0,0,50.47619048,4.761904762,45.71428571,47.61904762,0,50,31.51515152,56.23357973,184.0264705,5,4,48.28135633,0.996362063,-0.835319356,1.171435482,-1.010392775,-1.001791918,0.018946797,201.4732324,0.308277912,0.026594845,0.002,0.075202545,1.032785,1.290530636,-1.129487929,0.014009922,-1.123767465,-2.698970004,-0.511057592,2.304217354,-1.722464189,-0.701996459,0.298491856,68.57142857,0.654545455,6.666666667,,,,22,16.04278075,9.803921569,1.782531194,,,,,,,,0.425738636,0.882085561,0.528580857,0.561505047,0.649947767,0.66238656,0.482833231,1.139178067,0.007452823,13.82159834,
4/23/2019,1002020,AZR9-0903,2,AZ,20-May-13,2013,32.40882,-111.1606,PROB,6,WMTNS,XER,WADEABLE,87.66666667,90,7.536,0.44,7.352941176,37.96791444,25,CON_BROAD,TERRACE,SINGLE,100,300,Y,0,0,18,82,0,10.115,3.251117217,27.72727273,0.774545455,2.936363636,0.721488361,24.4933567,3.75995,28.59393468,1.088044623,12.12947147,38.98,8.36295342,0.040909091,0,0.009090909,0.068181818,0.045454545,0.079545455,0,0.181818182,0.004545455,0.343181818,0.186363636,0.429545455,0,514.8,1.015168182,0.825777273,1.840945455,0,0.416668182,0,0,0,0.742427273,0,0,0.409109091,0.272740909,0,1.35975136,0.582750583,0,1.281468531,0.000462169,1.236402486,0.000445916,0,0,0.818181818,0.045454545,0,0,0.136363636,0.002272727,0.067045455,0.082954545,0.061363636,0.092045455,0.275,0.443181818,0.069318182,0.144318182,0.152272727,0.213636364,0.367045455,0.244318182,0.580681818,0.681818182,0.954545455,0.772727273,0.681818182,0.681818182,0.002521368,0.313087038,0.002521368,0,113.039112,1.044273953,-0.081505119,1.061815146,-0.081505119,10.47619048,9.523809524,20,0,0,0,0,55.23809524,0,14.28571429,0,65.71428571,85.71428571,0,84.54545455,83.93939394,10.61534638,32.3545,0,0,8.89973484,-1.171831439,1.090326321,-0.731497667,0.649992548,0.649992548,0.022440119,11.11676637,0.422719559,0.174249444,0.002,0.011477798,0.756824545,-0.542216161,0.460711042,-0.121004791,-1.940141406,-2.698970004,-0.373947657,1.045978479,-1.648974844,-2.598363846,0.55854367,95.23809524,0.367045455,0,,,,82,1.35975136,0.582750583,0,,,,,,,,0.209943182,0.44171123,0.648004506,0.319589454,0.214544726,0.228315414,0.321415444,0.289377418,0.000445916,1.236402486,
4/23/2019,1002021,KYRM-1006,1,KY,21-May-13,2013,38.51354,-85.02908,PROB,6,EHIGH,SAP,BOATABLE,,,,,,72.19251337,85,UNC_NARROW,HILLSLOPE,SINGLE,100,1.5,,0,0,0,100,100,84.45454545,6.250818128,89.45454545,2.590909091,4.154545455,0.864133828,9.913693207,570.34,13.38649172,116.7040721,4.829837301,678.0909091,137.5439576,0.018181818,0.004545455,0.068181818,0.022727273,0.054545455,0.068181818,0,0,0.009090909,0.172727273,0.013636364,0.245454545,0.900900901,3421.532675,0,0.181818182,0.181818182,0,0.181818182,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1,0,0,0,0.361363636,0.579545455,0.331818182,0.077272727,0.122727273,0.243181818,0.397727273,0.940909091,0.409090909,1.272727273,1.35,0.365909091,1.395454545,1.715909091,1,1,1,1,1,0.011548522,0.011548522,,0,,,,,,,,,,,,,,,,,,,,,,151.0643698,407.3202522,3,3,142.9404775,0.7295049,,,,,,,,,,,6.091681818,,,0.784737211,,,,,,-1.937473594,,,0.365909091,,stp,,,0,,,,,0,27.27272727,27.27272727,27.27272727,40.90909091,50,0.727954545,0.74973262,0.153846154,0.772953439,0.202839997,21.07983983,0.074013993,0.204621931,,,
4/23/2019,1002022,KSR9-0902,1,KS,21-May-13,2013,37.8236,-97.46279,PROB,7,PLNLOW,SPL,WADEABLE,38.81818182,35,20.36363636,25,1.470588235,47.59358289,90,UNC_BROAD,TERRACE,BRAIDED,75,3000,Y,0,0,0,100,0,61.75,17.49323177,95.68181818,1.381818182,2.527272727,0.944553767,55.74113226,26.3585,161.1607692,9.674053483,74.42356331,38.33,13.48403845,0.068181818,0.009090909,0.085,0.004545455,0.1,0.036363636,0,0.004545455,0.045,0.184545455,0.058636364,0.352727273,24,1386,0,1.111114286,1.111114286,0.063495238,0.619047619,0,0,0.142857143,0,0,0,0.142857143,0,0.142857143,6.349206349,4.329004329,0.505050505,3.015873016,0.000315198,2.898701299,0.000302952,1.586868687,0.000165849,0,0.772727273,0,0,0.227272727,0.2,0.125,0.445454545,0.043181818,0.031818182,0.653409091,0.209090909,0.325,0.488636364,0.770454545,0.813636364,0.685227273,0.802272727,1.498863636,0.772727273,1,0.272727273,0.772727273,0.772727273,0.079206349,0.109160494,0.079206349,0,137.2518241,1.115732667,-1.03463415,0.831126283,-1.03463415,36.19047619,0,1.904761905,0,0,0,0,61.9047619,0,0,0,98.0952381,100,0,98.90909091,98.18181818,13.26904643,75.04277778,1,1,8.980061728,0.317989387,-1.352623537,0.95838426,-1.993018411,-1.993018411,0.02390222,8.545890747,1.010718249,0.683642237,0.002,0.002925507,1.147326818,1.306072371,-2.340706521,0.059687145,-2.533798891,-2.698970004,0.004630107,0.931757336,-1.621561769,-1.101240004,0.880933169,100,0.685227273,0,,,,100,6.926406926,4.834054834,0.577200577,,,,,,,,0.461022727,0.528342246,0.526316502,0.486827732,0.351788115,0.234282852,0.283291203,0.367018362,0.000302952,2.898701299,
