UID,UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,YEAR,UNIQUE_ID,DSGN_CYCLE,SAMPLE_ID,H2O_dD,H2O_d18O,d-excess,LAT_DD83,LON_DD83,ELEVATION
2012814,1000339,4/7/2021,NRS18_AL_10002,7/8/2018,1,2018,NRS_AL-10031,2018-19,896800,-28.28,-4.99,11.62,34.95092177,-87.042028,171.78
2013501,1001029,4/7/2021,NRS18_AL_10002,9/14/2018,2,2018,NRS_AL-10031,2018-19,107300,-27.69,-4.91,11.58,34.95092177,-87.042028,171.78
2013713,1001295,4/7/2021,NRS18_AL_10004,6/5/2019,1,2019,NRS_AL-10038,2018-19,124360,-16.67,-3.37,10.31,32.91383014,-87.5326477,89.265
2014370,1001958,4/7/2021,NRS18_AL_10004,8/11/2019,2,2019,NRS_AL-10038,2018-19,134040,-8.13,-2.49,11.82,32.91383014,-87.5326477,89.265
2013174,1000700,4/7/2021,NRS18_AL_10005,8/7/2018,1,2018,NRS_AL-10046,2018-19,105460,-9.43,-2.36,9.43,32.12422056,-87.52831805,45.655
2014584,1002173,4/7/2021,NRS18_AL_10006,9/4/2019,1,2019,NRS_AL-10034,2018-19,134580,-17.68,-3.63,11.34,31.08686327,-87.08175172,18.665
2012813,1000338,4/7/2021,NRS18_AL_10007,7/9/2018,1,2018,NRS_AL-10039,2018-19,897540,-23.08,-3.89,8.08,33.41281268,-86.75189942,123.71
2014014,1001600,4/7/2021,NRS18_AL_10008,7/10/2019,1,2019,NRS_AL-10040,2018-19,124460,-17.04,-3.64,12.12,31.34380862,-85.60881312,44.46
2012890,1000415,4/7/2021,NRS18_AL_10009,7/13/2018,1,2018,NRS_AL-10067,2018-19,883980,-20.33,-3.98,11.53,31.11972121,-86.15248721,42.215
2013222,1000748,4/7/2021,NRS18_AL_10009,8/10/2018,2,2018,NRS_AL-10067,2018-19,105480,-15.52,-3.31,10.95,31.11972121,-86.15248721,42.215
2012891,1000416,4/7/2021,NRS18_AL_10010,7/12/2018,1,2018,NRS_AL-10073,2018-19,100100,-23.92,-4.3,10.51,32.22869149,-87.14827743,24.425
