UID,O,E,OoverE,Onull,Enull,OoverE.null,BC,BC.null
2014737,5,9.399110792,0.531965216,6,7.693617021,0.779867257,0.462656268,0.383467993
2012488,10,9.247572711,1.081364842,7,7.693617021,0.909845133,0.308207916,0.368664929
2012489,17,13.04507687,1.303173617,9,7.693617021,1.169800885,0.258521055,0.26484833
2012490,4,7.211950466,0.55463498,4,7.693617021,0.519911504,0.518841848,0.518922853
2012491,14,11.76432931,1.190038091,8,7.693617021,1.039823009,0.321516125,0.300976139
2012492,17,16.26694767,1.045063914,10,7.693617021,1.299778761,0.261750989,0.247715248
2012493,11,10.9586094,1.003776994,9,7.693617021,1.169800885,0.306157203,0.267907214
2012494,8,6.646385023,1.203661836,9,7.693617021,1.169800885,0.26615705,0.29084884
2012495,5,7.873372089,0.635051912,5,7.693617021,0.649889381,0.451006848,0.429433456
2012496,4,7.897435368,0.50649354,3,7.693617021,0.389933628,0.605900275,0.663350577
2012497,10,6.632601981,1.507703919,9,7.693617021,1.169800885,0.202457681,0.268926842
2012498,9,6.67718302,1.347873792,8,7.693617021,1.039823009,0.230109001,0.291214751
2012499,7,7.205985596,0.971414653,5,7.693617021,0.649889381,0.333631214,0.434126718
2012500,14,14.5641319,0.96126567,11,12.1559322,0.904907975,0.307125358,0.337432294
2012501,13,13.27704828,0.979133293,10,12.1559322,0.822643614,0.283275929,0.358935129
2012502,4,7.16187445,0.558513002,3,7.693617021,0.389933628,0.514870046,0.571030641
2012503,9,9.950498347,0.904477312,7,7.693617021,0.909845133,0.366711817,0.401100492
2012504,10,11.04858942,0.905092914,6,7.693617021,0.779867257,0.373677878,0.415164699
2012506,11,13.26745401,0.829096524,8,7.693617021,1.039823009,0.32520807,0.305314534
2012507,17,13.73411514,1.237793613,14,12.1559322,1.15170106,0.189310417,0.254276827
2012508,12,13.38332595,0.896638104,9,12.1559322,0.740379253,0.280324753,0.381829835
2012510,5,7.752954918,0.644915397,7,7.693617021,0.909845133,0.449598311,0.376194613
2012511,7,9.799530113,0.714319964,6,7.693617021,0.779867257,0.435960903,0.432566812
2012512,1,6.54295534,0.152836134,1,7.693617021,0.129977876,0.780091423,0.816935879
2012513,8,7.104971729,1.125972109,6,7.693617021,0.779867257,0.326725404,0.415164699
2012514,14,11.16630392,1.253772072,10,7.693617021,1.299778761,0.264296708,0.254449254
2012515,14,8.836341623,1.584366087,11,7.693617021,1.429756637,0.226115832,0.233781015
2012516,9,14.765715,0.609520094,8,12.1559322,0.658114891,0.445806957,0.409687185
2012517,4,11.78260457,0.339483514,5,12.1559322,0.411321807,0.637462628,0.607587433
2012518,1,9.498544061,0.105279293,1,7.693617021,0.129977876,0.841936317,0.838472834
2012519,6,8.002932053,0.749725221,6,7.693617021,0.779867257,0.371646713,0.376631448
2012520,10,8.565369936,1.167491898,9,7.693617021,1.169800885,0.289418731,0.290339026
2012521,8,8.018392209,0.997706247,9,7.693617021,1.169800885,0.296277532,0.283201631
2012522,19,16.92308331,1.122726849,12,12.1559322,0.987172337,0.264301064,0.305641313
2012523,6,9.222484773,0.650583888,6,7.693617021,0.779867257,0.491258433,0.453697949
2012524,12,13.88615862,0.864169878,12,12.1559322,0.987172337,0.321469294,0.292730845
2012525,12,10.47672182,1.145396452,9,7.693617021,1.169800885,0.265662887,0.273515167
2012526,9,8.958037734,1.004684314,6,7.693617021,0.779867257,0.347655009,0.376631448
2012527,16,14.1148022,1.133561758,14,12.1559322,1.15170106,0.256386359,0.292897875
2012528,11,16.26694767,0.676217827,7,7.693617021,0.909845133,0.40417334,0.362872864
2012529,15,16.9671597,0.884060754,10,12.1559322,0.822643614,0.359406914,0.363525092
2012530,10,10.43157626,0.958627896,8,7.693617021,1.039823009,0.320199097,0.331344902
2012531,14,16.38265963,0.854562099,10,12.1559322,0.822643614,0.384261705,0.372705018
