UID,DATE_COL,SITE_ID,VISIT_NO,OE_SCORE
1317,10/13/2009,FW08TX012,2,0.533027653
1318,6/24/2009,FW08TX012,1,0.666284566
1319,8/27/2009,FW08TX061,1,0.889681799
1320,5/12/2009,FW08TX059,1,0.994855381
1321,7/22/2009,FW08TX058,1,0.843245913
1322,8/6/2009,FW08TX066,1,0.916091363
1323,10/15/2009,FW08TX064,1,1.054596229
1324,9/17/2009,FW08TX046,1,0.275161736
1325,8/18/2009,FW08TX038,1,0.827057278
1326,6/25/2009,FW08TX033,1,0.397791166
1327,8/20/2009,FW08TX030,1,0.709957188
1328,10/14/2009,FW08TX015,2,1.015859026
1329,7/8/2009,FW08TX015,1,0.846549189
1330,6/23/2009,FW08TX065,1,0.254577091
1331,9/9/2008,FW08TX055,1,0.660834721
1332,10/1/2009,FW08TX023,1,0.644922329
1333,9/2/2009,FW08TX062,1,0.474233201
1334,6/2/2009,FW08TX063,1,1.025125704
1335,8/19/2009,FW08TX022,1,0.709957188
1336,9/16/2009,FW08TX068,1,0.972950055
1337,7/9/2009,FW08TX052,1,0.151239139
1338,7/23/2009,FW08TX050,1,1.068065076
1417,7/30/2008,FW08TX028,1,1.344000991
9694,7/22/2008,FW08ND018,1,1.179610941
9830,6/4/2008,FW08CA001,1,1.203050972
9832,6/3/2008,FW08CA015,1,1.272759058
9920,7/14/2008,FW08DE001,1,1.301932027
9922,7/8/2008,FW08DE008,1,0.844646663
9923,7/7/2008,FW08DE015,1,0.684809725
9924,7/29/2008,FW08DE021,1,0.65825225
9928,7/2/2008,FW08IN013,1,0.929032055
10000,8/5/2008,FW08KS001,1,1.226910366
10001,8/11/2008,FW08KS003,1,0.437888386
10002,7/22/2008,FW08KS005,1,0.604007729
10003,8/12/2008,FW08KS006,1,0.363642282
10004,7/15/2008,FW08KS012,1,1.235424465
10006,8/25/2008,FW08KS036,1,0.682913969
10007,7/8/2008,FW08KS039,1,0.737226918
10060,7/16/2008,FW08LA011,1,0.882820353
10109,8/20/2008,FW08DE002,1,0.951394203
10828,7/29/2008,FW08KS033,1,0.770485963
10829,9/3/2008,FW08DE001,2,1.101634792
10842,8/13/2008,FW08DE013,1,1.040575117
10854,6/16/2008,FW08NV003,1,0.857227706
10856,8/6/2008,FW08NV069,1,1.313208246
10857,8/5/2008,FW08NV003,2,0.32146039
10858,7/9/2008,FW08NV004,1,1.069138779
10871,8/7/2008,FW08NV004,2,0.852156128
10872,6/12/2008,FW08NV005,1,0.901170831
10875,6/24/2008,FW08NV006,1,0.987212776
10876,7/15/2008,FW08NV008,1,1.155621217
10885,6/10/2008,FW08NV009,1,0.802974322
10886,6/25/2008,FW08NV010,1,0.825402682
10887,6/25/2008,FW08NV011,1,1.098031932
10888,6/3/2008,FW08NV012,1,0.591579476
10889,6/26/2008,FW08NV014,1,1.057726358
10890,6/27/2008,FW08NV015,1,0.730360011
10893,7/22/2008,FW08NV019,1,0.835034719
10895,8/11/2008,FW08NV019,2,1.070955106
10896,6/4/2008,FW08NV022,1,1.011054976
10897,6/5/2008,FW08NV026,1,1.068055881
10898,6/17/2008,FW08NV028,1,1.220100053
10899,6/11/2008,FW08NV029,1,1.044736892
10900,6/18/2008,FW08NV031,1,0.379478605
10901,6/10/2008,FW08NV032,1,0.90569646
10918,6/11/2008,FW08NV033,1,0.771788542
10922,7/24/2008,FW08NV034,1,0.546443632
10926,6/17/2008,FW08NV035,1,0.247972316
10927,6/26/2008,FW08NV037,1,0.968370911
10928,6/3/2008,FW08NV038,1,0.597552932
10951,7/31/2008,FW08NV049,1,0.862332301
10954,6/30/2008,FW08NV040,1,0.900497289
10956,7/22/2008,FW08NV050,1,0.818251514
10958,9/5/2008,FW08CA044,1,0.527522769
10962,7/23/2008,FW08NV051,1,0.606566167
10963,6/24/2008,FW08NV053,1,0.958729133
10964,7/8/2008,FW08NV054,1,0.820019768
10965,7/1/2008,FW08NV056,1,1.082058712
10969,9/7/2008,FW08CA059,1,0.41480031
10971,7/16/2008,FW08NV057,1,0.717353339
10973,7/24/2008,FW08NV058,1,0.74563249
10978,7/8/2008,FW08NV041,1,0.840216149
10979,6/5/2008,FW08NV039,1,0.53238822
10989,7/23/2008,FW08NV062,1,0.127707636
10990,7/10/2008,FW08NV063,1,0.845378974
10991,7/17/2008,FW08NV065,1,1.190901651
10992,7/28/2008,FW08NV066,1,0.546447187
10993,9/9/2008,FW08NV069,2,0.955060543
10994,9/18/2008,FW08CA020,1,0.728474108
10995,9/15/2008,FW08CA031,1,1.221594049
10996,9/10/2008,FW08CA035,1,0.508684937
10997,9/20/2008,FW08CA040,1,1.026278956
10998,9/19/2008,FW08CA056,1,0.721814932
10999,9/12/2008,FW08CA061,1,0.388262566
11000,9/16/2008,FW08CA063,1,0.93567569
11001,9/9/2008,FW08CA067,1,0.823388352
11002,9/21/2008,FW08CA068,1,1.225734544
11003,9/14/2008,FW08OR001,1,0.640071318
11004,7/22/2008,FW08OR002,1,0.488966775
11005,7/23/2008,FW08OR004,1,1.362135873
11013,7/21/2008,FW08OR005,1,1.008872616
11014,9/15/2008,FW08OR006,1,0.576417808
11016,7/17/2008,FW08OR008,1,0.928140981
11017,7/9/2008,FW08OR009,1,1.060363125
11018,8/3/2008,FW08OR010,1,0.967995777
11020,8/19/2008,FW08OR015,1,0.957369984
11021,8/12/2008,FW08OR016,1,0.888218321
11022,9/17/2008,FW08OR016,2,1.009712129
11025,7/7/2008,FW08OR019,1,0.85382692
11026,8/1/2008,FW08OR022,1,0.99382807
11027,9/30/2008,FW08OR027,1,0.846296456
11031,7/8/2008,FW08OR035,1,0.706579199
11035,9/11/2008,FW08OR043,1,0.992348467
11036,8/13/2008,FW08OR044,1,1.088286837
11037,8/21/2008,FW08OR047,1,0.751411393
11039,9/13/2008,FW08OR050,1,1.207979328
11040,7/19/2008,FW08OR045,1,0.931975549
11041,9/29/2008,FW08OR051,1,0.609322861
11042,7/20/2008,FW08OR052,1,1.229713951
11044,8/20/2008,FW08OR054,1,0.535533883
11045,8/5/2008,FW08OR058,1,1.205469043
11046,9/16/2008,FW08OR058,2,0.947154248
11047,8/2/2008,FW08OR059,1,0.153606124
11051,7/18/2008,FW08OR069,1,1.04481763
11053,8/14/2008,FW08OR060,1,1.058638074
11079,7/11/2008,FW08CO001,1,0.698524394
11080,8/5/2008,FW08CO001,2,0.977934151
11081,7/15/2008,FW08CO003,1,0.91692549
11082,8/4/2008,FW08CO003,2,1.22256732
11083,7/16/2008,FW08CO006,1,1.25448469
11084,7/2/2008,FW08CO010,1,1.135601372
11085,6/30/2008,FW08CO012,1,0.83800577
11086,7/28/2008,FW08CO013,1,0.927201934
11087,6/18/2008,FW08CO014,1,0.906979875
11088,9/11/2008,FW08CO017,1,1.105243451
11089,7/1/2008,FW08CO019,1,0.518250423
11090,7/29/2008,FW08CO020,1,0.692696811
11091,7/14/2008,FW08CO021,1,0.601489584
11093,9/25/2008,FW08CO025,2,1.112122168
11094,8/15/2008,FW08CO025,1,1.000909951
11095,9/2/2008,FW08CO027,1,0.951203959
11096,8/12/2008,FW08CO031,1,1.014944143
11097,9/17/2008,FW08CO038,1,1.004988375
11098,7/9/2008,FW08CO073,1,0.524505903
11099,7/30/2008,FW08CO076,1,1.004583069
11100,10/1/2008,FW08CO103,1,0.758014973
11106,9/12/2008,FW08IL006,1,0.514926212
11107,9/24/2008,FW08IL011,1,1.153480063
11108,10/7/2008,FW08IL011,2,0.67286337
11109,10/8/2008,FW08IL017,1,1.012284254
11114,9/28/2008,FW08IL022,1,1.002673408
11117,9/28/2008,FW08IL018,1,1.017778976
11118,9/13/2008,FW08IL024,1,1.370935329
11119,9/25/2008,FW08IL027,1,0.63805062
11120,9/11/2008,FW08IL028,1,1.172274586
11121,10/10/2008,FW08IL029,1,0.918013594
11123,9/23/2008,FW08IL031,1,0.82406775
11124,10/9/2008,FW08IL036,1,0.715746736
11125,10/6/2008,FW08IL038,1,0.879487043
11134,7/1/2008,FW08VT003,1,0.639672484
11135,8/21/2008,FW08VT004,1,0.878356977
11136,6/24/2008,FW08VT005,1,1.088368832
11137,8/18/2008,FW08VT007,1,1.058867209
11138,7/30/2008,FW08VT008,1,0.641424929
11139,7/2/2008,FW08TX003,1,0.846088989
11140,7/9/2008,FW08TX004,1,0.752165313
11144,7/6/2008,FW08TX010,1,0.935954151
11145,6/30/2008,FW08TX011,1,0.577367018
11146,7/5/2008,FW08TX017,1,1.281656381
11151,7/8/2008,FW08TX031,1,0.862730226
11153,6/28/2008,FW08TX045,1,0.657227333
11175,7/30/2008,FW08IN002,1,1.372209773
11176,8/7/2008,FW08IN003,1,1.32771374
11177,8/11/2008,FW08IN004,1,1.059532715
11180,8/10/2008,FW08IN005,1,0.497361738
11181,8/1/2008,FW08IN008,1,0.590878081
11182,9/5/2008,FW08IN002,2,1.097767819
11183,9/4/2008,FW08IN008,2,0.517018321
11184,7/1/2008,FW08IN009,1,1.074072872
11185,7/17/2008,FW08IN011,1,1.276654958
11186,7/16/2008,FW08IN014,1,1.126389608
11187,7/13/2008,FW08IN015,1,0.926597591
11188,8/4/2008,FW08IN016,1,0.643255662
11189,7/10/2008,FW08IN017,1,0.679788104
11191,9/5/2008,FW08IN020,1,0.465834163
11192,8/8/2008,FW08IN023,1,1.149954025
11193,8/3/2008,FW08IN018,1,0.869600979
11194,8/13/2008,FW08MI023,1,1.045914788
11195,7/2/2008,FW08IN025,1,1.275217341
11196,8/6/2008,FW08IN028,1,0.82567221
11197,7/1/2008,FW08IN029,1,1.118143589
11198,7/15/2008,FW08IN030,1,0.914439332
11199,7/11/2008,FW08IN033,1,0.833252059
11200,8/14/2008,FW08MI038,1,0.748205265
11201,7/10/2008,FW08MI019,1,1.271374756
11203,7/9/2008,FW08MI024,1,1.246674245
11205,7/11/2008,FW08MI026,1,1.019658759
11206,7/1/2008,FW08MI028,1,1.005766046
11207,9/11/2008,FW08MI030,1,1.402598813
11208,9/12/2008,FW08MI033,1,0.838373969
11210,7/7/2008,FW08MI036,1,0.835713418
11211,10/16/2008,FW08MI037,1,0.50764809
11213,7/17/2008,FW08MI041,1,0.803822196
11214,9/14/2008,FW08MI042,1,0.948494132
11215,9/9/2008,FW08MI044,1,0.909134314
11217,9/15/2008,FW08MI046,1,0.832907879
11218,7/24/2008,FW08MI047,1,1.081376281
11219,7/22/2008,FW08MI048,1,0.679082055
11220,7/20/2008,FW08MI050,1,0.924513306
11221,9/16/2008,FW08MI057,1,0.997213347
11222,9/9/2008,FW08MI058,1,0.29076814
11228,8/25/2008,FW08IA002,1,1.294459892
11229,10/7/2008,FW08IA002,2,1.165013903
11230,9/10/2008,FW08IA004,1,0.434956643
11231,10/6/2008,FW08IA004,2,0.652434965
11232,10/14/2008,FW08IA005,1,0.959781941
11233,8/20/2008,FW08IA008,1,1.245319329
11234,8/21/2008,FW08IA009,1,1.018820621
11235,9/17/2008,FW08IA011,1,0.453425979
11236,10/16/2008,FW08IA013,1,0.768003527
11237,10/13/2008,FW08IA014,1,0.671053245
11238,9/18/2008,FW08IA016,1,0.702301419
11239,9/16/2008,FW08IA017,1,0.907715408
11240,8/12/2008,FW08IA023,1,1.334772836
11241,10/9/2008,FW08IA027,1,0.9343262
11242,8/19/2008,FW08IA028,1,0.557006525
11244,10/15/2008,FW08IA031,1,0.788998352
11245,8/18/2008,FW08IA036,1,1.177783087
11246,8/26/2008,FW08IA041,1,0.437970189
11247,10/1/2008,FW08IA042,1,1.291635387
11248,9/2/2008,FW08IA043,1,0.726086887
11249,9/4/2008,FW08IA048,1,0.947404787
11250,9/15/2008,FW08IA054,1,1.336576255
11251,9/23/2008,FW08IA055,1,1.079028065
11254,8/25/2008,FW08RIN9035,1,1.076290952
11255,8/26/2008,FW08RIN9046,1,1.163124524
11256,7/25/2008,FW08RMI9106,1,0.81535047
11257,7/28/2008,FW08RMI9110,1,1.228318231
11258,7/23/2008,FW08RMI9004,1,0.832403548
11259,7/24/2008,FW08RMI9002,1,0.731043458
11260,7/26/2008,FW08RMI9105,1,1.32700958
11266,9/13/2008,FW08MI019,2,0.782384465
11279,9/24/2008,FW08MN017,1,0.606875631
11280,10/1/2008,FW08MN018,1,0.753236184
11282,9/25/2008,FW08MN021,1,0.82685389
11285,9/30/2008,FW08MN033,1,1.043177779
11286,7/18/2008,FW08MI034,1,0.915703235
11287,10/4/2008,FW08MN034,1,0.762314917
11288,9/26/2008,FW08MN037,1,0.827220473
