nrsa_survey,UID,UNIQUE_ID,SITE_ID,VISIT_NO,YEAR,LAT_DD83,LON_DD83,COMID,GrazingPotentialCat,GrazingPotentialWs
nrsa0809,11302,NRS_AR-10040,FW08AR004,1,2008,34.50655745,-94.18862207,15236258,16.00658313,8.973311492
nrsa0809,11301,NRS_AR-10016,FW08AR007,1,2008,34.98609295,-93.60350937,7805589,26.90347923,7.067114297
nrsa0809,11303,NRS_AR-10026,FW08AR008,1,2008,34.42724497,-92.38033902,21923571,3.402668631,9.293160298
nrsa0809,11299,NRS_AR-10055,FW08AR009,1,2008,33.88132106,-93.49051167,22702780,26.63661824,34.54820599
nrsa0809,11300,NRS_AR-10082,FW08AR035,1,2008,35.76862941,-93.1659807,7764647,1.496664557,1.234672077
nrsa0809,11652,NRS_AR-10108,FW08AR067,1,2008,34.01733467,-90.98794483,14191085,0.532174952,13.64518886
nrsa0809,11653,NRS_AR-10115,FW08AR078,1,2008,34.73421624,-90.45759671,14189961,0.261388332,13.74456559
nrsa0809,11654,NRS_AR-10120,FW08AR087,1,2008,33.71397906,-91.15474059,18055942,0.831477114,14.68572828
nrsa0809,11661,NRS_AR-10162,FW08AR205,1,2008,33.32053452,-91.16848524,18057726,1.856301349,14.68296307
nrsa0809,11663,NRS_AR-10186,FW08AR274,1,2008,34.96117098,-90.27260038,7476356,2.794363928,13.74662668
nrsa0809,9830,NRS_CA-10304,FW08CA001,1,2008,33.76055,-116.5497,22592131,0.972921769,0.582180168
nrsa0809,11936,NRS_CA-10124,FW08CA004,1,2008,38.67542,-121.4472,15022523,11.01474743,2.022360946
nrsa0809,11938,NRS_CA-10359,FW08CA006,1,2008,38.73208,-119.9293,8922673,0.824594579,0.450284227
nrsa0809,11939,NRS_CA-10165,FW08CA007,1,2008,34.74768,-120.054,17607469,8.613098492,3.76650197
nrsa0809,11940,NRS_CA-10285,FW08CA010,1,2008,42.00286,-122.7643,359295,2.028521894,2.153169632
nrsa0809,11941,NRS_CA-10300,FW08CA011,1,2008,38.31082,-119.3439,8914957,0.719712396,1.147521696
nrsa0809,11942,NRS_CA-10333,FW08CA012,1,2008,34.55733,-119.2497,17568579,1.040626251,0.97692746
nrsa0809,11943,NRS_CA-10458,FW08CA013,1,2008,41.09036,-124.0858,8315767,5.188722059,6.189491575
nrsa0809,9832,NRS_CA-10150,FW08CA015,1,2008,32.89962,-116.5887,20332896,0.958092631,0.539513692
