nrsa_survey,UID,UNIQUE_ID,SITE_ID,VISIT_NO,YEAR,LAT_DD83,LON_DD83,COMID,GrazingHabitatCat,GrazingHabitatWs
nrsa0809,11302,NRS_AR-10040,FW08AR004,1,2008,34.50655745,-94.18862207,15236258,1951.918095,1179.040115
nrsa0809,11301,NRS_AR-10016,FW08AR007,1,2008,34.98609295,-93.60350937,7805589,15856.71642,5054.436686
nrsa0809,11303,NRS_AR-10026,FW08AR008,1,2008,34.42724497,-92.38033902,21923571,14168.60465,15013.28475
nrsa0809,11299,NRS_AR-10055,FW08AR009,1,2008,33.88132106,-93.49051167,22702780,17291.39623,19823.00079
nrsa0809,11300,NRS_AR-10082,FW08AR035,1,2008,35.76862941,-93.1659807,7764647,619.366924,652.7377146
nrsa0809,11652,NRS_AR-10108,FW08AR067,1,2008,34.01733467,-90.98794483,14191085,6865.809871,14183.23322
nrsa0809,11653,NRS_AR-10115,FW08AR078,1,2008,34.73421624,-90.45759671,14189961,8576.393422,14182.11337
nrsa0809,11654,NRS_AR-10120,FW08AR087,1,2008,33.71397906,-91.15474059,18055942,13288.76627,14686.52055
nrsa0809,11661,NRS_AR-10162,FW08AR205,1,2008,33.32053452,-91.16848524,18057726,14004.96164,14686.24869
nrsa0809,11663,NRS_AR-10186,FW08AR274,1,2008,34.96117098,-90.27260038,7476356,11005.70692,14182.5266
nrsa0809,9830,NRS_CA-10304,FW08CA001,1,2008,33.76055,-116.5497,22592131,991.9612355,658.937653
nrsa0809,11936,NRS_CA-10124,FW08CA004,1,2008,38.67542,-121.4472,15022523,15088.8022,6654.043989
nrsa0809,11938,NRS_CA-10359,FW08CA006,1,2008,38.73208,-119.9293,8922673,7403.873704,5580.703841
nrsa0809,11939,NRS_CA-10165,FW08CA007,1,2008,34.74768,-120.054,17607469,12525.04186,6031.986185
nrsa0809,11940,NRS_CA-10285,FW08CA010,1,2008,42.00286,-122.7643,359295,2648.587387,2788.926368
nrsa0809,11941,NRS_CA-10300,FW08CA011,1,2008,38.31082,-119.3439,8914957,7920.282478,7115.569966
nrsa0809,11942,NRS_CA-10333,FW08CA012,1,2008,34.55733,-119.2497,17568579,5838.397346,4740.066132
nrsa0809,11943,NRS_CA-10458,FW08CA013,1,2008,41.09036,-124.0858,8315767,4409.204471,6008.562118
nrsa0809,9832,NRS_CA-10150,FW08CA015,1,2008,32.89962,-116.5887,20332896,5756.996775,3402.697319
nrsa0809,11944,NRS_CA-10352,FW08CA016,1,2008,37.32878,-121.6749,2810225,3046.812298,5834.005899
