UNIQUE_ID,IND_DOMAIN,DSGN_CYCLE,WGT_TP,SITE_ID
NRS_AL-10031,CORE,2008-09,82.35681396,FW08AL012
NRS_AL-10031,CORE,2013-14,82.35681396,ALR9-0901
NRS_AL-10031,CORE,2018-19,82.35681396,NRS18_AL_10002
NRS_AL-10032,CORE,2008-09,1779.048842,FW08AL013
NRS_AL-10032,CORE,2013-14,1779.048842,ALS9-0916
NRS_AL-10033,CORE,2008-09,124.8458103,FW08AL014
NRS_AL-10033,CORE,2013-14,124.8458103,ALR9-0902
NRS_AL-10034,CORE,2008-09,124.8458103,FW08AL015
NRS_AL-10034,CORE,2013-14,124.8458103,ALR9-0903
NRS_AL-10034,CORE,2018-19,124.8458103,NRS18_AL_10006
NRS_AL-10035,CORE,2008-09,1487.253794,FW08AL016
NRS_AL-10035,CORE,2013-14,1487.253794,ALS9-0917
NRS_AL-10037,CORE,2008-09,1779.048842,FW08AL018
NRS_AL-10037,CORE,2013-14,1779.048842,ALS9-0918
NRS_AL-10038,CORE,2008-09,4047.051336,FW08AL019
NRS_AL-10038,CORE,2013-14,4047.051336,ALS9-0919
NRS_AL-10038,CORE,2018-19,4047.051336,NRS18_AL_10004
NRS_AL-10039,CORE,2008-09,82.35681396,FW08AL020
NRS_AL-10039,CORE,2013-14,82.35681396,ALR9-0904
NRS_AL-10039,CORE,2018-19,82.35681396,NRS18_AL_10007
NRS_AL-10040,CORE,2008-09,124.8458103,FW08AL021
NRS_AL-10040,CORE,2013-14,124.8458103,ALR9-0905
NRS_AL-10040,CORE,2018-19,124.8458103,NRS18_AL_10008
NRS_AL-10041,CORE,2008-09,124.8458103,FW08AL022
NRS_AL-10041,CORE,2013-14,124.8458103,ALR9-0906
NRS_AL-10042,CORE,2008-09,124.8458103,FW08AL023
NRS_AL-10043,CORE,2008-09,82.35681396,FW08AL024
NRS_AL-10044,CORE,2008-09,124.8458103,FW08AL025
NRS_AL-10045,CORE,2008-09,124.8458103,FW08AL026
NRS_AL-10046,CORE,2008-09,4047.051336,FW08AL027
NRS_AL-10046,CORE,2013-14,4047.051336,ALS9-0920
NRS_AL-10046,CORE,2018-19,4047.051336,NRS18_AL_10005
NRS_AL-10047,CORE,2008-09,82.35681396,FW08AL028
NRS_AL-10048,CORE,2008-09,82.35681396,FW08AL029
NRS_AL-10049,CORE,2008-09,974.759622,FW08AL030
NRS_AL-10049,CORE,2013-14,974.759622,ALS9-0921
NRS_AL-10050,CORE,2008-09,82.35681396,FW08AL031
NRS_AL-10051,CORE,2008-09,974.759622,FW08AL032
NRS_AL-10051,CORE,2013-14,974.759622,ALS9-0922
NRS_AL-10051,CORE,2018-19,974.759622,NRS18_AL_10031
NRS_AL-10052,CORE,2008-09,1779.048842,FW08AL033
NRS_AL-10052,CORE,2013-14,1779.048842,ALS9-0923
NRS_AL-10053,CORE,2008-09,124.8458103,FW08AL034
NRS_AL-10054,CORE,2008-09,124.8458103,FW08AL035
NRS_AL-10055,CORE,2008-09,4047.051336,FW08AL036
NRS_AL-10057,CORE,2008-09,1779.048842,FW08AL046
NRS_AL-10058,CORE,2008-09,4047.051336,FW08AL047
NRS_AL-10061,CORE,2008-09,4047.051336,FW08AL051
NRS_AL-10067,CORE,2013-14,974.759622,ALLS-1037
NRS_AL-10067,CORE,2018-19,974.759622,NRS18_AL_10009
NRS_AL-10069,CORE,2013-14,974.759622,ALLS-1039
NRS_AL-10069,CORE,2018-19,974.759622,NRS18_AL_10013
NRS_AL-10071,CORE,2013-14,974.759622,ALLS-1041
NRS_AL-10071,CORE,2018-19,974.759622,NRS18_AL_10014
NRS_AL-10072,CORE,2013-14,1487.253794,ALLS-1042
NRS_AL-10073,CORE,2013-14,124.8458103,ALRM-1001
NRS_AL-10073,CORE,2018-19,124.8458103,NRS18_AL_10010
NRS_AL-10074,CORE,2013-14,124.8458103,ALRM-1002
NRS_AL-10074,CORE,2018-19,124.8458103,NRS18_AL_10017
NRS_AL-10075,CORE,2013-14,82.35681396,ALRM-1003
NRS_AL-10075,CORE,2018-19,82.35681396,NRS18_AL_10018
NRS_AL-10077,CORE,2013-14,124.8458103,ALRO-1020
NRS_AL-10077,CORE,2018-19,124.8458103,NRS18_AL_10015
NRS_AL-10078,CORE,2013-14,82.35681396,ALRO-1021
NRS_AL-10078,CORE,2018-19,82.35681396,NRS18_AL_10016
NRS_AL-10080,CORE,2013-14,124.8458103,ALRO-1023
NRS_AL-10083,CORE,2013-14,1779.048842,ALSS-1063
NRS_AL-10084,CORE,2013-14,1779.048842,ALSS-1064
NRS_AL-10085,CORE,2013-14,1779.048842,ALSS-1065
NRS_AL-10086,CORE,2013-14,4047.051336,ALSS-1066
NRS_AL-10091,CORE,2018-19,4047.051336,NRS18_AL_10019
NRS_AL-10092,CORE,2018-19,4047.051336,NRS18_AL_10020
NRS_AL-10094,CORE,2018-19,974.759622,NRS18_AL_10022
NRS_AL-10095,CORE,2018-19,1487.253794,NRS18_AL_10023
NRS_AL-10097,CORE,2018-19,82.35681396,NRS18_AL_10025
NRS_AL-10101,CORE,2018-19,4047.051336,NRS18_AL_10039
NRS_AL-10102,CORE,2018-19,1779.048842,NRS18_AL_10188
NRS_AL-10103,CORE,2018-19,1779.048842,NRS18_AL_10189
NRS_AL-10105,CORE,2018-19,1779.048842,NRS18_AL_10191
NRS_AL-10106,CORE,2018-19,124.8458103,NRS18_AL_10638
NRS_AL-10107,CORE,2018-19,124.8458103,NRS18_AL_10938
NRS_AL-10108,CORE,2018-19,82.35681396,NRS18_AL_11088
NRS_AR-10057,CORE,2008-09,106.7312004,FW08AR010
NRS_AR-10057,CORE,2013-14,106.7312004,ARR9-0901
NRS_AR-10057,CORE,2018-19,106.7312004,NRS18_AR_10002
NRS_AR-10059,CORE,2008-09,106.7312004,FW08AR012
NRS_AR-10059,CORE,2013-14,106.7312004,ARR9-0902
NRS_AR-10060,CORE,2008-09,2417.249841,FW08AR013
NRS_AR-10061,CORE,2008-09,106.7312004,FW08AR014
NRS_AR-10061,CORE,2013-14,106.7312004,ARR9-0903
NRS_AR-10061,CORE,2018-19,106.7312004,NRS18_AR_10006
NRS_AR-10063,CORE,2008-09,115.1583705,FW08AR016
NRS_AR-10063,CORE,2013-14,115.1583705,ARR9-0904
NRS_AR-10063,CORE,2018-19,115.1583705,NRS18_AR_10007
NRS_AR-10064,CORE,2008-09,106.7312004,FW08AR017
NRS_AR-10064,CORE,2013-14,106.7312004,ARR9-0905
NRS_AR-10064,CORE,2018-19,106.7312004,NRS18_AR_10008
NRS_AR-10066,CORE,2008-09,115.1583705,FW08AR019
NRS_AR-10066,CORE,2013-14,115.1583705,ARR9-0906
NRS_AR-10067,CORE,2008-09,323.8809517,FW08AR020
NRS_AR-10067,CORE,2013-14,323.8809517,ARS9-0944
NRS_AR-10067,CORE,2018-19,323.8809517,NRS18_AR_10001
NRS_AR-10069,CORE,2008-09,106.7312004,FW08AR022
NRS_AR-10069,CORE,2013-14,106.7312004,ARR9-0907
NRS_AR-10071,CORE,2008-09,106.7312004,FW08AR024
