SITE_ID,YEAR,VISIT_NO,EPT_RICH,UNIQUE_ID,MMI_BENT
FW08AL011,2009,1,9,NRS_AL-10005,27.74
FW08AL009,2009,1,9,NRS_AL-10006,35.56
FW08AL004,2009,1,17,NRS_AL-10010,49.64
FW08AL002,2009,1,7,NRS_AL-10019,22.72
FW08AL002,2009,2,7,NRS_AL-10019,23.51
FW08AL008,2009,1,11,NRS_AL-10020,39.51
FW08AL007,2009,1,12,NRS_AL-10023,25.65
FW08AL003,2009,1,3,NRS_AL-10024,34.26
FW08AL006,2009,1,7,NRS_AL-10026,24.39
FW08AL001,2009,1,12,NRS_AL-10029,29.65
FW08AL001,2009,2,13,NRS_AL-10029,29.51
FW08AL012,2009,1,0,NRS_AL-10031,13.70
FW08AL012,2009,2,5,NRS_AL-10031,17.16
ALR9-0901,2013,1,4,NRS_AL-10031,18.70
ALR9-0901,2013,2,5,NRS_AL-10031,27.22
NRS18_AL_10002,2018,1,2,NRS_AL-10031,9.50
NRS18_AL_10002,2018,2,3,NRS_AL-10031,7.73
FW08AL013,2009,1,16,NRS_AL-10032,47.69
ALS9-0916,2013,1,2,NRS_AL-10032,5.70
ALS9-0916,2013,2,2,NRS_AL-10032,1.57
FW08AL014,2009,1,17,NRS_AL-10033,80.55
ALR9-0902,2014,1,7,NRS_AL-10033,51.72
ALR9-0902,2014,2,6,NRS_AL-10033,53.07
FW08AL015,2009,1,18,NRS_AL-10034,76.52
ALR9-0903,2014,1,13,NRS_AL-10034,69.68
NRS18_AL_10006,2019,1,7,NRS_AL-10034,47.87
FW08AL016,2009,1,11,NRS_AL-10035,35.83
FW08AL016,2009,2,6,NRS_AL-10035,15.73
ALS9-0917,2014,1,11,NRS_AL-10035,39.55
ALS9-0917,2014,2,7,NRS_AL-10035,23.23
FW08AL018,2009,1,9,NRS_AL-10037,28.26
ALS9-0918,2013,1,9,NRS_AL-10037,32.52
FW08AL019,2009,1,1,NRS_AL-10038,22.39
ALS9-0919,2013,1,1,NRS_AL-10038,42.25
NRS18_AL_10004,2019,1,2,NRS_AL-10038,34.57
NRS18_AL_10004,2019,2,1,NRS_AL-10038,26.60
FW08AL020,2009,1,9,NRS_AL-10039,54.78
ALR9-0904,2013,1,9,NRS_AL-10039,41.00
NRS18_AL_10007,2018,1,6,NRS_AL-10039,10.68
FW08AL021,2009,1,17,NRS_AL-10040,69.98
ALR9-0905,2014,1,17,NRS_AL-10040,88.73
NRS18_AL_10008,2019,1,8,NRS_AL-10040,37.45
FW08AL022,2009,1,9,NRS_AL-10041,46.04
ALR9-0906,2014,1,9,NRS_AL-10041,42.43
FW08AL023,2009,1,13,NRS_AL-10042,63.59
FW08AL024,2009,1,12,NRS_AL-10043,30.75
FW08AL025,2009,1,3,NRS_AL-10044,32.82
FW08AL026,2009,1,2,NRS_AL-10045,40.65
FW08AL027,2009,1,4,NRS_AL-10046,22.24
ALS9-0920,2013,1,5,NRS_AL-10046,34.52
NRS18_AL_10005,2018,1,1,NRS_AL-10046,15.95
FW08AL028,2009,1,0,NRS_AL-10047,3.70
FW08AL029,2009,1,15,NRS_AL-10048,43.69
FW08AL030,2009,1,2,NRS_AL-10049,37.40
ALS9-0921,2013,1,2,NRS_AL-10049,39.27
FW08AL031,2009,1,15,NRS_AL-10050,59.12
FW08AL032,2009,1,17,NRS_AL-10051,69.04
ALS9-0922,2013,1,9,NRS_AL-10051,31.02
NRS18_AL_10031,2019,1,13,NRS_AL-10051,54.70
FW08AL033,2009,1,3,NRS_AL-10052,3.79
ALS9-0923,2013,1,6,NRS_AL-10052,21.83
FW08AL034,2009,1,2,NRS_AL-10053,20.47
FW08AL035,2009,1,0,NRS_AL-10054,18.37
FW08AL036,2009,1,3,NRS_AL-10055,45.86
FW08AL046,2009,1,10,NRS_AL-10057,24.19
FW08AL047,2009,1,9,NRS_AL-10058,55.42
FW08AL051,2009,1,8,NRS_AL-10061,52.35
FW08RAL9016,2009,1,15,NRS_AL-10062,76.37
FW08RAL9025,2009,1,5,NRS_AL-10063,45.53
FW08RAL9038,2009,1,10,NRS_AL-10064,68.80
FW08RAL9059,2009,1,6,NRS_AL-10065,52.29
FW08RAL9066,2009,1,12,NRS_AL-10066,68.54
ALLS-1037,2014,1,11,NRS_AL-10067,66.73
NRS18_AL_10009,2018,1,1,NRS_AL-10067,23.35
NRS18_AL_10009,2018,2,1,NRS_AL-10067,18.15
ALLS-1039,2014,1,6,NRS_AL-10069,40.22
NRS18_AL_10013,2019,1,0,NRS_AL-10069,17.98
ALLS-1041,2014,1,4,NRS_AL-10071,33.18
NRS18_AL_10014,2018,1,2,NRS_AL-10071,17.25
ALLS-1042,2014,1,20,NRS_AL-10072,59.78
ALRM-1001,2013,1,4,NRS_AL-10073,35.55
NRS18_AL_10010,2018,1,3,NRS_AL-10073,23.90
NRS18_AL_10010,2018,2,1,NRS_AL-10073,16.38
ALRM-1002,2013,1,2,NRS_AL-10074,23.52
NRS18_AL_10017,2019,1,3,NRS_AL-10074,31.30
ALRM-1003,2013,1,18,NRS_AL-10075,63.67
NRS18_AL_10018,2019,1,8,NRS_AL-10075,29.48
ALRO-1020,2014,1,4,NRS_AL-10077,44.30
NRS18_AL_10015,2019,1,4,NRS_AL-10077,42.48
ALRO-1021,2013,1,4,NRS_AL-10078,11.85
NRS18_AL_10016,2018,1,3,NRS_AL-10078,13.17
ALRO-1023,2014,1,11,NRS_AL-10080,58.00
ALSS-1063,2013,1,9,NRS_AL-10083,20.03
ALSS-1064,2013,1,8,NRS_AL-10084,28.65
ALSS-1065,2013,1,3,NRS_AL-10085,11.38
ALSS-1066,2013,1,9,NRS_AL-10086,62.13
ALRF-0001,2013,1,18,NRS_AL-10087,59.87
ALRF-0002,2013,1,12,NRS_AL-10088,30.87
ALRF-0003,2013,1,10,NRS_AL-10089,74.02
ALRF-0004,2013,1,2,NRS_AL-10090,48.32
NRS18_AL_10019,2018,1,0,NRS_AL-10091,43.92
NRS18_AL_10020,2018,1,4,NRS_AL-10092,36.10
NRS18_AL_10022,2018,1,2,NRS_AL-10094,30.48
NRS18_AL_10023,2018,1,4,NRS_AL-10095,13.88
NRS18_AL_10025,2019,1,14,NRS_AL-10097,44.82
NRS18_AL_10039,2019,1,4,NRS_AL-10101,55.97
NRS18_AL_10188,2019,1,3,NRS_AL-10102,12.90
NRS18_AL_10189,2019,1,1,NRS_AL-10103,13.08
NRS18_AL_10191,2019,1,21,NRS_AL-10105,71.65
NRS18_AL_10638,2019,1,14,NRS_AL-10106,65.25
NRS18_AL_10938,2019,1,9,NRS_AL-10107,45.25
NRS18_AL_11088,2019,1,6,NRS_AL-10108,1.88
NRS18_AL_RF001,2018,1,17,NRS_AL-10109,55.77
NRS18_AL_RF002,2019,1,17,NRS_AL-10110,47.43
FW08AR007,2008,1,17,NRS_AR-10016,68.10
FW08AR006,2009,1,13,NRS_AR-10017,64.78
FW08AR003,2009,1,14,NRS_AR-10019,54.02
FW08AR003,2009,2,14,NRS_AR-10019,52.58
FW08AR001,2009,1,5,NRS_AR-10025,48.41
FW08AR001,2009,2,3,NRS_AR-10025,26.59
FW08AR008,2008,1,3,NRS_AR-10026,29.26
