SITE_ID,VISIT_NO,YEAR,ECOWSA9_2015,COMID,UID,REALM,prk3RRT_NRSA1314,SITE,CONPATTERN,W1_HAG,W1_HALL,W1_HNOAG,W1H_CROP,DATE_COL,STATE,VALXSITE,LAT_DD83,LON_DD83,GREAT_RIVER,XSLOPE_use,XWIDTH_use,Lpt01_XCMGW,Lpt01_XFC_NAT,LRBS_use,RDIST_COND,LRBS_Cond_use,LOE_RBS_use,LXCMGW_Cond_use,LOE_XCMGW_use,LXFC_NAT_Cond_use,LOE_XFC_NAT_use,Qbkf_cl,LQbkf_cl,Qbkf_kmcl,LQbkf_kmcl,QLow_cl,LQLow_cl,QLow_kmcl,LQLow_kmcl,LOE_QLow_cl,LOE_Qbkf_cl
ALLS-1037,1,2014,CPL,2214044,143820,WADEABLE,R,143820,SINGLE,0,0.181818182,0.181818182,0,6/26/2014,AL,WADEABLE,31.11972146,-86.15248734,,0.059722222,9.75,0.178322791,-0.771879741,-1.150281277,1 Low,Good,0.063745224,Good,0.157105379,Medi,-0.379699741,8.448490878,0.92677914,0.064479253,-1.190580001,0.561862287,-0.250370117,0.004288158,-2.367729257,0.369772439,0.169677622
ALLS-1039,1,2014,CPL,2400367,139070,WADEABLE,S,139070,SINGLE,0,0.924281818,0.924281818,0,5/21/2014,AL,WADEABLE,31.65538821,-86.71585164,,0.140277778,9.46,0.106206356,-0.267971962,-1.654930594,2 Medi,Good,-0.160981923,Good,0.081045394,Good,0.124208039,4.365264413,0.640010555,0.03805525,-1.419585424,0.54372888,-0.264617599,0.004740088,-2.324213578,0.410088039,-0.076090671
ALLS-1041,1,2014,CPL,18522613,141680,BOATABLE,R,141680,SINGLE,0,0.810640909,0.810640909,0,6/12/2014,AL,BOATABLE,30.69484746,-87.9243461,,,155.125,-0.174514871,-1.190134333,,2 Medi,XXXX,,Medi,-0.12854447,Poor,-0.619654333,,,,,,,,,,
ALLS-1042,1,2014,SAP,22035065,139381,WADEABLE,S,139381,SINGLE,0,0.295459091,0.295459091,0,5/23/2014,AL,WADEABLE,33.09740851,-85.8458704,,0.093287037,22.7,0.23299611,-0.677780705,0.128013263,1 Low,Good,-0.308308667,Good,0.174511,Good,0.068428467,8.965528922,0.952575916,0.034435587,-1.462992509,1.495665978,0.174834615,0.005744685,-2.24073381,0.100576733,-0.305295906
ALR9-0901,1,2013,SAP,19598502,11229,BOATABLE,T,11229,SINGLE,0.424263636,1.916690909,1.492427273,0.303045455,8/5/2013,AL,BOATABLE,34.95092177,-87.042028,,0.002178472,67.72727273,0.054560827,-0.222836906,-1.502992117,3 High,Poor,-1.944372117,Good,0.027580827,Good,0.650515616,46.74604042,1.66974483,0.009768008,-2.010193988,21.67900612,1.336039368,0.004530025,-2.343899451,-0.014726863,-0.378484925
ALR9-0901,2,2013,SAP,19598502,12156,BOATABLE,T,12156,SINGLE,0.363654545,1.984872727,1.621218182,0.363654545,9/17/2013,AL,BOATABLE,34.95092177,-87.042028,,0.002178472,66.31818182,-0.002573898,-0.330852237,-1.416496791,3 High,Poor,-1.857876791,Good,-0.029553898,Good,0.542500284,57.10711666,1.756690233,0.011933049,-1.923248586,21.15388528,1.325390145,0.004420296,-2.354548674,-0.025376087,-0.291539522
ALR9-0902,1,2014,CPL,21717668,139420,BOATABLE,R,139420,SINGLE,0,0.522731818,0.522731818,0,5/22/2014,AL,BOATABLE,32.48594217,-85.72031495,,0.086772789,28.27272727,0.137152629,-0.892173573,-1.009923151,2 Medi,Good,-0.085873151,Good,0.043118021,Medi,-0.321693573,48.42067442,1.685030834,0.052479013,-1.280014342,1.483358154,0.171246023,0.001607685,-2.793799153,-0.00933565,0.326241768
ALR9-0902,2,2014,CPL,21717668,141930,BOATABLE,R,141930,SINGLE,0,0.818190909,0.818190909,0,6/14/2014,AL,BOATABLE,32.48594217,-85.72031495,,0.086772789,26.63636364,0.101934445,-0.877039828,-1.131125533,2 Medi,Good,-0.207075533,Good,0.007899837,Medi,-0.306559828,52.75418657,1.722256931,0.057175735,-1.242788245,1.524087959,0.183010032,0.001651828,-2.782035144,0.002428359,0.363467865
ALR9-0903,1,2014,CPL,2413396,143821,BOATABLE,R,143821,SINGLE,0,0.515159091,0.515159091,0,6/27/2014,AL,BOATABLE,31.08686327,-87.08175172,,0.042314912,42.45454545,0.097225749,-0.892173573,-0.530713565,2 Medi,Good,0.393336435,Good,0.026774186,Medi,-0.321693573,48.19063377,1.682962638,0.029852502,-1.525019268,4.526292606,0.655742626,0.002803888,-2.55223928,0.245682917,0.151737081
ALR9-0904,1,2013,SAP,21656490,10425,BOATABLE,S,10425,SINGLE,0,1.640358225,1.640358225,0,6/25/2013,AL,BOATABLE,33.41281268,-86.75189943,,0.046471424,21.86363636,-0.004065808,-0.518296847,0.258041607,3 High,Good,-0.183338393,Good,-0.031045808,Good,0.472659495,20.26725571,1.306794947,0.038446009,-1.415148738,1.943882717,0.288670059,0.003687452,-2.433273627,-0.094904286,-0.142592051
