SITE_ID,VISIT_NO,YEAR,UID,COMID,LAT_DD83,LON_DD83,REALM,PFC_ALG,PFC_AQM,PFC_BRS,PFC_HUM,PFC_LVT,PFC_LWD,PFC_OHV,PFC_RCK,PFC_UCB,XFC_ALG,XFC_ALL,XFC_AQM,XFC_BRS,XFC_HUM,XFC_LVT,XFC_LWD,XFC_NAT,XFC_OHV,XFC_RCK,XFC_UCB,SumAll_PFC,SumAll_noAlgAQM,SumNat_PFC,SumBig_PFC,XFC_NAT_ALG_AQM
ALLS-1037,1,2014,143820,2214044,31.11972146,-86.15248734,WADEABLE,0,0.090909091,1,0,1,0.545454545,0.636363636,0,0,0,0.163636364,0.004545455,0.05,0,0.05,0.027272727,0.159090909,0.031818182,0,0,3.272727272,3.181818181,3.272727272,3.181818181,0.163636364
ALLS-1039,1,2014,139070,2400367,31.65538821,-86.71585164,WADEABLE,0,0,1,0,0.909090909,1,0.909090909,0,0,0,0.529545455,0,0.188636364,0,0.1,0.195454545,0.529545455,0.045454545,0,0,3.818181818,3.818181818,3.818181818,3.818181818,0.529545454
ALLS-1041,1,2014,141680,18522613,30.69484746,-87.9243461,BOATABLE,0,1,0.181818182,0.090909091,0.181818182,0,0.363636364,0,0,0,0.456818182,0.397727273,0.009090909,0.004545455,0.009090909,0,0.054545455,0.036363636,0,0,1.818181819,0.818181819,1.727272728,0.727272728,0.452272727
ALLS-1042,1,2014,139381,22035065,33.09740851,-85.8458704,WADEABLE,0.090909091,0.363636364,0.909090909,0,0.636363636,0.545454545,1,0,0.181818182,0.004545455,0.240909091,0.036363636,0.063636364,0,0.031818182,0.045454545,0.2,0.05,0,0.009090909,3.727272727,3.272727272,3.727272727,3.272727272,0.240909091
ALR9-0901,1,2013,11229,19598502,34.95092177,-87.042028,BOATABLE,0,0,0.727272727,0,0,0.818181818,0.636363636,0.090909091,0.272727273,0,0.588636364,0,0.186363636,0,0,0.315909091,0.588636364,0.05,0.004545455,0.031818182,2.545454545,2.545454545,2.545454545,2.545454545,0.588636364
ALR9-0901,2,2013,12156,19598502,34.95092177,-87.042028,BOATABLE,0,0,0.818181818,0,0,0.727272727,0.454545455,0.090909091,0.181818182,0,0.456818182,0,0.179545455,0,0,0.204545455,0.456818182,0.040909091,0.022727273,0.009090909,2.272727273,2.272727273,2.272727273,2.272727273,0.456818183
ALR9-0902,1,2014,139420,21717668,32.48594217,-85.72031495,BOATABLE,0,0,1,0,0.090909091,0.545454545,0.636363636,0,0.090909091,0,0.118181818,0,0.05,0,0.004545455,0.027272727,0.118181818,0.031818182,0,0.004545455,2.363636363,2.363636363,2.363636363,2.363636363,0.118181819
ALR9-0902,2,2014,141930,21717668,32.48594217,-85.72031495,BOATABLE,0,0,0.909090909,0,0.090909091,0.454545455,0.545454545,0,0.090909091,0,0.122727273,0,0.045454545,0,0.004545455,0.040909091,0.122727273,0.027272727,0,0.004545455,2.090909091,2.090909091,2.090909091,2.090909091,0.122727273
ALR9-0903,1,2014,143821,2413396,31.08686327,-87.08175172,BOATABLE,0,0.090909091,1,0,0.272727273,0.272727273,0.818181818,0,0,0,0.122727273,0.004545455,0.05,0,0.013636364,0.013636364,0.118181818,0.040909091,0,0,2.454545455,2.363636364,2.454545455,2.363636364,0.122727274
ALR9-0904,1,2013,10425,21656490,33.41281268,-86.75189943,BOATABLE,0,0,0.727272727,0,0.1,0.818181818,0.909090909,0.363636364,0,0,0.293181818,0,0.109090909,0,0.025,0.077272727,0.293181818,0.063636364,0.018181818,0,2.918181818,2.918181818,2.918181818,2.918181818,0.293181818
ALR9-0905,1,2014,139010,2188031,31.34380861,-85.60881312,BOATABLE,0,0.181818182,0.363636364,0,0,0.181818182,1,0,0,0,0.086363636,0.009090909,0.018181818,0,0,0.009090909,0.077272727,0.05,0,0,1.727272728,1.545454546,1.727272728,1.545454546,0.086363636
ALR9-0906,1,2014,145495,21639814,31.68739652,-88.05213311,BOATABLE,0,0,1,0,0.272727273,0.727272727,0.909090909,0,0,0,0.145454545,0,0.05,0,0.013636364,0.036363636,0.145454545,0.045454545,0,0,2.909090909,2.909090909,2.909090909,2.909090909,0.145454545
ALRF-0001,1,2013,11004,19618788,34.917856,-86.13294466,WADEABLE,0,0.090909091,0.636363636,0,0,0.363636364,0.454545455,0.181818182,0,0,0.206818182,0.004545455,0.097727273,0,0,0.054545455,0.202272727,0.022727273,0.027272727,0,1.727272728,1.636363637,1.727272728,1.636363637,0.206818183
ALRF-0002,1,2013,12194,21655990,33.22326014,-86.88807658,WADEABLE,0,0.181818182,0.363636364,0,0,0,0.363636364,0.818181818,0,0,0.195454545,0.027272727,0.036363636,0,0,0,0.168181818,0.018181818,0.113636364,0,1.727272728,1.545454546,1.727272728,1.545454546,0.195454545
ALRF-0003,1,2013,10548,18671468,34.08128827,-88.02124812,WADEABLE,0.090909091,0,0.090909091,0.181818182,0.090909091,0.090909091,0.818181818,0.636363636,0.272727273,0.004545455,0.272727273,0,0.052272727,0.084090909,0.004545455,0.004545455,0.184090909,0.059090909,0.031818182,0.031818182,2.272727273,2.181818182,2.090909091,2,0.188636365
ALRF-0004,1,2013,11178,18519555,31.05288349,-87.8369997,WADEABLE,0,0,0.636363636,0.181818182,0.181818182,0.090909091,0.818181818,0,0.090909091,0,0.361363636,0,0.086363636,0.102272727,0.056818182,0.052272727,0.259090909,0.059090909,0,0.004545455,2,2,1.818181818,1.818181818,0.259090909
ALRM-1001,1,2013,11095,21456608,32.22869139,-87.14827771,BOATABLE,0,0,0.818181818,0,0,0.818181818,0.727272727,0.181818182,0,0,0.356818182,0,0.059090909,0,0,0.197727273,0.356818182,0.090909091,0.009090909,0,2.545454545,2.545454545,2.545454545,2.545454545,0.356818182
ALRM-1002,1,2013,11175,21640704,31.74166476,-88.09559977,BOATABLE,0,0,0.636363636,0,0,0.545454545,0.181818182,0.090909091,0,0,0.127272727,0,0.031818182,0,0,0.063636364,0.127272727,0.009090909,0.022727273,0,1.454545454,1.454545454,1.454545454,1.454545454,0.127272728
ALRM-1003,1,2013,10502,21658294,33.01342364,-87.08607675,BOATABLE,0,0.272727273,0.636363636,0,0,0.727272727,0.727272727,0.272727273,0.090909091,0,0.281818182,0.013636364,0.086363636,0,0,0.090909091,0.268181818,0.072727273,0.013636364,0.004545455,2.727272727,2.454545454,2.727272727,2.454545454,0.281818183
ALRO-1020,1,2014,143031,2213454,31.41142286,-86.06452054,BOATABLE,0,0,0.272727273,0,0,0.272727273,0.090909091,0,0,0,0.031818182,0,0.013636364,0,0,0.013636364,0.031818182,0.004545455,0,0,0.636363637,0.636363637,0.636363637,0.636363637,0.031818183
ALRO-1021,1,2013,11056,18567421,33.58483107,-87.09572323,BOATABLE,0,0.090909091,0.727272727,0.090909091,0,0.363636364,0.818181818,0,0,0,0.315909091,0.022727273,0.036363636,0.022727273,0,0.036363636,0.270454545,0.197727273,0,0,2.090909091,2,2,1.909090909,0.293181818
ALRO-1023,1,2014,149350,2413424,31.07463524,-87.08873231,BOATABLE,0,0,1,0,0,0.818181818,0.181818182,0,0,0,0.1,0,0.05,0,0,0.040909091,0.1,0.009090909,0,0,2,2,2,2,0.1
ALS9-0916,1,2013,10361,22034461,33.26014982,-85.50357137,WADEABLE,0,1,0,0,0,0,1,0,0,0,0.952272727,0.847727273,0,0,0,0,0.104545455,0.104545455,0,0,2,1,2,1,0.952272728
ALS9-0916,2,2013,11027,22034461,33.26014982,-85.50357137,WADEABLE,0,1,0,0,0,0,0.272727273,0,0,0,0.888636364,0.875,0,0,0,0,0.013636364,0.013636364,0,0,1.272727273,0.272727273,1.272727273,0.272727273,0.888636364
ALS9-0917,1,2014,138710,19580273,34.69505836,-87.76208738,BOATABLE,0,0.090909091,1,0,0.363636364,1,0.909090909,0,0.727272727,0,0.368181818,0.004545455,0.104545455,0,0.018181818,0.104545455,0.363636364,0.1,0,0.036363636,4.090909091,4,4.090909091,4,0.368181819
ALS9-0917,2,2014,141931,19580273,34.69505836,-87.76208738,BOATABLE,0,0,1,0,0,0.909090909,0.818181818,0,0.090909091,0,0.231818182,0,0.104545455,0,0,0.063636364,0.231818182,0.059090909,0,0.004545455,2.818181818,2.818181818,2.818181818,2.818181818,0.231818183
ALS9-0918,1,2013,10319,22274544,32.93231611,-86.36246869,WADEABLE,0,0,0.545454545,0,0,0.272727273,0.818181818,0.181818182,0.454545455,0,0.15,0,0.027272727,0,0,0.013636364,0.15,0.059090909,0.009090909,0.040909091,2.272727273,2.272727273,2.272727273,2.272727273,0.15
ALS9-0919,1,2013,10471,18208576,32.91383015,-87.5326477,WADEABLE,0,0,0.454545455,0,0,0.272727273,0.909090909,0,0.181818182,0,0.156818182,0,0.070454545,0,0,0.031818182,0.156818182,0.045454545,0,0.009090909,1.818181819,1.818181819,1.818181819,1.818181819,0.156818181
ALS9-0920,1,2013,12228,21455470,32.12422057,-87.52831805,WADEABLE,0,0,0.454545455,0,0.363636364,0,0.636363636,0,0.181818182,0,0.190909091,0,0.040909091,0,0.054545455,0,0.190909091,0.068181818,0,0.027272727,1.636363637,1.636363637,1.636363637,1.636363637,0.190909091
ALS9-0921,1,2013,12245,2208972,31.86806513,-85.76601507,WADEABLE,0,0,0.818181818,0,0.090909091,0.363636364,0.363636364,0,0.181818182,0,0.229545455,0,0.106818182,0,0.022727273,0.054545455,0.229545455,0.018181818,0,0.027272727,1.818181819,1.818181819,1.818181819,1.818181819,0.229545455
ALS9-0922,1,2013,10512,19567812,34.50734375,-88.05036703,WADEABLE,0,0.454545455,1,0.090909091,0,0.818181818,0.636363636,0,0,0,0.456818182,0.040909091,0.134090909,0.004545455,0,0.227272727,0.411363636,0.05,0,0,3,2.545454545,2.909090909,2.454545454,0.452272727
ALS9-0923,1,2013,11032,22203587,33.79214422,-86.13073021,WADEABLE,0,0,0.545454545,0,0.545454545,0.181818182,0.181818182,0,0.272727273,0,0.206818182,0,0.063636364,0,0.027272727,0.027272727,0.206818182,0.009090909,0,0.079545455,1.727272727,1.727272727,1.727272727,1.727272727,0.206818182
