,O,E,OoverE,Onull,Enull,OoverE.null,BC,BC.null
10091,6,12.1540378,0.493663102,5,12.1559322,0.411321807,0.514565321,0.575973128
10099,7,13.00916778,0.538082076,6,12.1559322,0.493586168,0.475238149,0.495892457
10103,11,18.30970998,0.600774125,9,12.1559322,0.740379253,0.451471176,0.370293222
10106,6,14.318958,0.419024904,6,12.1559322,0.493586168,0.551031346,0.513442868
10116,7,13.47199007,0.519596583,6,12.1559322,0.493586168,0.490810783,0.495892457
10117,4,13.0984845,0.30537884,5,12.1559322,0.411321807,0.643098583,0.587828492
10123,6,14.02324111,0.427861145,5,12.1559322,0.411321807,0.570656943,0.563722584
10138,7,20.12651715,0.347799868,7,12.1559322,0.57585053,0.649470955,0.463811715
10148,4,12.95157914,0.308842648,4,12.1559322,0.329057446,0.612720463,0.605119597
10159,20,16.48607594,1.213144964,14,12.1559322,1.15170106,0.267873845,0.262052877
10160,10,14.59464432,0.685182851,11,12.1559322,0.904907975,0.381061504,0.321329234
10164,21,20.96326706,1.001752253,11,12.1559322,0.904907975,0.351183908,0.366417801
10169,19,20.8007761,0.913427456,10,12.1559322,0.822643614,0.311331184,0.41003672
10178,10,15.12691682,0.661073246,10,12.1559322,0.822643614,0.437543791,0.367197062
10186,9,17.76355199,0.506655426,6,12.1559322,0.493586168,0.543065455,0.513442868
10188,3,14.18881564,0.211434138,3,12.1559322,0.246793084,0.695890722,0.661373295
10194,15,17.45602259,0.859302279,11,12.1559322,0.904907975,0.349333838,0.314595228
10195,7,17.60756631,0.397556362,7,12.1559322,0.57585053,0.589884452,0.464519554
10204,9,14.10434494,0.63810124,9,12.1559322,0.740379253,0.393434368,0.354270149
10209,22,17.88597268,1.230014179,14,12.1559322,1.15170106,0.271818798,0.285121825
10219,25,23.26230482,1.074700044,11,12.1559322,0.904907975,0.309276998,0.33099107
10221,6,13.1047131,0.457850542,6,12.1559322,0.493586168,0.508765132,0.494772218
10223,7,11.73320883,0.596597239,5,12.1559322,0.411321807,0.453240684,0.553447935
10260,17,16.05343731,1.058963241,12,12.1559322,0.987172337,0.326727171,0.308728599
10261,14,14.07281921,0.994825542,12,12.1559322,0.987172337,0.283601011,0.281223688
10266,13,15.46110736,0.840819464,12,12.1559322,0.987172337,0.363696333,0.332023576
10273,11,13.05749736,0.842427894,11,12.1559322,0.904907975,0.333521262,0.330405504
10274,7,15.00141274,0.466622719,8,12.1559322,0.658114891,0.514882279,0.43020518
10288,3,20.93569392,0.143295943,4,12.1559322,0.329057446,0.828212575,0.670163659
10289,12,15.57137944,0.770644633,12,12.1559322,0.987172337,0.360837508,0.297782767
10291,15,22.11128558,0.678386607,10,12.1559322,0.822643614,0.480874312,0.366891065
10295,9,13.4764592,0.667831206,6,12.1559322,0.493586168,0.417908304,0.516056759
