"UNIQUE_ID","DATE_COL","phdi_month","phdi_mean"
"NRS_AR-10040",2008-09-06,5.26,3.13416666666667
"NRS_AR-10016",2008-09-27,5.26,3.13416666666667
"NRS_AR-10026",2008-09-20,4.33,2.43083333333333
"NRS_AR-10055",2008-09-13,3.14,1.55333333333333
"NRS_AR-10082",2008-08-27,4.35,2.83583333333333
"NRS_AR-10108",2008-08-13,2.05,0.375
"NRS_AR-10115",2008-08-25,0.76,-0.0125
"NRS_AR-10120",2008-07-30,-1.89,0.375
"NRS_AR-10162",2008-07-28,-1.89,0.375
"NRS_AR-10186",2008-08-28,0.76,-0.0125
"NRS_CA-10304",2008-06-04,-2.37,-2.2575
"NRS_CA-10304",2008-06-24,-2.37,-2.2575
"NRS_CA-10124",2008-07-29,-3.67,-3.00916666666667
"NRS_CA-10124",2008-09-16,-3.85,-3.00916666666667
"NRS_CA-10359",2008-07-31,-3.6,-3.53916666666667
"NRS_CA-10165",2008-07-23,-3.95,-3.6725
"NRS_CA-10285",2008-09-03,-3.36,-2.6725
"NRS_CA-10300",2008-08-21,-3.82,-3.53916666666667
"NRS_CA-10333",2008-07-22,-3.95,-3.6725
"NRS_CA-10458",2008-09-09,-3.36,-2.6725
"NRS_CA-10150",2008-06-03,-3.86,-3.6725
"NRS_CA-10352",2008-07-24,-3.79,-3.3
"NRS_CA-10806",2008-09-05,-3.85,-3.00916666666667
"NRS_CO-10133",2008-07-11,0.93,0.5125
"NRS_CO-10133",2008-08-05,-0.75,0.5125
"NRS_CO-10075",2008-07-15,0.93,0.5125
"NRS_CO-10075",2008-08-04,-0.75,0.5125
"NRS_CO-10118",2008-07-16,0.93,0.5125
"NRS_CO-10042",2008-07-02,-2.75,-1.3375
"NRS_CO-10140",2008-06-30,-1.97,-1.3375
"NRS_CO-10171",2008-07-28,-2.63,-0.349166666666667
"NRS_CO-10018",2008-06-18,-1.97,-1.3375
"NRS_CO-10113",2008-09-11,-0.92,0.5125
"NRS_CO-10104",2008-07-01,-2.75,-1.3375
"NRS_CO-10069",2008-07-29,-2.63,-0.349166666666667
"NRS_CT-10069",2008-08-13,1.95,1.99333333333333
"NRS_CT-10080",2008-08-14,1.95,1.99333333333333
"NRS_DE-10005",2008-07-14,-1.26,-1.57833333333333
"NRS_DE-10005",2008-09-03,-1.63,-1.57833333333333
"NRS_DE-10012",2008-07-08,-1.61,-2.34416666666667
"NRS_DE-10017",2008-08-13,-2.05,-1.57833333333333
"NRS_DE-10018",2008-08-06,-2.44,-2.34416666666667
"NRS_DE-10019",2008-07-07,-1.61,-2.34416666666667
"NRS_DE-10025",2008-07-29,-1.26,-1.57833333333333
"NRS_FL-10039",2008-08-09,-1.48,-2.04166666666667
"NRS_FL-10042",2008-08-03,-1.48,-2.04166666666667
"NRS_FL-10043",2008-08-10,-1.48,-2.04166666666667
"NRS_FL-10051",2008-08-07,-1.48,-2.04166666666667
"NRS_FL-10055",2008-08-09,-1.48,-2.04166666666667
"NRS_GA-10034",2008-07-01,-3.95,-3.98333333333333
"NRS_GA-10023",2008-07-06,-4.07,-3.99333333333333
"NRS_IA-10010",2008-08-25,6.27,5.32166666666667
"NRS_IA-10010",2008-10-07,4.68,5.32166666666667
"NRS_IA-10016",2008-09-10,4.33,4.31166666666667
"NRS_IA-10016",2008-10-06,4.82,4.31166666666667
"NRS_IA-10022",2008-10-14,3.08,2.95083333333333
"NRS_IA-10008",2008-08-20,6.27,5.32166666666667
"NRS_IA-10049",2008-08-21,6.27,5.32166666666667
"NRS_IA-10033",2008-09-17,4.33,4.31166666666667
"NRS_IA-10052",2008-10-16,4.68,5.32166666666667
"NRS_IA-10050",2008-10-13,5.43,5.07333333333333
"NRS_IA-10025",2008-09-18,4.33,4.31166666666667
"NRS_IA-10053",2008-09-16,5.39,5.32166666666667
"NRS_IA-10076",2008-08-26,5.3,4.57583333333333
"NRS_IA-10077",2008-10-01,4.68,5.32166666666667
"NRS_IA-10083",2008-09-04,6.03,4.9175
"NRS_IA-10087",2008-09-22,2.99,3.57166666666667
"NRS_IA-10090",2008-09-23,6.03,4.9175
"NRS_ID-10079",2008-07-15,-1.13,-1.345
"NRS_ID-10079",2008-08-12,-1.09,-1.345
"NRS_ID-10061",2008-07-17,-1.13,-1.345
"NRS_ID-10061",2008-08-14,-1.09,-1.345
"NRS_ID-10089",2008-07-30,-1.38,-1.53916666666667
"NRS_ID-10115",2008-07-21,-1.29,-1.62916666666667
"NRS_ID-10055",2008-07-09,-1.13,-1.345
"NRS_ID-10192",2008-07-23,-1.29,-1.62916666666667
"NRS_IL-10016",2008-09-12,2.89,2.1525
"NRS_IL-10050",2008-09-13,2.89,2.1525
"NRS_IL-10054",2008-09-11,2.89,2.1525
"NRS_IL-10055",2008-10-10,4.75,2.31833333333333
"NRS_IL-10057",2008-09-23,3.89,2.7375
"NRS_IL-10062",2008-10-09,3.77,2.1975
"NRS_IL-10064",2008-10-06,3.66,2.7375
"NRS_IN-10015",2008-07-30,4.14,2.36166666666667
"NRS_IN-10015",2008-09-05,2.93,2.36166666666667
"NRS_IN-10016",2008-08-07,2.52,1.38666666666667
"NRS_IN-10009",2008-08-11,2.13,3.13416666666667
"NRS_IN-10021",2008-08-10,1.86,2.60666666666667
"NRS_IN-10031",2008-07-02,2.73,3.13416666666667
"NRS_IN-10032",2008-07-16,4.45,2.54666666666667
"NRS_IN-10033",2008-07-13,2.06,3.09
"NRS_IN-10035",2008-07-10,2.06,3.09
"NRS_IN-10038",2008-09-05,3.86,3.09
"NRS_IN-10043",2008-07-02,2.73,3.13416666666667
"NRS_IN-10047",2008-07-01,2.73,3.13416666666667
"NRS_IN-10051",2008-07-11,2.06,3.09
"NRS_KS-10008",2008-08-11,2.82,3.12916666666667
"NRS_KS-10007",2008-07-22,2.64,2.49416666666667
"NRS_KS-10011",2008-08-12,2.82,3.12916666666667
"NRS_KS-10061",2008-07-29,-2.01,-0.23
"NRS_KS-10064",2008-08-25,2.82,3.12916666666667
"NRS_KS-10067",2008-07-08,2.64,2.49416666666667
"NRS_KS-10068",2008-09-22,3.69,3.12916666666667
"NRS_KS-10071",2008-09-02,3,2.49416666666667
"NRS_KY-10044",2008-09-09,-1.68,0.546666666666667
"NRS_KY-10047",2008-09-12,-1.68,0.546666666666667
"NRS_LA-10040",2008-07-22,-2.09,-0.0366666666666667
"NRS_LA-10082",2008-07-14,-2.19,0.775833333333333
"NRS_LA-10097",2008-07-18,-2.09,-0.0366666666666667
"NRS_LA-10098",2008-08-05,-1.21,-0.43
"NRS_LA-10100",2008-08-01,-1.61,-0.0366666666666667
"NRS_LA-10101",2008-08-02,-1.61,-0.0366666666666667
"NRS_LA-10104",2008-10-28,1.45,-0.468333333333333
"NRS_LA-10105",2008-07-19,-1.63,-0.06
"NRS_LA-10112",2008-08-18,1.77,0.775833333333333
"NRS_LA-10119",2008-11-10,0.61,-0.0375
