SITE_ID,VISIT_NO,PUBLICATION_DATE,YEAR,DATE_COL,STATE,LOC_NAME,SITE_CLASS,AGGR_ECO3_2015,AGGR_ECO9_2015,ECO10,US_L3CODE_2015,US_L4CODE_2015,EPA_REG,LAT_DD83,LON_DD83,HUC8,URBAN,STRAHLERORDER,MISS_SUB,LMR_SITE,GREAT_RIVER,RT_NRSA,RT_NRSA_FISH,RT_NRSA_PHAB,RT_NRSA_CAT,XLAT_DD,XLON_DD,WGTNRSA09,MASTER_SITEID,INDEX_VISIT,INDEXVIS_FTIS,WSAREA_NARS,MMI_BENT,OE_SCORE_OLD,UID,OE_SCORE,NH4,NH4_ALERT,ANC,ANC_ALERT,CA,CA_ALERT,CL,CL_ALERT,COLOR,COLOR_ALERT,COND,COND_ALERT,DOC,DOC_ALERT,MG,MG_ALERT,SODIUM,SODIUM_ALERT,K,K_ALERT,NO3,NO3_ALERT,NO3NO2,NO3NO2_ALERT,NO2,NO2_ALERT,NTL,NTL_ALERT,PHLAB,PHLAB_ALERT,PTL,PTL_ALERT,SIO2,SIO2_ALERT,SO4,SO4_ALERT,TSS,TSS_ALERT,TURB,TURB_ALERT,PROTOCOL,XDEPTH_CM,SDDEPTH_CM,XWIDTH,XWXD,RP100,XBKF_W,XBKF_H,XINC_H,SINU,XSLOPE,REACHLEN,LSUB_DMM,XEMBED,PCT_FN,PCT_SAFN,PCT_SFGF,LDCBF_G08,LDMB_BW5,LRBS_BW5,LRBS_G08,PCT_FAST,PCT_SLOW,RPRAT,PCT_BDRK,XFC_ALG,XFC_AQM,XFC_LWD,XFC_NAT,V1W_MSQ,XCDENBK,XCDENMID,XCL,XGB,XGW,XC,XCMGW,QR1,QRVEG1,RDIST1,W1_HALL,W1H_WALL,W1_HNOAG,W1_HAG,REALM,W1H_CROP,XSLOPE_use,XWIDTH_use,Lpt01_XCMGW,Lpt01_XFC_NAT,LRBS_use,RDIST_COND,LRBS_Cond_use,LOE_RBS_use,LXCMGW_Cond_use,LOE_XCMGW_use,LXFC_NAT_Cond_use,LOE_XFC_NAT_use,Qbkf_cl,LQbkf_cl,Qbkf_kmcl,LQbkf_kmcl,QLow_cl,LQLow_cl,QLow_kmcl,LQLow_kmcl,LOE_QLow_cl,LOE_Qbkf_cl,UNIQUE_ID,RT_WQI,CL_pt,SO4_pt,PTL_pt,NTL_pt,TURB_pt,ENTERO_PT,DO_PT,PH_PT,NUMVARN,WQII,SAMPLE_ID,dD..vsmow.,d18O..vsmow.,d.excess,AG_ECO5
FW08AL001,1,9/1/2015,2009,2009-06-15,AL,Piney Woods Creek,PROB,EHIGH,SAP,NA,67,67h,4,33.22341539,-86.88815694,3150202,NonUrban,1st,NA,NA,NA,R,R,R,Least Disturbed,33.22354,86.88825,3614.958635,OWW04440-1041,YES,NA,1.01699996,29.58,0.733025894,13371,0.821928772,0.01,HR,188.67,NA,1.723,NA,3.21,NA,7,NA,34.54,NA,1.54,H,1.205,NA,2.859,NA,0.851,NA,0.03357,NA,NA,NA,0,R,99,NA,7.14,NA,14.6206,NA,13.977,H,1.31,NA,8.2,NA,4.3,NA,WADEABLE,10.51333333,7.512617277,2.72,0.3342,6.157506342,3.709090909,0.363636364,0.445454545,1.126806543,0.983081974,223.5,1.151439085,56.81818182,1.904761905,55.23809524,58.0952381,1.370478641,1.43086939,-0.279430305,-0.219039557,22,78,0.585685448,31.42857143,0,0,0.004545455,0.036363636,0.003353511,99.73262032,99.59893048,0.079545455,0.655681818,0.140909091,0.521590909,1.015909091,0.822200284,0.557159091,0,0,0,0,0,WADEABLE,0,1.733809524,2.72,0.011108878,-1.333822512,-0.486174634,1 Low,Good,0.260219969,Good,0.08185792,Poor,-0.559174124,0.792208766,-0.101160356,0.803131353,-0.095213420000000007,0.005159513,-2.287391272,0.00523065,-2.281444336,0.083112755,0.154657074,NRS_AL-10029,R,9.863625826,10,10,10,9.176201373,10,10,10,8,98.8,548721,-24.72,-4.69,12.84,Appalachians
FW08AL002,1,9/1/2015,2009,2009-06-26,AL,Little Shades Creek,PROB,EHIGH,SAP,NA,67,67h,4,33.424918,-86.77562358,3150202,Urban,2nd,NA,NA,NA,S,S,S,Intermediate Disturbance,33.42492,86.77564,1876.92558,OWW04440-0657,YES,NA,19.95689964,22.75,0.908794654,13792,0.958995615,0.003,HRS,2234.83,S,37.13,S,8.15,HS,16,HS,288.9,S,1.99,HS,9.467,S,6.798,S,2.398,S,0.23077,HS,NA,NA,0,RS,383,HS,8.27,HS,11.775,HS,5.602,HS,22.09,HS,0.9,S,0.46,HRS,WADEABLE,36.84,25.57054808,9.12,3.68925,21.50457122,17.28181818,0.818181818,2.154545455,1.047758833,0.392134209,316.8,1.237628926,59.18181818,1.904761905,27.61904762,40.95238095,1.47252526,1.415298826,-0.1776699,-0.234896334,35,65,0.58372886,3.80952381,0,0,0.022727273,0.588636364,0.001435648,74.59893048,58.28877005,0.127272727,0.575,0.056818182,0.295454545,0.514772727,0.37824964,0.331647727,0.788463979,3.727327273,0.113636364,3.727327273,0,WADEABLE,0,0.684722222,9.12,-0.280028744,-0.222836906,-0.482661441,3 High,Good,-0.372247473,Poor,-0.255531939,Good,0.548602679,14.31501736,1.155791879,0.723803178,-0.140379514,0.187493662,-0.727013409,0.00948015,-2.023184802,0.328871953,0.597655141,NRS_AL-10019,T,5.679312312,8.718596607,10,8.603773585,10,10,NA,10,7,90,548731,-21.13,-4.13,11.94,Appalachians
FW08AL003,1,9/1/2015,2009,2009-08-13,AL,Unnamed,PROB,PLNLOW,CPL,NA,65,65f,4,31.67663561,-87.08381335,3140304,NonUrban,1st,NA,NA,NA,S,NA,S,Intermediate Disturbance,31.67666667,87.08416667,9784.513642,OWW04440-0849,YES,NA,5.45277977,34.25,0.921197765,14525,0.905874846,0.054,NA,72.98,NA,1.159,NA,2.92,NA,22,H,21.43,NA,6.14,NA,0.609,NA,1.733,NA,0.518,NA,0.00243,R,NA,NA,0,R,486,NA,6.34,NA,45.8175,NA,7.861,NA,0.26,R,21,NA,15.42,NA,WADEABLE,39.325,18.67509126,2.411764706,0.8780625,17.01007992,3.009090909,0.33,0.78,2.003146,0.390404,NA,-1.538224502,97.2,80,80,100,NA,NA,NA,NA,0,100,NA,0,0,0.1425,0.02,0.3975,NA,82.05882353,64.55882353,0.065,0.08875,0.52375,0.225,1.06875,0.59608112,0.5809375,0.565221172,1.30002,0.36667,1.30002,0,WADEABLE,0,0.109615385,2.411764706,0.032920809,-0.389872387,-1.817598016,2 Medi,Medi,-0.692073599,Good,0.005184115,Good,0.002307613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NRS_AL-10024,S,10,10,10,10,5.219512195,10,10,10,8,94.02,553461,-10.68,-1.77,3.44,Coastal Plains
FW08AL004,1,9/1/2015,2009,2009-07-01,AL,Early Creek,PROB,EHIGH,SAP,NA,67,67f,4,33.87273064,-86.32362837,3150106,NonUrban,2nd,NA,NA,NA,T,T,T,Most Disturbed,33.87251,86.32311,1876.92558,OWW04440-0182,YES,NA,11.08440018,49.65,0.80232175,13794,0.80683474,0.03,H,2274.99,NA,43.58,NA,3.36,NA,15,NA,248,NA,1.74,H,2.627,NA,2.517,NA,1.278,NA,0.51914,NA,NA,NA,0.00432,R,736,H,7.97,NA,56.6638,H,7.51,NA,2.8,NA,31.7,NA,27.58,NA,WADEABLE,44.6,19.21016145,4.4,2.14205,25.48528183,5.418181818,0.6,1.463636364,1.043319567,0.100269953,237.6,-0.102181911,75.09090909,19.04761905,63.80952381,77.14285714,0.84339294,0.731698223,-0.833880134,-0.945574852,7,93,0.571418875,0.952380952,0,0,0.004545455,0.586363636,0.00310325,98.12834225,98.52941176,0.326136364,0.382954545,0.173863636,0.667045455,1.180681818,0.600157459,0.631306818,0.651716326,1.871222727,0.090909091,0.712127273,1.159095455,WADEABLE,0,0.177777778,4.4,0.075795722,-0.224488846,-1.188913505,3 High,Medi,-0.939641335,Good,0.080519313,Good,0.48109199,1.285349768,0.109021324,0.125069306,-0.902849259,0.070598985,-1.151201544,0.006869543,-2.163072127,0.191713916,-0.271398978,NRS_AL-10010,S,9.736571772,10,0.389562682,0,0,10,10,10,8,62.66,552981,-22.37,-4.05,10.06,Appalachians
FW08AL006,1,9/1/2015,2009,2009-06-27,AL,Finikochika Creek,PROB,EHIGH,SAP,NA,45,45a,4,32.99386913,-86.3618639,3150107,NonUrban,2nd,NA,NA,NA,S,S,S,Intermediate Disturbance,32.99706,86.35434,1876.92558,OWW04440-0993,YES,NA,26.12579918,24.4,0.747767904,13902,0.823807065,0.123,HS,612.81,S,6.135,S,2.32,HS,30,S,80.98,S,2.71,HS,3.064,S,3.892,S,2.005,S,0.49781,HS,NA,NA,0.0405,S,969,HS,7.55,S,63.115,HS,20.418,HS,1.8,HS,2.2,S,5.78,S,WADEABLE,26.1,11.76237796,8.625,2.53565,15.38085609,9.563636364,0.618181818,1.354545455,1.041015044,0.106408311,277.2,1.341637403,41.09090909,14.28571429,39.04761905,55.23809524,0.759377996,0.721563627,0.620073776,0.582259406,10,90,0.589304831,42.85714286,0,0.004545455,0,0.077272727,0.001387003,100,97.32620321,0.088636364,0.55,0.15,0.414772727,1.036363636,0.72895949,0.566363636,0.316065011,0.462127273,0,0.340909091,0.121218182,WADEABLE,0,0.186904762,8.625,0.019682638,-1.059121453,0.336167125,2 Medi,Good,0.387536864,Good,0.017611673,Medi,-0.287886327,2.127101718,0.327788258,0.081419538,-1.089271365,0.041325644,-1.383780375,0.001581831,-2.800839999,-0.449943771,-0.305915712,NRS_AL-10026,R,10,10,0,0,5.789473684,10,10,10,8,69.74,543271,-23.42,-4.57,13.11,Appalachians
FW08AL007,1,9/1/2015,2009,2009-07-19,AL,Unnamed,PROB,EHIGH,SAP,NA,68,68e,4,34.09180468,-87.73796193,3160103,NonUrban,1st,NA,NA,NA,S,S,S,Intermediate Disturbance,34.09175,87.738,12677.66003,OWW04440-0825,YES,NA,1.951200008,25.68,0.740894616,13795,0.74281451,0.008,R,246.06,NA,2.114,NA,2.04,NA,14,NA,39.06,NA,0.61,H,2.119,NA,1.388,NA,1.784,NA,0.06,NA,NA,NA,0,R,126,H,7.21,NA,43.3113,NA,12.391,NA,1.58,NA,2.6,NA,3.96,NA,WADEABLE,8.406666667,5.862057117,2.365,0.17915,5.040397908,4,0.718181818,1.245454545,1.069314023,0.771659796,149,2.481230028,25.27272727,1.904761905,20.95238095,28.57142857,1.916982998,1.592674301,0.888555727,0.56424703,0,100,0.59957152,60.95238095,0,0,0.004545455,0.281818182,0.005644295,99.46524064,99.19786096,0.111363636,0.764772727,0.077272727,0.440909091,0.721590909,0.680562456,0.424715909,0.254237288,0.340909091,0,0.340909091,0,WADEABLE,0,1.356666667,2.365,-0.1357317,-0.534887652,0.320491415,2 Medi,Good,1.091918323,Good,-0.081325469,Good,0.164259774,4.171441702,0.620286179,4.758660395,0.677484712,0.002240063,-2.649739722,0.0025554,-2.592541189,-0.227492083,0.908140982,NRS_AL-10023,S,10,10,4.282419825,10,9.95423341,0,10,10,8,80.3,552391,-27.7,-5.08,12.91,Appalachians
FW08AL008,1,9/1/2015,2009,2009-07-03,AL,Little Tallahatchee Creek,PROB,EHIGH,SAP,NA,67,67f,4,33.77873961,-85.75962636,3150106,Urban,2nd,NA,NA,NA,S,S,T,Intermediate Disturbance,33.7788,85.75957,1876.92558,OWW04440-0694,YES,NA,10.91829967,39.48,1.050587525,13796,1.064520519,0.003,HRS,1873.32,S,25.1,S,2.49,S,11,HS,203.07,S,0.88,HS,8.72,S,2.031,S,1.086,S,0.31049,S,NA,NA,0,RS,444,S,8.21,HS,27.8225,S,8.832,S,2.91,S,0.5,S,0.99,HRS,WADEABLE,17.7,9.677171643,2.955,0.55035,9.716229939,4.490909091,0.4,1.445454545,1.040276254,0.460308734,149,1.36071677,34.72222222,7.619047619,22.85714286,28.57142857,1.13081703,1.179677224,0.181039546,0.22989974,26,74,0.548939545,17.14285714,0,0,0.004545455,0.465909091,8.66777e-5,95.45454545,93.85026738,0.178409091,0.327272727,0.198863636,0.436363636,1.073863636,0.515501363,0.583238636,0.75510304,3.08335,0.348486364,2.5985,0.48485,WADEABLE,0,0.808809524,2.955,0.034974646,-0.322475999,-0.030201328,3 High,Good,0.206100928,Good,0.027785038,Good,0.375569908,0.849066763,-0.071058159,0.07771707,-1.10948358,0.013348886,-1.874554986,0.001221855,-2.912980407,-0.558449291,-0.46807789,NRS_AL-10020,T,10,10,8.798104956,6.301886792,10,10,10,10,8,93.87,552871,-27.13,-4.74,10.76,Appalachians
FW08AL009,1,9/1/2015,2009,2009-06-25,AL,Mud Creek,PROB,EHIGH,SAP,NA,68,68f,4,33.35811668,-87.14547143,3160112,NonUrban,3rd,NA,NA,NA,T,NA,S,Most Disturbed,33.35914,87.1452,2669.836507,OWW04440-0017,YES,NA,18.37450027,35.5,0.775829047,13798,0.785943577,0.01,HRS,5433.96,S,275.5,S,2.01,HS,23,HS,2020.39,S,1.45,HS,162.3,S,23.12,S,4.91,S,0.0367,HS,NA,NA,0,RS,113,HS,8.11,HS,20.665,HS,10.943,HS,968.63,HS,0,S,0.51,HRS,WADEABLE,49.48,17.62028216,8.01,3.7941,27.47461288,9.363636364,0.627272727,1.590909091,1.170838346,0.109476951,277.2,0.229400567,80.45454545,14.28571429,64.76190476,72.38095238,0.893694556,0.801403787,-0.57200322,-0.664293989,2,98,0.555267035,1.904761905,0,0,0.004545455,0.197727273,0.001616582,100,92.2459893,0.061363636,0.514772727,0.252272727,0.376136364,1.144318182,0.831884955,0.614943182,0.063829787,0.068181818,0,0.068181818,0,WADEABLE,0,0.191865079,8.01,0.062325536,-0.68250648,-0.894679379,1 Low,Medi,-0.768448476,Good,0.091687982,Good,0.097329107,2.756362032,0.440336259,0.150158094,-0.823451254,0.177359999,-0.751144322,0.009662025,-2.014931835,0.337435805,-0.097557315,NRS_AL-10006,R,10,0,10,10,10,10,NA,10,7,85.71,550861,-20.93,-3.85,9.89,Appalachians
FW08AL011,1,9/1/2015,2009,2009-06-09,AL,Town Creek,PROB,EHIGH,SAP,NA,68,68d,4,34.71586192,-85.61116941,6030001,NonUrban,1st,NA,NA,NA,S,S,S,Intermediate Disturbance,34.71572,85.61159,3614.958635,OWW04440-0014,YES,NA,2.695499897,27.72,0.606802346,12992,0.641939151,0.049,H,160.54,NA,3.904,NA,5.65,NA,8,NA,70.54,NA,2.25,H,1.181,NA,4.359,NA,4.316,NA,0.77292,NA,NA,NA,0.00845,R,1143,NA,6.94,NA,53.3325,NA,4.51,NA,9.41,NA,7.4,NA,3.25,NA,WADEABLE,17.47333333,11.28382858,1.869,0.340915,11.68110093,2.233636364,0.461818182,1.026363636,1.100677309,0.198628137,149,0.367612808,52.63636364,5.714285714,39.04761905,84.76190476,0.850979057,0.848643294,-0.481030486,-0.483366249,13.33333333,86.66666667,0.668510164,0,0.004545455,0.013636364,0,0.261363636,5.22818e-4,99.19786096,99.19786096,0.346590909,0.668181818,0.155681818,0.6125,1.178409091,0.84685299,0.630284091,0.029413192,0.030304545,0,0.030304545,0,WADEABLE,0,0.353333333,1.869,0.074965965,-0.56644835,-0.718763771,1 Low,Good,-0.165877744,Good,-0.039661681,Good,-0.089867041,0.309398839,-0.509481321,0.125971597,-0.899727366,0.004354205,-2.361091122,0.001772813,-2.751337167,-0.390583529,-0.501324124,NRS_AL-10005,S,7.79687988,9.962694628,1.360787172,0,10,0,10,10,8,61.4,548711,-26.71,-4.67,10.65,Appalachians
FW08AL012,1,9/1/2015,2009,2009-06-07,AL,Elk River,PROB,EHIGH,SAP,NA,71,71h,4,34.95092177,-87.042028,6030004,NonUrban,7th,NA,NA,NA,T,T,T,Most Disturbed,34.95096,87.04201,168.0035391,FW08AL012,YES,YES,4788.279785,13.65,0.457334896,12993,0.517248855,0.007,R,2274.21,NA,43.9,NA,5.45,NA,3,R,269.17,NA,1.58,H,5.05,NA,2.454,NA,1.83,NA,1.08983,NA,NA,NA,0.00549,R,1306,H,8.15,NA,174.2488,H,2.98,H,9.47,NA,6.6,NA,3.14,NA,BOATABLE,294.1,60.60461362,62.63636364,187.09,83.44709634,65.90909091,0.871818182,1.595454545,1.069677228,0.002178472,2464,1.194128023,NA,0,1,NA,-0.001194946,-0.358906948,1.553034971,1.195322968,0,100,28.37371518,NA,0,0,0.05,0.204545455,0.022881818,95.45454545,NA,0.173863636,0.340909091,0.095454545,0.481818182,0.930681818,0.670387287,0.518806818,0.39450319,0.651536364,0,0.166668182,0.484868182,BOATABLE,0.484868182,0.002178472,62.63636364,-0.02655725,-0.668480681,1.195322968,2 Medi,Good,0.753942968,Good,-0.05353725,Good,0.20487184,36.49761197,1.56226445,0.007626506,-2.117674369,15.2704656,1.183852279,0.003190902,-2.49608654,-0.166913952,-0.485965306,NRS_AL-10031,S,7.966285285,9.956807729,0,0,10,10,10,10,8,72.4,548451,-26.58,-4.58,10.05,Appalachians
