"SITE_ID","VISIT_NO","MMI_BENT","OE_SCORE_OLD"
"FW08KS001",1,39.6,1.17468923
"FW08KS003",1,50.93,0.438390167
"FW08KS005",1,17.3,0.724566489
"FW08KS006",1,15.68,0.27444883
"FW08KS012",1,77.17,1.265207863
"FW08KS036",1,25.65,0.718467349
"FW08KS039",1,25.58,0.685823222
"FW08LA011",1,18.67,0.604519637
"FW08DE002",1,34.62,0.925941401
"FW08KS033",1,28.83,0.720381095
"FW08DE001",2,42.32,1.125419445
"FW08DE013",1,28.82,0.96563046
"FW08NV003",1,29,0.965331686
"FW08NV069",1,68.12,1.418890987
"FW08NV003",2,15.98,0.361999382
"FW08NV004",1,51.37,1.093007753
"FW08NV004",2,54.38,0.776403116
"FW08NV005",1,30.53,0.97534195
"FW08NV006",1,50.47,0.657724896
"FW08NV008",1,64.03,1.098863471
"FW08NV009",1,34.42,0.803091232
"FW08NV010",1,38.28,0.894210551
"FW08NV011",1,35.77,1.150722862
"FW08NV012",1,15.42,0.726301566
"FW08NV014",1,49.67,0.872659325
"FW08NV015",1,23.42,0.732418541
"FW08NV019",1,63.02,0.840349019
"FW08NV019",2,47.93,1.114302728
"FW08NV022",1,32.13,1.087772096
"FW08NV026",1,41.83,1.088084343
"FW08NV028",1,69.45,1.244105516
"FW08NV029",1,70.83,1.205267446
"FW08NV031",1,12.95,0.355222525
"FW08NV032",1,56.43,0.904909954
"FW08NV033",1,20.7,0.778361306
"FW08NV034",1,40.72,0.51141175
"FW08NV035",1,7.07,0.277864908
"FW08NV037",1,61.18,0.958633292
"FW08NV038",1,9.8,0.566906906
"FW08NV049",1,30,0.702685848
"FW08NV040",1,50.53,0.857962318
"FW08NV050",1,38.83,0.766506629
"FW08CA044",1,12,0.527682416
"FW08NV051",1,52.43,0.61563861
"FW08NV053",1,65.75,0.904930262
"FW08NV054",1,36.37,0.582591373
"FW08NV056",1,35.68,1.027454571
"FW08CA059",1,42.13,0.391838704
"FW08NV057",1,36.55,0.84126467
"FW08NV058",1,59.57,0.763388974
"FW08NV041",1,30.33,0.899495245
"FW08NV039",1,44.15,0.610984605
"FW08NV062",1,43.33,0.127326078
"FW08NV063",1,35.47,0.778687389
"FW08NV065",1,67.77,1.188928652
"FW08NV066",1,28.72,0.511745078
"FW08NV069",2,71.37,1.031920718
"FW08CA020",1,22.9,0.686285256
"FW08CA031",1,52.6,0.942960418
"FW08CA035",1,36.35,0.378220001
"FW08CA040",1,34.67,0.96015312
"FW08CA056",1,25.83,0.810164871
"FW08CA061",1,18.2,0.30416919
"FW08CA063",1,30.92,0.833449708
"FW08CA067",1,59.28,0.5897211
"FW08CA068",1,53.1,1.282665827
"FW08OR001",1,25.37,0.666883702
"FW08OR002",1,19.6,0.510743929
"FW08OR004",1,38.3,1.347572251
"FW08OR005",1,45.78,1.035366708
"FW08OR006",1,41.38,0.50308902
"FW08OR008",1,45.12,0.911411964
"FW08OR009",1,45.77,1.034066754
"FW08OR010",1,61.02,0.960691917
"FW08OR015",1,17.33,0.989503831
"FW08OR016",1,40.03,1.050714504
"FW08OR016",2,36.93,1.064056483
"FW08OR019",1,28.22,0.798311401
"FW08OR022",1,41.07,0.879526888
"FW08OR027",1,44.52,0.84240877
"FW08OR035",1,26.57,0.733256509
"FW08OR043",1,66.25,1.054996938
"FW08OR044",1,28.88,0.902597648
"FW08OR047",1,64.02,0.746718293
"FW08OR050",1,85.22,1.252167396
"FW08OR045",1,78.57,0.895636593
"FW08OR051",1,38.2,0.705386305
"FW08OR052",1,54.72,1.324621685
"FW08OR054",1,14.03,0.566016489
"FW08OR058",1,67.67,1.124867076
"FW08OR058",2,41.92,1.03833884
"FW08OR059",1,13.22,0.17759324
"FW08OR069",1,48.08,1.080562165
"FW08OR060",1,61.13,1.061599093
"FW08CO001",1,51.63,0.695641757
"FW08CO001",2,21.77,0.973898459
"FW08CO003",1,72.33,0.978769693
"FW08CO003",2,52.58,1.258418177
"FW08CO006",1,47.25,1.250834449
"FW08CO010",1,48.63,1.017224736
"FW08CO012",1,21.67,0.907787004
"FW08CO013",1,48.53,0.87465465
"FW08CO014",1,19.97,0.77439931
"FW08CO017",1,51.8,1.071894365
"FW08CO019",1,42.83,0.649381383
"FW08CO020",1,9.98,0.643552854
"FW08CO021",1,36.68,0.539717902
"FW08CO025",2,61.25,1.063495659
"FW08CO025",1,39.72,0.945329475
"FW08CO027",1,33.67,0.913232205
"FW08CO031",1,70.58,1.026533456
"FW08CO038",1,60.15,1.099976384
"FW08CO073",1,62.93,0.681618367
"FW08CO076",1,18.88,1.029503813
"FW08CO103",1,65.32,0.795715386
"FW08IL006",1,14.58,0.562899668
"FW08IL011",1,62.1,1.19029683
"FW08IL011",2,24.9,0.640929062
"FW08IL017",1,74.55,1.017488556
"FW08IL022",1,58.65,1.04808567
"FW08IL018",1,75.15,0.933434729
"FW08IL024",1,43.85,1.385413678
"FW08IL027",1,27.12,0.760928134
"FW08IL028",1,44.17,1.261845594
"FW08IL029",1,57.6,0.917182494
"FW08IL031",1,62.43,0.85820503
"FW08IL036",1,51.52,0.712969287
"FW08IL038",1,46.22,0.776541803
"FW08VT003",1,59.27,0.618961794
"FW08VT004",1,70.78,0.933126326
"FW08VT005",1,60.2,1.094793885
"FW08VT007",1,64.52,0.837560376
"FW08VT008",1,41.97,0.633490504
"FW08TX003",1,65.37,0.8593772
"FW08TX004",1,46.47,0.735004447
"FW08TX010",1,47.02,0.916369196
"FW08TX011",1,8.75,0.462002218
"FW08TX017",1,49.72,1.190388818
"FW08TX031",1,35.65,0.830007382
"FW08TX045",1,22.25,0.607012465
"FW08IN002",1,56.92,1.34950887
"FW08IN003",1,33.4,1.389897176
"FW08IN004",1,19.8,1.099017905
"FW08IN005",1,9.13,0.572736154
"FW08IN008",1,34.18,0.741807142
"FW08IN002",2,37.72,1.079607096
"FW08IN008",2,17.15,0.659384127
"FW08IN009",1,43.05,1.055579755
"FW08IN011",1,67.47,1.356574843
"FW08IN014",1,60.68,1.01333362
"FW08IN015",1,66.07,0.819000163
"FW08IN016",1,26.57,0.697412549
"FW08IN017",1,58.22,0.414785523
"FW08IN020",1,63.38,0.493096208
"FW08IN023",1,40.85,1.10423356
"FW08IN018",1,12.77,0.805063747
"FW08MI023",1,33.3,1.159834718
"FW08IN025",1,43.68,1.261373062
"FW08IN028",1,32.37,0.867537051
"FW08IN029",1,22.47,1.137414831
"FW08IN030",1,53.27,0.959707447
"FW08IN033",1,47.55,0.625086123
"FW08MI038",1,30.93,0.817889229
"FW08MI019",1,53.68,1.197151661
"FW08MI024",1,79.83,1.180184421
"FW08MI026",1,29.83,0.891485576
"FW08MI028",1,39.73,1.006773558
"FW08MI030",1,64.45,1.278361119
"FW08MI033",1,52.02,0.803279049
"FW08MI036",1,39.85,0.835603584
"FW08MI037",1,9.22,0.502888086
"FW08MI041",1,32.45,0.872214239
"FW08MI042",1,33.33,0.778626783
"FW08MI044",1,34.93,0.898072394
"FW08MI046",1,64.33,0.874234975
"FW08MI047",1,43.05,0.749109325
"FW08MI048",1,35.57,0.756070264
"FW08MI050",1,47.05,0.92779447
"FW08MI057",1,44.32,1.067980321
"FW08MI058",1,25.53,0.256095882
"FW08IA002",1,21.35,1.235738249
"FW08IA002",2,30.23,1.235738249
"FW08IA004",1,9.85,0.408941316
"FW08IA004",2,16.65,0.613411973
"FW08IA005",1,34.15,0.957996271
"FW08IA008",1,36.62,1.259415945
"FW08IA009",1,37.98,0.937846242
"FW08IA011",1,15.43,0.479921057
"FW08IA013",1,19.62,0.813360514
"FW08IA014",1,9.2,0.58369667
"FW08IA016",1,51.9,0.626940357
"FW08IA017",1,31.83,0.884180274
"FW08IA023",1,10.8,1.438862039
"FW08IA027",1,5.08,0.89483513
"FW08IA028",1,43.7,0.532760045
"FW08IA031",1,27.28,0.693619677
"FW08IA036",1,20.58,1.374033211
"FW08IA041",1,1.05,0.327894964
"FW08IA042",1,47.03,1.316345793
"FW08IA043",1,21.2,0.658054074
"FW08IA048",1,28.92,1.020690579
"FW08IA054",1,28.13,1.359383842
"FW08IA055",1,52.78,1.055763729
"FW08RIN9035",1,70.47,0.928549602
"FW08RIN9046",1,53.1,1.142156388
"FW08RMI9106",1,44.18,0.764486856
"FW08RMI9110",1,60.65,1.235053496
"FW08RMI9004",1,58.97,1.019617446
"FW08RMI9002",1,40.8,0.768466388
"FW08RMI9105",1,54,1.213421178
"FW08MI019",2,42.02,0.684086664
"FW08MN017",1,41.68,0.569387172
"FW08MN018",1,18.82,0.693603011
"FW08MN021",1,23.23,0.962899207
"FW08MN033",1,51.02,1.030301664
"FW08MI034",1,44.37,0.919002942
"FW08MN034",1,38.95,0.685932393
"FW08MN037",1,58.9,0.827561063
"FW08MN049",1,23.78,0.900798453
"FW08MN040",1,22.92,1.166408462
"FW08AR009",1,33.9,0.99720192
"FW08AR035",1,28.42,0.607373961
"FW08AR007",1,68.12,1.120919142
"FW08AR004",1,35.38,0.622628953
"FW08AR008",1,29.28,0.70678548
"FW08MN024",1,10.13,0.356022717
"FW08MN031",1,42.92,0.891177988
"FW08MN035",1,39.23,1.061700769
"FW08MN036",1,5.1,0.705929982
"FW08DE005",1,12.3,0.658221737
"FW08DE005",2,11.87,0.658221737
"FW08DE010",1,12.85,0.727656326
"FW08DE010",2,7.83,0.818613367
"FW08DE014",1,44.77,0.931153488
"FW08FL002",1,18.18,0.582331557
"FW08FL013",1,38.62,0.339428278
"FW08FL016",1,33.25,0.467928849
"FW08FL017",1,60,1.171305425
"FW08FL018",1,10.63,0.256462736
"FW08FL021",1,14.58,0.469061707
"FW08FL029",1,38.23,0.960976208
"FW08GA001",1,33.55,0.708834285
"FW08GA003",1,35.43,1.167223447
"FW08GA015",1,20.38,0.568951123
"FW08GA018",1,64.72,1.430821271
"FW08GA023",1,0,0.259406356
"FW08MN019",1,47.68,0.877170811
"FW08IA052",1,2.08,0.410529304
"FW08LA108",1,16.13,0.369114298
"FW08LA088",1,2.08,0
"FW08LA096",1,2.35,0.246362376
"FW08LA100",1,0,NA
"FW08LA104",1,16.67,0
"FW08LA152",1,16.67,NA
"FW08MS070",1,0,NA
"FW08MS006",1,20.98,0.246797207
"FW08MS014",1,32.15,0.123271945
"FW08LA044",1,4.35,0.123319391
"FW08LA028",1,16.67,0
"FW08MD001",1,41.87,1.079368847
"FW08MD001",2,38.15,1.275617728
"FW08MD006",1,9.38,0.846375882
"FW08MD002",1,34.82,0.705057566
"FW08MD004",1,10.12,0.447531165
"FW08MD007",1,53.58,0.926868695
"FW08MD008",1,32.05,0.883616847
"FW08MD012",1,43.8,0.762091648
"FW08MD009",1,65.02,1.167859726
"FW08MD020",1,23.18,0.695293594
"FW08MD018",1,30.58,1.015678949
"FW08MD024",1,38.98,1.140481584
"FW08MD006",2,26.1,0.940417647
"FW08MD003",1,6.72,0.30072815
"FW08MD005",1,37.55,0.709634126
"FW08MD014",1,32.15,0.731741861
"FW08MT001",1,53.93,0.948454805
"FW08MT001",2,27.47,0.812961262
"FW08MT002",1,80.9,1.047336848
"FW08MT002",2,71.53,1.125734168
"FW08MT005",1,59,1.094661611
"FW08MT007",1,49.33,0.723133866
"FW08MT008",1,51.98,1.044328062
"FW08MT014",1,70.6,1.185240035
"FW08MT020",1,60.72,0.786249583
"FW08MT023",1,69.15,0.889086901
"FW08MT029",1,81.68,1.006213544
"FW08MT030",1,95.88,1.03283783
"FW08MT045",1,43.68,1.142696196
"FW08MT051",1,69.93,1.062219341
"FW08MT054",1,50.52,0.881245795
"FW08MT055",1,49.78,1.091313504
"FW08MT060",1,95.48,0.784284312
"FW08MT062",1,64.28,1.089198151
"FW08MT071",1,74.47,1.434035411
"FW08MT013",1,27.77,0.86415707
"FW08MT024",1,12.83,0.20601316
"FW08MT035",1,26.92,0.526557188
"FW08MT038",1,67.3,0.999533719
"FW08MT039",1,81.72,0.564924164
"FW08MT042",1,32.23,0.319474329
"FW08MT043",1,39.2,0.676787547
"FW08MT048",1,69.03,1.019388943
"FW08MT050",1,80,0.598905189
"FW08MT004",1,87.25,0.813384233
"FW08NJ002",1,19.23,0.571494974
"FW08NJ003",1,21.1,0.485010135
"FW08NJ008",1,33.68,0.427806578
"FW08NJ009",1,42.2,0.622491286
"FW08NJ015",1,16.05,0.253622518
"FW08NJ019",1,11.25,0.380864055
"FW08NJ021",1,8.73,0.274411373
"FW08NJ002",2,8.07,0.457195979
"FW08MT031",1,70.7,1.011967266
"FW08NH005",1,30.07,1.033088074
"FW08NH005",2,12.37,0.874151447
"FW08NH007",1,3.58,0.436183938
"FW08NH007",2,59.7,1.221315027
"FW08NH011",1,17.35,1.027221142
"FW08NH014",1,14.68,0.304113987
"FW08NH016",1,2.73,0.481966018
"FW08NH018",1,28.62,0.327872752
"FW08NH020",1,36.88,1.032517198
"FW08NH009",1,8.75,0.762449904
"FW08NH010",1,8.13,0.363242364
"FW08NH017",1,76.2,0.891099129
"FW08AR010",1,31.63,0.246334265
"FW08AR067",1,46.72,0.244964415
"FW08AR078",1,14.68,0.122556718
"FW08AR087",1,22.8,0.369362232
"FW08AR205",1,35.75,0.49219923
"FW08KY097",1,42.45,0.245684068
"FW08AR274",1,23.13,0.369185207
"FW08MO086",1,51.3,0.245684068
"FW08MO102",1,57.03,0.491117464
"FW08MO150",1,41.07,0.244746265
"FW08MS019",1,14.68,0.122786314
"FW08MS083",1,16.67,0
"FW08MS094",1,0,0
"FW08MO214",1,59.98,0.73094151
"FW08MS127",1,33.33,0
"FW08MS139",1,30.28,0.122600035
"FW08MS147",1,58.47,0.738298845
"FW08MS191",1,21.95,0.368965322
"FW08MS203",1,33.33,0
