UID,SITE_ID,VISIT_NO,OE_SCORE
1317,FW08TX012,2,0.533027653
1318,FW08TX012,1,0.666284566
1319,FW08TX061,1,0.889681799
1320,FW08TX059,1,0.994855381
1321,FW08TX058,1,0.843245913
1322,FW08TX066,1,0.916091363
1323,FW08TX064,1,1.054596229
1324,FW08TX046,1,0.275161736
1325,FW08TX038,1,0.827057278
1326,FW08TX033,1,0.397791166
1327,FW08TX030,1,0.709957188
1328,FW08TX015,2,1.015859026
1329,FW08TX015,1,0.846549189
1330,FW08TX065,1,0.254577091
1331,FW08TX055,1,0.660834721
1332,FW08TX023,1,0.644922329
1333,FW08TX062,1,0.474233201
1334,FW08TX063,1,1.025125704
1335,FW08TX022,1,0.709957188
1336,FW08TX068,1,0.972950055
1337,FW08TX052,1,0.151239139
1338,FW08TX050,1,1.068065076
1417,FW08TX028,1,1.344000991
9694,FW08ND018,1,1.179610941
9830,FW08CA001,1,1.203050972
9832,FW08CA015,1,1.272759058
9920,FW08DE001,1,1.301932027
9922,FW08DE008,1,0.844646663
9923,FW08DE015,1,0.684809725
9924,FW08DE021,1,0.65825225
9928,FW08IN013,1,0.929032055
10000,FW08KS001,1,1.226910366
10001,FW08KS003,1,0.437888386
10002,FW08KS005,1,0.604007729
10003,FW08KS006,1,0.363642282
10004,FW08KS012,1,1.235424465
10006,FW08KS036,1,0.682913969
10007,FW08KS039,1,0.737226918
10060,FW08LA011,1,0.882820353
10109,FW08DE002,1,0.951394203
10828,FW08KS033,1,0.770485963
10829,FW08DE001,2,1.101634792
10842,FW08DE013,1,1.040575117
10854,FW08NV003,1,0.857227706
10856,FW08NV069,1,1.313208246
10857,FW08NV003,2,0.32146039
10858,FW08NV004,1,1.069138779
10871,FW08NV004,2,0.852156128
10872,FW08NV005,1,0.901170831
10875,FW08NV006,1,0.987212776
10876,FW08NV008,1,1.155621217
10885,FW08NV009,1,0.802974322
10886,FW08NV010,1,0.825402682
10887,FW08NV011,1,1.098031932
10888,FW08NV012,1,0.591579476
10889,FW08NV014,1,1.057726358
10890,FW08NV015,1,0.730360011
10893,FW08NV019,1,0.835034719
10895,FW08NV019,2,1.070955106
10896,FW08NV022,1,1.011054976
10897,FW08NV026,1,1.068055881
10898,FW08NV028,1,1.220100053
10899,FW08NV029,1,1.044736892
10900,FW08NV031,1,0.379478605
10901,FW08NV032,1,0.90569646
10918,FW08NV033,1,0.771788542
