SITE_ID,VISIT_NO,NH4,NH4_ALERT,ANC,ANC_ALERT,CA,CA_ALERT,CL,CL_ALERT,COLOR,COLOR_ALERT,COND,COND_ALERT,DOC,DOC_ALERT,MG,MG_ALERT,SODIUM,SODIUM_ALERT,K,K_ALERT,NO3,NO3_ALERT,NO3NO2,NO3NO2_ALERT,NO2,NO2_ALERT,NTL,NTL_ALERT,PHLAB,PHLAB_ALERT,PTL,PTL_ALERT,SIO2,SIO2_ALERT,SO4,SO4_ALERT,TSS,TSS_ALERT,TURB,TURB_ALERT
FW08KS001,1,0.02,NA,4851.26,NA,153.9,NA,41.92,NA,10,NA,1039.77,NA,3.05,NA,14.18,NA,62.93,NA,4.571,NA,0.81812,NA,NA,NA,0,R,1316,NA,8.24,NA,63.7256,NA,19.129,NA,260.24,NA,24.7,NA,6.6,NA
FW08KS003,1,0.012,R,3670.51,NA,77.2,NA,21.62,NA,10,NA,514.86,NA,1.02,NA,8.135,NA,21.38,NA,2.939,NA,1.96961,NA,NA,NA,0.00583,R,2219,NA,8.26,NA,67.6794,NA,25.797,NA,54.53,NA,16.9,NA,8.47,NA
FW08KS005,1,0.367,NA,2345.26,NA,33.06,NA,4.38,NA,21,NA,257.46,NA,8.27,NA,6.525,NA,5.867,NA,5.971,NA,0.04569,NA,NA,NA,0.00309,R,2024,H,7.76,NA,387.3913,H,13.199,H,8.06,NA,460.8,NA,433,NA
FW08KS006,1,0.035,NA,4288.89,NA,78.56,NA,12.09,NA,14,NA,487.83,NA,2.22,NA,6.796,NA,17.99,NA,2.205,NA,3.36978,NA,NA,NA,0.01126,R,3963,H,8.33,H,138.0413,NA,25.265,NA,17.29,NA,87,NA,32.6,NA
FW08KS012,1,0.012,R,4426.84,NA,65.52,NA,7.47,NA,10,NA,451,NA,1.47,NA,13.44,NA,9.765,NA,1.763,NA,0.21067,NA,NA,NA,0,R,362,H,8.27,H,36.69,H,10.371,H,13.4,NA,34.6,NA,16.1,NA
FW08KS036,1,0.099,NA,6188.57,NA,150.7,NA,63.94,NA,5,NA,1638.79,NA,2.98,NA,53.8,NA,145.7,NA,6.829,NA,1.21562,NA,NA,NA,0,R,1714,NA,8.15,NA,32.6069,NA,23.518,NA,503.19,H,8.4,NA,4.8,NA
FW08KS039,1,0.045,NA,5388.01,NA,86.53,NA,8.8,NA,5,NA,583,NA,2.02,NA,16.29,NA,12.97,NA,2.306,NA,0.05471,NA,NA,NA,0,R,1184,H,7.91,NA,342.0175,H,13.383,H,48.17,H,586.8,NA,305,NA
FW08LA011,1,0.048,NA,476.74,NA,6.909,NA,9.17,NA,22,NA,116.4,NA,4.06,NA,1.648,NA,12.04,NA,1.717,NA,0.05639,NA,NA,NA,0.00386,R,491,H,7.25,NA,71.5725,H,4.65,NA,13.45,NA,8.5,NA,12.4,NA
FW08DE002,1,0.025,NA,345.11,NA,9.893,NA,11.21,H,22,NA,148.03,NA,1.51,NA,3.725,NA,8.868,NA,2.705,NA,6.95317,H,NA,NA,0.00956,R,7200,H,7.14,NA,33.5163,NA,18.607,NA,4.82,H,1.9,NA,4.14,NA
FW08KS033,1,0.004,R,3923.97,NA,191.6,NA,72.93,NA,11,NA,2443.54,NA,3.25,NA,93.9,NA,248.4,NA,8.138,NA,0.68561,NA,NA,NA,0,R,1563,H,8.31,NA,169.1581,H,15.129,NA,1081.96,NA,149,NA,93.73,NA
FW08DE001,2,0.467,NA,877.85,NA,9.866,NA,17.17,NA,35,NA,163.05,NA,6.99,NA,5.083,NA,10.01,NA,3.403,NA,0.24369,NA,NA,NA,0.01988,R,1573,NA,7.36,NA,149.0788,NA,13.839,NA,4,NA,24,NA,30.8,NA
