"SITE_ID","VISIT_NO","PROTOCOL","XDEPTH_CM","SDDEPTH_CM","XWIDTH","XWXD","RP100","XBKF_W","XBKF_H","XINC_H","SINU","XSLOPE","REACHLEN","LSUB_DMM","XEMBED","PCT_FN","PCT_SAFN","PCT_SFGF","LDCBF_G08","LDMB_BW5","LRBS_BW5","LRBS_G08","PCT_FAST","PCT_SLOW","RPRAT","PCT_BDRK","XFC_ALG","XFC_AQM","XFC_LWD","XFC_NAT","V1W_MSQ","XCDENBK","XCDENMID","XCL","XGB","XGW","XC","XCMGW","QR1","QRVEG1","RDIST1","W1_HALL","W1H_WALL","W1_HNOAG","W1_HAG"
"FW08KS001",1,"WADEABLE",17.19333333,11.33071887,2.2525,0.37305,9.440386615,7.590909091,2.263636364,8.681818182,1.361993024,0.323319707,163.9,-0.104706648,60.54545455,41.9047619,41.9047619,80.95238095,"2.225500479",1.709181117,-1.813887765,-2.330207127,24.66666667,75.33333333,0.549072506,0,0,0,0.05,0.536363636,0.014927461,94.9197861,89.57219251,0.267045455,0.256818182,0.153409091,0.703409091,1.071590909,0.706461466,0.582215909,0.365390717,0.575772727,0,0,0.575772727
"FW08KS003",1,"WADEABLE",18.82,5.777665112,4.985,0.96615,3.835185376,9.172727273,1.381818182,1.690909091,2.000395,0.427216,NA,-0.402648217,97.81818182,0,95.23809524,100,"",NA,NA,NA,0,100,NA,0,0.027272727,0.027272727,0.009090909,0.329545455,NA,52.94117647,54.54545455,0.228409091,0.085227273,0.151136364,0.670454545,1.021590909,0.597166619,0.559715909,0.3400033,0.515159091,0,0.075759091,0.4394
"FW08KS005",1,"WADEABLE",18.75,15.09925077,3.29,0.7035,12.28462391,8.745454545,1.963636364,2.1,1.321487002,0.323156398,178.2,-1.904291555,92.90909091,94.28571429,94.28571429,94.28571429,"1.893571278",1.651449009,-3.555740564,-3.797862833,18,82,0.655179942,0,0,0.004545455,0.004545455,0.384090909,0.001830035,87.96791444,84.35828877,0.269318182,0.056818182,0.036363636,0.540909091,0.739772727,0.63394206,0.432897727,0.34000726,0.515168182,0,0.242427273,0.272740909
"FW08KS006",1,"WADEABLE",38.41,12.6123997,6.47,2.61855,12.02396211,6.790909091,0.754545455,2.081818182,3.296658477,0.126200811,227.7,-0.460409377,100,0,100,100,"1.125766413",0.843637643,-1.30404702,-1.58617579,0,100,0.313042492,0,0,0,0.097727273,0.897727273,0.105692335,97.05882353,93.18181818,0.305681818,0.084090909,0.025,0.651136364,0.764772727,0.676929718,0.444147727,0.282611815,0.393945455,0,0,0.393945455
"FW08KS012",1,"WADEABLE",65.09,41.08308777,10.08,7.16955,37.76741401,15.80909091,1.536363636,2.445454545,1.340770752,0.168503911,435.6,0.650530211,59.54545455,26.66666667,27.61904762,48.57142857,"1.509496377",1.31974573,-0.669215519,-0.858966166,24,76,0.580233738,2.857142857,0.004545455,0.259090909,0,0.222727273,0.000280987,40.90909091,30.0802139,0.084090909,0.103409091,0.135227273,0.228409091,0.461363636,0.387052434,0.307613636,0.597385621,1.483766234,0,0.142857143,1.340909091
"FW08KS036",1,"WADEABLE",9.39,6.381626087,4.515,0.4335,4.949646258,11.11818182,1.081818182,1.081818182,1.128607277,0.157374103,148.5,-2.110924375,100,100,100,100,"1.044837098",1.01306648,-3.123990855,-3.155761472,0,100,0.527118877,0,0.361363636,0.581818182,0.004545455,0.893181818,0.085127646,51.87165775,17.37967914,0.070454545,0.015909091,0.218181818,0.454545455,1.072727273,0.576129148,0.582727273,0.42106482,0.727309091,0,0.060609091,0.6667
"FW08KS039",1,"WADEABLE",22.97,17.56687367,3.0375,0.86585,17.08977939,7.175454545,1.186363636,1.381818182,1.238100251,0.543228659,148.5,0.649337011,53,33.33333333,33.33333333,41.9047619,"1.784157829",1.619900398,-0.970563386,-1.134820818,14,78,0.744004327,2.857142857,0.004545455,0,0.022727273,0.704545455,0.062571148,83.68983957,86.63101604,0.231818182,0.160227273,0.323863636,0.455681818,0.922727273,0.641306345,0.515227273,0.400012,0.6667,0,0,0.6667
"FW08LA011",1,"BOATABLE",544.1176471,98.30597759,91.81818182,503.3888889,92.93053942,94.54545455,0.4,1.927272727,1.406638035,0.001258317,3505.700228,-1.204759278,NA,45.09803922,100,NA,"-0.173446402",-0.373693528,-0.83106575,-1.031312876,0,100,17.07912616,NA,0.084090909,0.009090909,0.040909091,0.284090909,0.002379545,76.06951872,NA,0.328409091,0.430681818,0.093181818,0.429545455,1.177272727,0.729519665,0.629772727,0.214285714,0.272727273,0,0.272727273,0
"FW08DE002",1,"BOATABLE",60,23.05023061,6.281818182,4.406,35.61671259,8.636363636,1.027272727,1.686363636,1.053731456,0.048323041,213.1546687,-0.646557521,NA,13,97,NA,"0.734113455",0.613788427,-1.260345948,-1.380670975,0,100,59.36118765,NA,0,0,0.072727273,0.525,0.014807273,94.11764706,NA,0.233333333,0.260714286,0.054761905,0.29047619,0.402380952,0.643276795,0.281071429,0,0,0,0,0
"FW08KS033",1,"WADEABLE",69.36,14.76723099,18.585,12.0299,15.80953583,22.45454545,1.318181818,1.254545455,1.118454221,0.058638682,633.6,-0.928984668,100,29.52380952,99.04761905,99.04761905,"1.170957279",0.871613246,-1.800597915,-2.099941947,0,100,0.227934484,0,0,0.379545455,0.061363636,0.918181818,0.000635332,78.87700535,0,0.038636364,0.025,0.234090909,0.586363636,1.260227273,0.660054577,0.667102273,0.467745369,0.8788,0,0,0.8788
"FW08DE001",2,"WADEABLE",13.93,12.93125179,1.5,0.36095,9.538146056,2.554545455,0.245454545,0.372727273,1.163480452,0.54260889,148.5,-0.974687923,95.18181818,37.14285714,93.33333333,95.23809524,"0.766039467",1.023311474,-1.997999396,-1.740727389,0,70,0.684719746,0,0,0.040909091,0.004545455,0.440909091,0.002746804,77.00534759,74.06417112,0.075,0.020454545,0.140909091,0.138636364,0.354545455,0.584586953,0.259545455,0.029413192,0.030304545,0,0.030304545,0
"FW08DE013",1,"WADEABLE",28.94,21.46212073,8.835,2.53,15.82032823,9.281818182,0.090909091,0.654545455,1.02063709,0.076096071,316.8,0.35624067,73.27272727,10.47619048,46.66666667,60.95238095,"-0.035047182",0.063051119,0.293189551,0.391287852,9,91,0.54665958,0,0,0,0.004545455,0.168181818,0.000143514,97.59358289,93.31550802,0.034090909,0.320454545,0.082954545,0.102272727,0.239772727,0.45032119,0.207897727,0.551020408,1.227272727,0.090909091,1.227272727,0
"FW08NV003",1,"WADEABLE",6.34,1.765093639,0.97,0.0649,0.506709509,1.781818182,0.381818182,2.509090909,1.047072926,3.430692054,148.5,1.561506186,41.81818182,8.571428571,8.571428571,20,"2.323289691",2.014674087,-0.4531679,-0.761783505,15,85,0.079922635,0,0.027272727,0.05,0,0.302272727,0,4.278074866,2.139037433,0,0.148863636,0.095454545,0,0.464772727,0.272148269,0.309147727,0.529247631,1.124259091,0,0.56365,0.560609091
"FW08NV069",1,"WADEABLE",52.16,25.4092642,11.01764706,5.964882353,19.28985878,13.68181818,0.6,1.390909091,2.001994,1.375,NA,0.420193257,67.27272727,13.33333333,35.23809524,61.9047619,"",1.941869376,-1.521676119,NA,14,86,NA,0,0.045454545,0.063636364,0,0.277272727,NA,33.15508021,0.267379679,0,0.071590909,0.443181818,0.131818182,0.945454545,0.433585434,0.525454545,0.610619469,1.568181818,0,0.068181818,1.5
"FW08NV003",2,"WADEABLE",2.1625,2.771663806,0.433333333,0.0066,0.832893694,2.055555556,0.4,1.211111111,1.999376,8.012403,NA,1.669049756,42.22222222,0,1.176470588,22.35294118,"",2.355714625,-0.686664868,NA,0,93.75,NA,0,0.094444444,0.197222222,0,0.35,NA,28.43137255,16.33986928,0,0.248611111,0.457352941,0,0.877777778,0.366331964,0.495,0.720930233,2.583333333,0,1.083333333,1.5
"FW08NV004",1,"WADEABLE",11.23,7.779609452,1.605,0.18155,2.193543243,2.7,0.5,1.145454545,1.117601022,12.76734955,148.5,2.131244714,37.90909091,1.904761905,2.857142857,5.714285714,"3.016303767",2.697010412,-0.565765698,-0.885059054,62,38,0.195328873,0,0.009090909,0.065909091,0.045454545,1.845454545,0.010612296,97.32620321,96.65775401,0.0875,0.025,0.4125,0.470454545,1.375,0.727980116,0.71875,0.450004125,0.818195455,0,0,0.818195455
"FW08NV004",2,"WADEABLE",10.84090909,8.802597877,1.4125,0.2515,3.08733236,2.64,0.46,0.88,2.01182,15.675,NA,1.958953114,33.2,0,2.222222222,6.666666667,"",NA,NA,NA,40.90909091,59.09090909,NA,0,0.03,0.03,0.03,2.155,NA,94.11764706,92.64705882,0.115,0.04,0.38,0.475,1.2675,0.682163151,0.670375,0.5,1,0,0,1
"FW08NV005",1,"WADEABLE",27.26136364,6.827083183,1.8,0.489277778,3.411222452,2.622222222,0.4,0.966666667,2.001302,2.071511,NA,-0.256221813,76.22222222,40,57.77777778,63.33333333,"",1.957139677,-2.21336149,NA,65.90909091,34.09090909,NA,0,0.161111111,0.372222222,0,0.797222222,NA,64.37908497,49.01960784,0,0.186111111,0.094444444,0.033333333,0.511111111,0.481617524,0.33,0.501735621,1.006966667,0.166666667,0.229166667,0.7778
