"SITE_ID","VISIT_NO","REALM","W1H_CROP","XSLOPE_use","XWIDTH_use","Lpt01_XCMGW","Lpt01_XFC_NAT","LRBS_use","RDIST_COND","LRBS_Cond_use","LOE_RBS_use","LXCMGW_Cond_use","LOE_XCMGW_use","LXFC_NAT_Cond_use","LOE_XFC_NAT_use","Qbkf_cl","LQbkf_cl","Qbkf_kmcl","LQbkf_kmcl","QLow_cl","LQLow_cl","QLow_kmcl","LQLow_kmcl","LOE_QLow_cl","LOE_Qbkf_cl"
"FW08AL001",1,"WADEABLE",0,1.733809524,2.72,0.011108878,-1.333822512,-0.486174634,"1 Low","Good",0.260219969,"Good",0.08185792,"Poor",-0.559174124,0.792208766,-0.101160356,0.803131353,-0.09521342,0.005159513,-2.287391272,0.00523065,-2.281444336,0.083112755,0.154657074
"FW08AL001",2,"WADEABLE",0,2.33047619,2.585,0.047097785,-1.256062854,-0.397645253,"1 Low","Good",0.34874935,"Good",0.117846827,"Medi",-0.481414466,0.732891971,-0.134960036,0.742996726,-0.1290131,0.002727553,-2.564226847,0.002765159,-2.558279911,-0.19372282,0.120857394
"FW08AL002",1,"WADEABLE",0,0.684722222,9.12,-0.280028744,-0.222836906,-0.482661441,"3 High","Good",-0.372247473,"Poor",-0.255531939,"Good",0.548602679,14.31501736,1.155791879,0.723803178,-0.140379514,0.187493662,-0.727013409,0.00948015,-2.023184802,0.328871953,0.597655141
"FW08AL002",2,"WADEABLE",0,0.883796296,9.585,-0.275351825,-0.246556227,-0.239250604,"3 High","Good",-0.128836636,"Poor",-0.250855021,"Good",0.524883358,3.340333324,0.523789806,0.16889563,-0.772381587,0.093568095,-1.02887221,0.004731038,-2.325043604,0.027013151,-0.034346932
"FW08AL003",1,"WADEABLE",0,0.109615385,2.411764706,0.032920809,-0.389872387,-1.817598016,"2 Medi","Medi",-0.692073599,"Good",0.005184115,"Good",0.002307613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FW08AL004",1,"WADEABLE",0,0.177777778,4.4,0.075795722,-0.224488846,-1.188913505,"3 High","Medi",-0.939641335,"Good",0.080519313,"Good",0.48109199,1.285349768,0.109021324,0.125069306,-0.902849259,0.070598985,-1.151201544,0.006869543,-2.163072127,0.191713916,-0.271398978
"FW08AL006",1,"WADEABLE",0,0.186904762,8.625,0.019682638,-1.059121453,0.336167125,"2 Medi","Good",0.387536864,"Good",0.017611673,"Medi",-0.287886327,2.127101718,0.327788258,0.081419538,-1.089271365,0.041325644,-1.383780375,0.001581831,-2.800839999,-0.449943771,-0.305915712
"FW08AL007",1,"WADEABLE",0,1.356666667,2.365,-0.1357317,-0.534887652,0.320491415,"2 Medi","Good",1.091918323,"Good",-0.081325469,"Good",0.164259774,4.171441702,0.620286179,4.758660395,0.677484712,0.002240063,-2.649739722,0.0025554,-2.592541189,-0.227492083,0.908140982
"FW08AL008",1,"WADEABLE",0,0.808809524,2.955,0.034974646,-0.322475999,-0.030201328,"3 High","Good",0.206100928,"Good",0.027785038,"Good",0.375569908,0.849066763,-0.071058159,0.07771707,-1.10948358,0.013348886,-1.874554986,0.001221855,-2.912980407,-0.558449291,-0.46807789
"FW08AL009",1,"WADEABLE",0,0.191865079,8.01,0.062325536,-0.68250648,-0.894679379,"1 Low","Medi",-0.768448476,"Good",0.091687982,"Good",0.097329107,2.756362032,0.440336259,0.150158094,-0.823451254,0.177359999,-0.751144322,0.009662025,-2.014931835,0.337435805,-0.097557315
"FW08AL011",1,"WADEABLE",0,0.353333333,1.869,0.074965965,-0.56644835,-0.718763771,"1 Low","Good",-0.165877744,"Good",-0.039661681,"Good",-0.089867041,0.309398839,-0.509481321,0.125971597,-0.899727366,0.004354205,-2.361091122,0.001772813,-2.751337167,-0.390583529,-0.501324124
"FW08AL012",1,"BOATABLE",0.484868182,0.002178472,62.63636364,-0.02655725,-0.668480681,1.195322968,"2 Medi","Good",0.753942968,"Good",-0.05353725,"Good",0.20487184,36.49761197,1.56226445,0.007626506,-2.117674369,15.2704656,1.183852279,0.003190902,-2.49608654,-0.166913952,-0.485965306
"FW08AL012",2,"BOATABLE",0.515168182,0.002178472,63.71818182,-0.064928071,-0.771879741,1.933115682,"2 Medi","Good",1.491735682,"Good",-0.091908071,"Good",0.10147278,31.19180249,1.494040472,0.006517809,-2.185898347,10.314053,1.013429359,0.002155215,-2.66650946,-0.337336873,-0.554189283
"FW08AL013",1,"WADEABLE",0,0.850952381,2.775,-0.051387006,-0.821284597,-1.140109791,"2 Medi","Medi",-0.654752369,"Good",-0.050191089,"Good",-0.107126429,0.699864867,-0.154985807,0.207256831,-0.683491147,0.01355579,-1.867875157,0.00401439,-2.396380496,-0.036954147,-0.233254495
"FW08AL014",1,"BOATABLE",0.121218182,0.086772789,19.54545455,0.050625786,-0.56644835,-1.21715481,"2 Medi","Good",-0.29310481,"Good",-0.043408822,"Good",0.00403165,18.89692613,1.276391165,0.020480756,-1.688654011,0.165905623,-0.780138895,0.000179811,-3.745184071,-0.960720568,-0.082397901
"FW08AL015",1,"BOATABLE",0,0.042314912,38.90909091,0.020624914,-0.641718964,-0.822555523,"1 Low","Good",0.101494477,"Good",-0.049826649,"Good",-0.071238964,18.30249293,1.262510248,0.011337788,-1.945471659,2.042502589,0.310162616,0.001265263,-2.897819291,-0.099897093,-0.268715309
"FW08AL016",1,"BOATABLE",0.363654545,0.06018889,20.59090909,0.122141379,-0.127049528,0.063455825,"2 Medi","Good",-0.377924175,"Good",0.095161379,"Good",0.76586631,15.29960934,1.184680342,0.090099727,-1.045276526,2.426462073,0.384973507,0.014289487,-1.844983361,0.498109053,0.042834304
"FW08AL016",2,"BOATABLE",0.287890909,0.06018889,21.18181818,0.018738314,-0.508638306,0.04477561,"2 Medi","Good",-0.39660439,"Good",-0.008241686,"Good",0.384277532,22.13198996,1.345020464,0.130335762,-0.884936404,4.223956015,0.625719387,0.024874967,-1.604237481,0.738854933,0.203174426
"FW08AL018",1,"WADEABLE",0,0.768148148,3.17,0.18610838,-0.178963129,-0.979491154,"1 Low","Medi",-0.631800582,"Good",0.219162362,"Good",0.608434041,3.485112519,0.542216804,0.539324129,-0.26815015,0.016512878,-1.78217722,0.002555382,-2.592544174,-0.235823697,0.287756421
"FW08AL019",1,"WADEABLE",0,0.043571429,2.68,-0.160721977,-0.616511048,-0.608185207,"3 High","Good",0.229813333,"Medi",-0.19160051,"Medi",-0.224331048,0.132130294,-0.878997598,0.02869092,-1.542255524,0.007286154,-2.137501665,0.001582124,-2.800759591,-0.143815102,-0.603978074
"FW08AL020",1,"BOATABLE",0,0.046471424,23.36363636,0.102714288,-0.083067753,-0.52321563,"2 Medi","Medi",-0.96459563,"Good",0.075734288,"Good",0.90788859,17.03298068,1.231290654,0.032310745,-1.490653031,1.325139895,0.122261729,0.002513727,-2.599681956,-0.261312615,-0.218096344
"FW08AL021",1,"BOATABLE",0,0.056741932,33.27272727,0.1976251,-0.677780705,-1.622135155,"2 Medi","Good",-0.698085155,"Good",0.120016303,"Good",-0.107300705,26.68927036,1.426336701,0.015005488,-1.823749889,1.780785234,0.250611546,0.00100121,-2.999475044,-0.199220247,-0.13477476
"FW08AL022",1,"BOATABLE",0.212131818,0.063785412,17.90909091,-0.076544021,-0.508638306,-1.881489252,"2 Medi","Medi",-0.957439252,"Medi",-0.172990683,"Good",0.061841694,17.09153797,1.232781144,0.036532253,-1.43732354,4.35231305,0.638720126,0.009302838,-2.031384559,0.736739241,0.083340839
"FW08AL023",1,"BOATABLE",0.060609091,0.051732276,22.90909091,0.007728386,-1.016086822,-1.250800173,"1 Low","Good",-0.326750173,"Good",-0.077472308,"Poor",-0.445606822,27.73243113,1.442987943,0.029660237,-1.527825386,0.518630139,-0.285142249,0.000554682,-3.255955578,-0.47117252,0.080104642
