"SITE_ID","VISIT_NO","RT_WQI","CL_pt","SO4_pt","PTL_pt","NTL_pt","TURB_pt","ENTERO_PT","DO_PT","PH_PT","NUMVARN","WQII"
"FW08AL011",1,"S",7.79687988,9.962694628,1.360787172,0,10,0,10,10,8,61.4
"FW08AL009",1,"R",10,0,10,10,10,10,NA,10,7,85.71
"FW08AL004",1,"S",9.736571772,10,0.389562682,0,0,10,10,10,8,62.66
"FW08AL002",1,"T",5.679312312,8.718596607,10,8.603773585,10,10,NA,10,7,90
"FW08AL002",2,"T",6.263760961,8.581235627,10,10,10,10,10,10,8,93.56
"FW08AL008",1,"T",10,10,8.798104956,6.301886792,10,10,10,10,8,93.87
"FW08AL007",1,"S",10,10,4.282419825,10,9.95423341,0,10,10,8,80.3
"FW08AL003",1,"S",10,10,10,10,5.219512195,10,10,10,8,94.02
"FW08AL006",1,"R",10,10,0,0,5.789473684,10,10,10,8,69.74
"FW08AL001",1,"R",9.863625826,10,10,10,9.176201373,10,10,10,8,98.8
"FW08AL001",2,"R",10,10,6.372069971,10,10,10,10,10,8,95.47
"FW08AL012",1,"S",7.966285285,9.956807729,0,0,10,10,10,10,8,72.4
"FW08AL012",2,"S",7.136198799,10,0,0,0,10,10,10,8,58.92
"FW08AL013",1,"S",10,10,7.630087464,10,10,0,10,10,8,84.54
"FW08AL014",1,"S",10,6.81301765,10,5.591397849,10,10,10,10,8,90.51
"FW08AL015",1,"S",10,10,10,10,10,10,NA,10,7,100
"FW08AL016",1,"S",10,10,10,9.886792453,10,10,10,10,8,99.86
"FW08AL016",2,"S",10,10,10,10,4.462242563,10,10,10,8,93.08
"FW08AL018",1,"S",10,10,10,10,3.409610984,0,10,10,8,79.26
"FW08AL019",1,"S",10,10,10,10,0,10,0,10,8,75
"FW08AL020",1,"T",8.660847447,9.582989632,0,0,10,10,10,10,8,72.8
"FW08AL021",1,"S",10,10,10,10,10,10,10,10,8,100
"FW08AL022",1,"R",10,10,10,10,10,10,10,10,8,100
"FW08AL023",1,"R",10,4.536530349,9.121851429,10,7.865853659,10,10,10,8,89.41
"FW08AL024",1,"S",4.442652853,10,0,0,8.878718535,10,10,10,8,66.65
"FW08AL025",1,"T",10,8.013999139,10,10,10,10,10,10,8,97.52
"FW08AL026",1,"S",9.800234586,0,10,10,3.134146341,10,NA,10,7,75.62
"FW08AL027",1,"R",10,10,1.647497143,10,0,10,8.5,10,8,75.18
"FW08AL028",1,"S",8.135690691,9.956807729,0,0,10,10,10,10,8,72.62
"FW08AL029",1,"S",10,10,5.004373178,10,7.231121281,10,10,10,8,90.29
"FW08AL030",1,"R",10,10,10,10,2.585365854,10,10,10,8,90.73
"FW08AL031",1,"T",0,8.432100848,0,0,4.324942792,10,10,10,8,53.45
"FW08AL032",1,"R",10,10,10,10,10,10,10,10,8,100
"FW08AL033",1,"R",10,10,7.385189504,10,0,10,1.5,10,8,73.61
"FW08AL034",1,"R",10,10,5.934708571,0,10,NA,0,10,7,65.62
"FW08AL035",1,"S",6.809974436,0,10,10,10,10,5.5,10,8,77.89
"FW08AL036",1,"S",10,10,10,10,10,10,10,10,8,100
"FW08AL046",1,"S",10,10,4.951341108,10,0,10,10,10,8,81.19
"FW08AL047",1,"S",10,10,10,10,10,10,10,10,8,100
"FW08AL051",1,"R",10,0,10,10,10,0,NA,10,7,71.43
"FW08RAL9016",1,"S",10,10,10,10,10,0,10,10,8,87.5
"FW08RAL9025",1,"R",10,2.412406371,10,10,0,10,9.5,10,8,77.39
"FW08RAL9038",1,"S",10,10,10,10,10,0,NA,8.05,7,82.93
"FW08RAL9059",1,"S",10,10,10,10,4.817073171,10,10,10,8,93.52
"FW08RAL9066",1,"R",10,10,10,10,0,0,10,10,8,75
"FW08AR007",1,"R",9.329998799,10,9.102944606,0,0,10,10,10,8,73.04
"FW08AR006",1,"R",10,10,0,0.301886792,0,0,10,10,8,50.38
"FW08AR003",1,"S",6.483987988,10,0,0,9.016018307,10,10,10,8,69.38
"FW08AR003",2,"S",5.848717718,10,4.85148688,0,10,10,10,10,8,75.88
"FW08AR001",1,"S",7.170502256,4.366241929,6.896857143,10,9.890243902,10,10,10,8,85.4
"FW08AR001",2,"S",7.149294737,3.111485149,0,10,5.646341463,10,7.5,10,8,66.76
"FW08AR008",1,"S",10,10,10,10,10,10,10,10,8,100
"FW08AR004",1,"R",10,10,10,10,8.581235698,10,10,10,8,98.23
"FW08AR002",1,"S",10,10,0,0,0.097560976,10,0,10,8,50.12
"FW08AR002",2,"S",10,10,0,0,0,0,0,10,8,37.5
"FW08AR009",1,"S",10,10,5.746708571,8.451612903,0.134146341,0,10,10,8,67.92
"FW08AR010",1,"S",0,0,0,0,NA,10,10,NA,6,NA
"FW08AR012",1,"S",10,9.071579854,4.736137143,10,0,10,10,10,8,79.76
"FW08AR012",2,"S",10,7.592759363,6.172857143,10,0,10,10,10,8,79.71
"FW08AR013",1,"R",10,10,5.06728,1.268817204,0,0,0,10,8,45.42
"FW08AR014",1,"T",9.832045865,2.609582437,0,0.838709677,0,10,8.5,10,8,52.23
"FW08AR016",1,"R",10,10,10,10,8.85583524,10,10,10,8,98.57
"FW08AR017",1,"S",10,0,10,10,10,NA,10,10,7,85.71
"FW08AR019",1,"R",10,10,2.535714286,9.245283019,7.848970252,10,10,10,8,87.04
"FW08AR020",1,"R",10,10,10,10,9.336384439,10,10,10,8,99.17
"FW08AR022",1,"T",4.190845865,6.893680585,0,10,0,10,10,10,8,63.86
"FW08AR024",1,"S",10,10,10,10,0,10,10,10,8,87.5
"FW08AR025",1,"S",10,10,10,3.094339623,10,10,10,10,8,91.37
"FW08AR026",1,"T",9.577555639,2.098717176,0,4.88172043,0,10,10,10,8,58.2
"FW08AR027",1,"T",8.453557143,0,0,0,2.524390244,10,0,10,8,38.72
"FW08AR028",1,"S",10,9.098467499,4.303851429,10,0,10,10,10,8,79.25
"FW08AR030",1,"S",10,8.148437365,10,10,10,10,10,10,8,97.69
"FW08AR031",1,"S",9.457052853,10,10,9.962264151,8.398169336,10,10,10,8,97.27
"FW08AR032",1,"S",0,6.170550424,0,0,0,10,10,10,8,45.21
"FW08AR035",1,"R",10,10,10,10,9.405034325,10,10,10,8,99.26
"FW08AR036",1,"S",0,0,9.837714286,10,0,10,10,10,8,62.3
"FW08AR037",1,"S",10,10,0,9.548387097,0,0,10,10,8,61.94
"FW08AR041",1,"S",7.678296096,10,10,1.169811321,10,10,10,10,8,86.06
"FW08AR042",1,"T",3.92575188,6.723392165,0,10,0,10,10,10,8,63.31
"FW08AR043",1,"S",10,7.772010331,6.482285714,10,0,10,10,10,8,80.32
"FW08AR044",1,"S",3.273755556,9.823371348,0,0,0,10,10,10,8,53.87
"FW08AR052",1,"S",0,0,5.481851429,9.76344086,0,10,10,10,8,56.56
"FW08AR053",1,"S",10,6.830942746,4.044708571,10,0,10,10,10,8,76.09
"FW08AR057",1,"S",8.10180961,10,10,5.924528302,10,10,10,10,8,92.53
"FW08AR060",1,"S",0,5.611295005,0,10,1.098398169,10,10,10,8,58.39
"FW08AR067",1,"S",0,0,0,0,NA,NA,10,NA,5,NA
"FW08AR069",1,"S",9.821274474,10,0,0,0,0,10,10,8,49.78
"FW08AR070",1,"T",9.033539339,10,0,0,0,0,10,10,8,48.79
"FW08AR072",1,"S",10,0,0,0,0,10,0,10,8,37.5
"FW08AR073",1,"S",7.906993393,10,10,0,10,10,10,10,8,84.88
"FW08AR078",1,"S",0,0,0,0,NA,0,10,NA,6,NA
"FW08AR080",1,"R",10,10,10,10,10,10,10,10,8,100
"FW08AR084",1,"S",10,10,10,3.247311828,6.109756098,0,9.5,10,8,73.57
"FW08AR087",1,"S",0,0,0,0,NA,10,10,NA,6,NA
