"SITE_ID","VISIT_NO","SAMPLE_ID","dD..vsmow.","d18O..vsmow.","d.excess"
"FW08AL001","1",550851,-24.13,-4.54,12.15
"FW08AL001","1",548721,-24.72,-4.69,12.84
"FW08AL001","2",552051,-24.85,-4.83,13.81
"FW08AL002","2",552991,-21.35,-3.81,9.13
"FW08AL002","1",548431,-21.37,-4.15,11.85
"FW08AL002","1",548731,-21.13,-4.13,11.94
"FW08AL003","1",553461,-10.68,-1.77,3.44
"FW08AL004","1",552981,-22.37,-4.05,10.06
"FW08AL006","1",543271,-23.42,-4.57,13.11
"FW08AL007","1",552391,-27.7,-5.08,12.91
"FW08AL008","1",552871,-27.13,-4.74,10.76
"FW08AL009","1",550861,-20.93,-3.85,9.89
"FW08AL011","1",548711,-26.71,-4.67,10.65
"FW08AL012","2",547911,-25.08,-3.89,6.07
"FW08AL012","1",548451,-26.58,-4.58,10.05
"FW08AL012","1",548441,-26.57,-4.62,10.42
"FW08AL013","1",552481,-24.55,-4.26,9.51
"FW08AL014","1",552491,-16.86,-2.8,5.58
"FW08AL015","1",549581,-17.88,-3.22,7.87
"FW08AL016","2",549421,-20.73,-3.65,8.49
"FW08AL016","2",550751,-21.17,-3.92,10.19
"FW08AL016","1",550501,-25.94,-4.57,10.62
"FW08AL018","1",543281,-24.55,-4.78,13.69
"FW08AL019","1",550881,-17.19,-3.53,11.01
"FW08AL020","1",550521,-23.57,-4.21,10.12
"FW08AL021","1",549571,-16.97,-3.4,10.2
"FW08AL022","1",554741,-17.65,-3.16,7.6
"FW08AL023","1",555521,-15.06,-3.19,10.45
"FW08AL024","1",551111,-18.48,-3.21,7.22
"FW08AL025","1",550141,-19.09,-3.2,6.54
"FW08AL026","1",550021,-18.26,-2.98,5.61
"FW08AL027","1",555561,-8.47,-1.95,7.1
"FW08AL028","1",548461,-27.2,-4.68,10.23
"FW08AL029","1",551101,-23.65,-4.09,9.08
"FW08AL030","1",553431,-18.86,-3.03,5.37
"FW08AL031","1",547921,-19.45,-3.32,7.14
"FW08AL032","1",548741,-27.58,-4.91,11.67
