"UID","SITE_ID","VISIT_NO","OE_SCORE"
1002013,"KSRS-1288",1,0.409185953
1002014,"AZR9-0903",1,0.279837816
1002015,"AZSS-1115",1,1.263744136
1002016,"KSR9-0910",1,0.939382504
1002017,"AZLS-1055",1,1.32908917
1002018,"KSRS-1270",1,0.725868123
1002019,"KSS9-0933",1,1.350914603
1002020,"AZR9-0903",2,0.279837816
1002021,"KYRM-1006",1,0.493663102
1002022,"KSR9-0902",1,0.860671853
1002023,"KYRM-1002",1,0.538082076
1002024,"GAS9-0921",1,0.600774125
1002025,"GAS9-0915",1,0.419024904
1002026,"PARM-1005",1,0.519596583
1002027,"OHRM-1002",1,0.30537884
1002028,"PARM-1001",1,0.427861145
1002029,"NJS9-0908",1,0.347799868
1002030,"CARM-1007",1,0.225447522
1002031,"AZR9-0902",1,0.735991287
1002032,"AZR9-0901",1,0.763844541
1002033,"CARM-1003",1,0.19523375
1002034,"NJRO-1019",1,0.308842648
1002035,"TXR9-0907",1,0.788006314
1002036,"GAS9-0916",1,0.93840983
1002037,"NES9-0934",1,0.350016091
1002038,"KSRS-1261",1,0.551612043
1002039,"KSRS-1277",1,0.955162647
1002040,"OKR9-0901",1,0.521339129
1002041,"PALS-1091",1,1.213144964
1002042,"NJLS-1043",1,0.685182851
1002043,"DELS-1036",1,1.054678067
1002044,"NES9-0923",1,0.482708595
1002045,"NES9-0930",1,0.454701286
1002046,"WVRF-0001",1,1.001752253
1002047,"OKS9-0935",1,0.796008191
1002048,"PAS9-0918",1,0.913427456
1002049,"MDS9-0914",1,1.023270872
1002050,"NJR9-0901",1,0.661073246
1002051,"TXS9-0926",1,0.637870198
1002052,"NJSS-1082",1,0.506655426
1002053,"NJRO-1020",1,0.211434138
1002054,"MNSS-1171",1,1.063484175
1002056,"PAS9-0923",1,0.859302279
1002057,"NJS9-0909",1,0.397556362
1002058,"NER9-0904",1,0.101868389
1002059,"AZRM-1002",1,0.253408979
1002060,"MDRM-1003",1,0.63810124
1002061,"NVRM-1001",1,0.673146736
1002062,"OKR9-0909",1,1.171862349
1002063,"OKS9-0931",1,0.653995693
1002064,"NELS-1074",1,0.978177993
1002065,"PALS-1090",1,1.230014179
1002066,"KSRS-1340",1,0.612716113
1002067,"NDSS-1103",1,0.63031576
1002068,"TXSS-1216",1,0.94297497
1002069,"TXS9-0928",1,1.119607026
1002070,"KSR9-0906",1,1.405491771
1002071,"WIRF-0011",1,0.716812963
1002072,"PAS9-0922",1,1.074700044
1002073,"MNS9-0933",1,1.040887761
1002074,"NJR9-0902",1,0.457850542
1002075,"OKRO-1089",1,0.381715899
