"SITE_ID","VISIT_NO","AMMONIA_N_RESULT","AMMONIA_N_RESULT_UNITS","ANC_RESULT","ANC_RESULT_UNITS","CALCIUM_RESULT","CALCIUM_RESULT_UNITS","CHLORIDE_RESULT","CHLORIDE_RESULT_UNITS","COLOR_RESULT","COLOR_RESULT_UNITS","COND_RESULT","COND_RESULT_UNITS","DOC_RESULT","DOC_RESULT_UNITS","MAGNESIUM_RESULT","MAGNESIUM_RESULT_UNITS","NITRATE_N_RESULT","NITRATE_N_RESULT_UNITS","NITRATE_NITRITE_N_RESULT","NITRATE_NITRITE_N_RESULT_UNITS","NITRITE_N_RESULT","NITRITE_N_RESULT_UNITS","NTL_RESULT","NTL_RESULT_UNITS","PH_RESULT","PH_RESULT_UNITS","POTASSIUM_RESULT","POTASSIUM_RESULT_UNITS","PTL_RESULT","PTL_RESULT_UNITS","SILICA_RESULT","SILICA_RESULT_UNITS","SODIUM_RESULT","SODIUM_RESULT_UNITS","SULFATE_RESULT","SULFATE_RESULT_UNITS","TSS_RESULT","TSS_RESULT_UNITS","TURB_RESULT","TURB_RESULT_UNITS"
"KSRS-1288",1,0.011,"MG N/L",4822.28,"UEQ/L",114.8,"MG/L",169.008,"MG/L",12,"APHA PT-CO",1158,"US/CM AT 25 C",4.56,"MG/L",20.33,"MG/L",0,"MG N/L",NA,"",0,"MG N/L",0.35,"MG/L",7.88,"STD. UNITS",3.664,"MG/L",59,"UG/L",8.977,"MG/L",114.3,"MG/L",105.096,"MG/L",6.5,"MG/L",3.5,"NTU"
"AZR9-0903",1,10.209,"MG N/L",3629.06,"UEQ/L",70.04,"MG/L",154.27,"MG/L",30,"APHA PT-CO",1218,"US/CM AT 25 C",6.71,"MG/L",10.59,"MG/L",6.069,"MG N/L",NA,"",0.31,"MG N/L",20.225,"MG/L",7.86,"STD. UNITS",19.61,"MG/L",3269,"UG/L",36.988,"MG/L",153.4,"MG/L",151.101,"MG/L",17.2,"MG/L",5.7,"NTU"
"AZSS-1115",1,0.014,"MG N/L",1571.94,"UEQ/L",28.3,"MG/L",1.336,"MG/L",0,"APHA PT-CO",192.2,"US/CM AT 25 C",1.26,"MG/L",6.822,"MG/L",0.021,"MG N/L",NA,"",0,"MG N/L",0.086,"MG/L",7.84,"STD. UNITS",0.579,"MG/L",18,"UG/L",6.979,"MG/L",2.13,"MG/L",19.442,"MG/L",0.6,"MG/L",1.16,"NTU"
"KSR9-0910",1,0.008,"MG N/L",4437.6,"UEQ/L",81.49,"MG/L",83.541,"MG/L",24,"APHA PT-CO",865,"US/CM AT 25 C",5.73,"MG/L",16.92,"MG/L",0.304,"MG N/L",NA,"",0,"MG N/L",1.475,"MG/L",8.33,"STD. UNITS",11.94,"MG/L",311,"UG/L",16.819,"MG/L",85.55,"MG/L",106.315,"MG/L",49.4,"MG/L",28.78,"NTU"
"AZLS-1055",1,0.008,"MG N/L",5889.98,"UEQ/L",74.38,"MG/L",5.156,"MG/L",0,"APHA PT-CO",529,"US/CM AT 25 C",0.75,"MG/L",28.52,"MG/L",0.039,"MG N/L",NA,"",0,"MG N/L",0.123,"MG/L",8,"STD. UNITS",1.16,"MG/L",32,"UG/L",15.768,"MG/L",5.32,"MG/L",4.139,"MG/L",0.8,"MG/L",0.01,"NTU"
"KSRS-1270",1,0.005,"MG N/L",3929.21,"UEQ/L",76.17,"MG/L",13.49,"MG/L",15,"APHA PT-CO",416,"US/CM AT 25 C",2.87,"MG/L",5.313,"MG/L",0,"MG N/L",NA,"",0,"MG N/L",0.309,"MG/L",8.23,"STD. UNITS",1.424,"MG/L",28,"UG/L",4.135,"MG/L",10.63,"MG/L",19.652,"MG/L",3.8,"MG/L",2.7,"NTU"
"KSS9-0933",1,0.014,"MG N/L",4171.87,"UEQ/L",74,"MG/L",101.765,"MG/L",22,"APHA PT-CO",756,"US/CM AT 25 C",6.98,"MG/L",16.72,"MG/L",0.003,"MG N/L",NA,"",0,"MG N/L",0.625,"MG/L",8.05,"STD. UNITS",3.281,"MG/L",66,"UG/L",8.268,"MG/L",67.29,"MG/L",27.622,"MG/L",9.8,"MG/L",7.79,"NTU"
"AZR9-0903",2,12.084,"MG N/L",3584.08,"UEQ/L",71.56,"MG/L",150.009,"MG/L",27,"APHA PT-CO",1193,"US/CM AT 25 C",6.35,"MG/L",11.42,"MG/L",5.564,"MG N/L",NA,"",0.307,"MG N/L",18.2,"MG/L",7.8,"STD. UNITS",20.44,"MG/L",4441,"UG/L",52.19,"MG/L",148.1,"MG/L",146.246,"MG/L",23.4,"MG/L",4.9,"NTU"
"KYRM-1006",1,0.036,"MG N/L",1994.72,"UEQ/L",42.79,"MG/L",7.696,"MG/L",14,"APHA PT-CO",315,"US/CM AT 25 C",1.95,"MG/L",10.11,"MG/L",0.789,"MG N/L",NA,"",0.001,"MG N/L",0.985,"MG/L",7.9,"STD. UNITS",2.118,"MG/L",104,"UG/L",5.817,"MG/L",8.15,"MG/L",47.61,"MG/L",6.7,"MG/L",6.74,"NTU"
"KSR9-0902",1,0.01,"MG N/L",3296.8,"UEQ/L",65.12,"MG/L",577.533,"MG/L",26,"APHA PT-CO",2360,"US/CM AT 25 C",3.85,"MG/L",19.51,"MG/L",0.024,"MG N/L",NA,"",0,"MG N/L",0.624,"MG/L",8.11,"STD. UNITS",6.54,"MG/L",65,"UG/L",0.669,"MG/L",415.4,"MG/L",120.393,"MG/L",19.6,"MG/L",4.49,"NTU"
