SITE_ID,VISIT_NO,PROTOCOL,XDEPTH_CM,SDDEPTH_CM,XWIDTH,XWXD,RP100,RPGT50,XBKF_W,XBKF_H,XINC_H,SINU,XSLOPE,REACHLEN,LSUB_DMM,XEMBED,PCT_FN,PCT_SA,PCT_SAFN,PCT_SFGF,LDCBF_G08,LDMB_BW5,LRBS_BW5,LRBS_G08,RB3,REYP3,RRPW3,PCT_FAST,PCT_POOL,PCT_SLOW,RPMXDEP_CM,RPRAT,RPXDEP_CM,PCT_BDRK,XFC_ALG,XFC_AQM,XFC_LWD,XFC_BRS,XFC_OHV,XFC_BIG,XFC_NAT,XFC_UCB,V1W_MSQ,XCDENBK,XCDENMID,XGB,XGW,XMW,XC,XCS,XCL,XCM,XCMGW,XPCAN,XPCM,XPCMG,QR1,QRVEG1,RDIST1,W1_HALL,W1H_WALL,W1H_LOG,W1_HNOAG,W1_HAG
KSRS-1288,1,WADEABLE,22.32,10.08737585,5.55,1.2426,9.174077475,0,9.209090909,1.008181818,2.103636364,1.093300286,0.270277778,198,-1.568331954,91.90909091,84.76190476,1.904761905,86.66666667,88.57142857,1.420907433,1.32358923,-2.891921184,-2.989239387,0.800398182,3.858283875,0.466983981,9,12,91,27.74916667,0.411024976,11.49662873,0.952380952,0.063636364,0.115909091,0,0.081818182,0.081818182,0.061363636,0.265909091,0.004545455,8.91192e-4,64.70588235,40.64171123,0.5125,0.047727273,0.373863636,0.3125,0.1875,0.125,0.688636364,0.734090909,0.954545455,0.909090909,0.909090909,0.482996851,0.430340909,0.616282862,1.606086364,0.212122727,0,1.606086364,0
AZR9-0903,1,WADEABLE,31.22,9.383609178,10.45263158,2.875684211,7.399657828,0,16.04545455,0.727272727,2.855555556,2.564849153,0.309895833,475.2,-0.199008468,98.18181818,3.80952381,74.28571429,78.0952381,95.23809524,1.624073378,1.311647858,-1.510656326,-1.823081846,0.675657273,88.84449931,0.370378666,11,0,89,48.31275,0.237016586,9.639027961,0,0.031818182,0.040909091,0,0.018181818,0.125,0.027272727,0.206818182,0.027272727,0,37.1657754,9.35828877,0.834090909,0.070454545,0.113636364,0.047727273,0.036363636,0.011363636,0.179545455,0.231818182,0.409090909,0.409090909,0.363636364,0.285793321,0.204318182,0.737053469,2.803054545,0,0,1.5076,1.295454545
AZSS-1115,1,WADEABLE,31.15841584,15.49563337,4.735,1.47705,8.251467778,1,9.736363636,0.659090909,1.963636364,1.11779181,4.249074074,240,1.953264723,20.72727273,0.952380952,1.904761905,2.857142857,18.0952381,2.616388174,2.405716336,-0.452451613,-0.663123451,0.630938794,45141.23179,0.472408889,39,10,61,88.48766667,0.264823084,12.8929184,0,0.022727273,0.022727273,0,0.077272727,0.027272727,0.127272727,0.291818182,0.022727273,0.006858738,98.93048128,92.9144385,0.264772727,0.197727273,0.425,0.555681818,0.323863636,0.231818182,0.994318182,1.178409091,0.954545455,0.954545455,0.954545455,0.78861819,0.630284091,0.214285714,0.272727273,0,0,0.272727273,0
KSR9-0910,1,WADEABLE,51.99,18.80548759,44.975,25.518,12.02704215,2,54.27272727,1.454545455,2.090909091,1.173054082,0.04769392,2098.8,-0.889543276,100,26,74,100,100,1.128620612,0.781331257,-1.670874534,-2.018163888,1.283389545,9.795698262,1.079564481,0,6.666666667,100,84.01611111,0.231333759,16.3106462,0,0,0,0.05,0.118181818,0.013636364,0.05,0.2,0,0.002074875,42.51336898,0.802139037,0.192045455,0.119318182,0.360227273,0.190909091,0.134090909,0.056818182,0.576136364,0.670454545,0.636363636,0.590909091,0.590909091,0.511700652,0.401704545,0.308908484,0.446986364,0.113636364,0,0.20455,0.242436364
AZLS-1055,1,WADEABLE,37.79,14.37892327,9.195,3.3727,12.78878454,0,24.27692308,1.023846154,1.363333333,1.260360184,1.106481481,237.6,1.043095829,50.84745763,8.256880734,22.93577982,31.19266055,34.86238532,2.173902869,1.984440111,-0.941344282,-1.13080704,0.911135,3404.29498,0.604052006,7.777777778,2.222222222,92.22222222,41.48111111,0.338417162,15.2540924,0,0.484615385,0.080769231,0.003846154,0.030769231,0.123076923,0.003846154,0.211538462,0,4.62883e-4,96.3800905,66.94117647,0.147115385,0.345192308,0.607692308,0.430769231,0.354807692,0.075961538,1.090384615,1.383653846,0.961538462,0.961538462,0.961538462,0.855798995,0.722644231,0.103448276,0.115384615,0,0,0.115384615,0
KSRS-1270,1,WADEABLE,60.53,25.14983583,13.85,8.86625,26.92900336,3,16.14545455,0.690909091,1.681818182,1.079010078,0.122106481,475.2,0.308196528,52.27272727,33.33333333,0,33.33333333,35.23809524,1.05440106,0.933240048,-0.62504352,-0.746204532,0.842535909,200.2294767,0.290780647,16,0,84,89.77472222,0.444886889,30.29512878,0,0.225,0.027272727,0.036363636,0.077272727,0.040909091,0.054545455,0.186363636,0,8.56977e-4,88.77005348,65.50802139,0.154545455,0.034090909,0.128409091,0.4625,0.242045455,0.220454545,0.713636364,0.625,0.909090909,0.909090909,0.909090909,0.567132827,0.38125,0.467746657,0.878804545,0.136363636,0,0.696977273,0.181827273
KSS9-0933,1,WADEABLE,72.89,47.37469277,20.55777778,19.39448889,48.28135633,5,18.54545455,0.86,2.254545455,1.269215216,0.198611111,673.2,0.161042707,50,45.71428571,0,45.71428571,47.61904762,1.290530636,1.171435482,-1.010392775,-1.129487929,1.032785,201.4732324,0.308277912,10,68,90,184.0264705,0.66238656,56.23357973,4.761904762,0.165909091,0.036363636,0.084090909,0.054545455,0.045454545,0.097727273,0.202272727,0.004545455,0.00764794,86.89839572,66.44385027,0.210714286,0.063636364,0.161363636,0.609722222,0.315277778,0.294444444,0.6625,0.723863636,1,1,1,0.561505047,0.425738636,0.528580857,1.121254545,0.060609091,0,0.848513636,0.272740909
AZR9-0903,2,WADEABLE,38.98,8.36295342,10.115,3.75995,8.89973484,0,27.72727273,0.774545455,2.936363636,1.044273953,0.002521368,514.8,-0.081505119,84.54545455,10.47619048,55.23809524,65.71428571,85.71428571,-0.542216161,-0.731497667,0.649992548,0.460711042,0.756824545,11.11676637,0.422719559,18,0,82,32.3545,0.228315414,10.61534638,0,0.040909091,0.045454545,0.004545455,0.009090909,0.079545455,0.186363636,0.343181818,0.181818182,4.62169e-4,37.96791444,7.352941176,0.443181818,0.092045455,0.082954545,0.069318182,0.067045455,0.002272727,0.213636364,0.244318182,0.681818182,0.681818182,0.681818182,0.319589454,0.209943182,0.648004506,1.840945455,0,0,0.825777273,1.015168182
KYRM-1006,1,BOATABLE,678.0909091,137.5439576,84.45454545,570.34,142.9404775,3,89.45454545,2.590909091,4.154545455,NA,0.011548522,3421.532675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.091681818,NA,NA,0,100,100,407.3202522,21.07983983,151.0643698,NA,0.018181818,0.054545455,0.009090909,0.068181818,0.068181818,0.013636364,0.172727273,0,NA,72.19251337,NA,0.397727273,0.122727273,0.331818182,0.940909091,0.579545455,0.361363636,1.35,1.395454545,1,1,1,0.772953439,0.727954545,0.153846154,0.181818182,0,0,0.181818182,0
KSR9-0902,1,WADEABLE,38.33,13.48403845,61.75,26.3585,8.980061728,1,95.68181818,1.381818182,2.527272727,1.115732667,0.079206349,1386,-1.03463415,98.90909091,36.19047619,61.9047619,98.0952381,100,1.306072371,0.95838426,-1.993018411,-2.340706521,1.147326818,8.545890747,1.010718249,0,0,100,75.04277778,0.234282852,13.26904643,0,0.068181818,0.1,0.045,0.085,0.036363636,0.058636364,0.184545455,0.004545455,3.15198e-4,47.59358289,1.470588235,0.209090909,0.031818182,0.445454545,0.325,0.125,0.2,0.813636364,0.802272727,0.772727273,0.772727273,0.772727273,0.486827732,0.461022727,0.526316502,1.111114286,0.142857143,0,1.111114286,0
