"SITE_ID","VISIT_NO","SAMPLE_ID","Chem_Lab_ID","H2O_dD","H2O_d18O","d.excess"
"ALR9-0901","1",721560,"1310511",-23.8,-4.36,11.07
"ALR9-0901","2",729780,"1310846",-26.88,-4.81,11.63
"ALR9-0904","1",712600,"1310127",-22.69,-4.29,11.64
"ALRF-0001","1",721480,"1310413",-30.39,-5.02,9.74
"ALRF-0002","1",729860,"1310851",-23.7,-4.65,13.52
"ALRF-0003","1",712560,"1310189",-27.19,-4.96,12.5
"ALRF-0004","1",721540,"1310504",-19.39,-3.95,12.25
"ALRM-1001","1",709340,"1310468",-20.98,-3.79,9.37
"ALRM-1002","1",709280,"1310489",-26.57,-4.41,8.73
"ALRM-1003","1",712580,"1310176",-22.04,-4.18,11.37
"ALRO-1021","1",709240,"1310428",-22.99,-4.12,9.95
"ALS9-0916","1",713860,"1310118",-19.81,-4,12.2
"ALS9-0916","2",721500,"1310401",-20.93,-3.83,9.74
"ALS9-0918","1",713820,"1310102",-23.63,-4.81,14.83
"ALS9-0919","1",713880,"1310157",-20.61,-4.28,13.64
"ALS9-0920","1",729820,"1310859",-8.34,-1.35,2.47
"ALS9-0921","1",729760,"1310877",-20.21,-3.76,9.9
"ALS9-0922","1",713900,"1310179",-24.24,-4.36,10.63
"ALS9-0923","1",721520,"1310419",-23.69,-4.73,14.14
"ALSS-1063","1",713800,"1310092",-19.31,-3.33,7.37
"ALSS-1064","1",713840,"1310096",-21.77,-3.96,9.89
"ALSS-1065","1",721460,"1310385",-24.42,-4.46,11.29
"ALSS-1066","1",729840,"1310873",-20.16,-4.25,13.8
"ARLS-1045","1",714740,"",-14.87,-2.75,7.15
"ARLS-1046","1",720300,"",-15.66,-2.91,7.61
"ARLS-1047","1",713700,"",-27.58,-5.14,13.57
"ARLS-1048","1",726220,"",-24.42,-4.24,9.52
"ARR9-0901","1",717960,"",-40.43,-6.12,8.52
"ARR9-0901","2",731080,"",-45.6,-6.55,6.77
"ARR9-0902","1",731840,"",-25.41,-4.31,9.04
"ARR9-0903","1",731860,"",-22.12,-3.74,7.84
"ARR9-0904","1",713660,"",-23.82,-3.94,7.66
"ARR9-0905","1",712640,"",-18.8,-2.87,4.16
"ARR9-0906","1",712660,"",-22.34,-3.43,5.06
"ARR9-0907","1",731100,"",-28.05,-4.57,8.48
"ARR9-0908","1",725680,"",-15.3,-2.51,4.79
"ARR9-0909","1",724980,"",-20.29,-3.6,8.51
"ARRM-1001","1",724900,"",-40.21,-5.94,7.28
"ARRM-1002","1",725000,"",-35.7,-4.51,0.41
"ARRM-1003","1",725020,"",-15.33,-2.29,2.98
"ARRM-1004","1",712700,"",-19.38,-3.01,4.73
"ARRM-1005","1",724940,"",-38.82,-5.53,5.39
"ARRO-1021","1",712680,"",-25.42,-4.2,8.16
"ARRO-1022","1",724960,"",-23.93,-3.98,7.87
"ARRO-1023","1",731960,"",-76.38,-10.38,6.64
"ARRO-1024","1",712620,"",-15.27,-1.44,-3.72
"ARS9-0944","1",720320,"",-18.35,-3.37,8.57
"ARS9-0945","1",726200,"",-22.04,-3.62,6.9
"ARS9-0945","2",731180,"",-21.21,-3.1,3.56
"ARS9-0946","1",713780,"",-26.83,-4.45,8.77
"ARS9-0949","1",720280,"",-26.04,-4.58,10.57
"ARS9-0950","1",720380,"",-21.22,-3.67,8.16
"ARSS-1090","1",720260,"",-27.94,-4.85,10.9
"ARSS-1091","1",731900,"",-58.24,-7.96,5.44
"AZLS-1055","1",703480,"1310005",-82.32,-11.61,10.6
"AZR9-0901","1",703880,"1310017",-111.62,-14.3,2.75
"AZR9-0902","1",703940,"1310018",-112.21,-14.34,2.49
"AZR9-0903","1",703440,"1310003",-66.69,-8.7,2.95
"AZR9-0903","2",704160,"1310008",-68.03,-8.97,3.74
"AZRM-1002","1",703920,"1310045",-110.51,-14.24,3.43
"AZRM-1003","1",717220,"1310389",-70.28,-9.49,5.64
"AZRM-1004","1",729900,"1310891",-65.42,-8.99,6.5
"AZS9-0929","1",704180,"1310247",-69.56,-9.48,6.25
"AZSS-1106","1",704140,"1310241",-70.96,-9.98,8.9
"AZSS-1115","1",703500,"1310004",-80.25,-11.75,13.75
"CAR9-0902","1",705860,"",-50.63,-7.17,6.76
"CAR9-0903","1",722000,"",-51.83,-7.47,7.95
"CAR9-0903","2",722060,"",-48.98,-6.67,4.37
"CAR9-0904","1",705280,"",-76.79,-10.78,9.47
"CAR9-0909","1",722100,"",-84.82,-11.37,6.16
"CAR9-0912","1",705260,"",-78.6,-11.15,10.6
"CARM-1003","1",705560,"",-77.12,-10.03,3.14
"CARM-1007","1",705240,"",-75.2,-10.43,8.24
"CARM-1010","1",705200,"",-82.66,-11.69,10.84
"CARM-1011","1",705220,"",-83.31,-11.75,10.72
"CAS9-0914","1",718240,"",-69.93,-9.6,6.84
"CAS9-0914","2",718280,"",-55.06,-5.07,-14.52
"CAS9-0915","1",718360,"",-84.38,-12.17,12.95
"CAS9-0916","1",718300,"",-71.45,-10.42,11.89
"CAS9-0916","2",723500,"",-70.65,-10.19,10.83
"CAS9-0917","1",723560,"",-80.33,-11.57,12.27
"CAS9-0918","1",723480,"",-84.86,-12.27,13.27
"CAS9-0919","1",723540,"",-120.83,-16.4,10.4
"CAS9-0920","1",718340,"",-43.28,-6.64,9.82
"CAS9-0921","1",718260,"",-89.34,-12.59,11.39
"CAS9-0924","1",705820,"",-113.61,-14.82,4.94
"CAS9-0925","1",705840,"",-30.26,-4.13,2.76
"CAS9-0926","1",718320,"",-47.03,-7.52,13.17
"CAS9-0927","1",723520,"",-86.9,-12.57,13.65
"CAS9-0929","1",718220,"",-41.85,-6.19,7.66
"CAS9-0930","1",718380,"",-69.14,-10.24,12.76
"COLS-1060","1",711820,"1310168",-110.42,-14.89,8.68
"COLS-1064","1",712420,"1310143",-124.34,-17.02,11.82
"COLS-1065","1",719620,"1310862",-85.6,-11.72,8.16
"COLS-1068","1",720620,"1310901",-103.54,-14.31,10.92
"COR9-0901","1",712280,"1310173",-91.91,-10.09,-11.22
"COR9-0903","1",708600,"1310062",-57.43,-5.68,-11.95
"COR9-0905","1",732580,"1310857",-93.67,-12.72,8.1
"COR9-0908","1",723080,"1310799",-122.19,-16.39,8.94
"COR9-0908","2",720660,"1310912",-118.88,-16.05,9.54
"CORF-0001","1",707460,"1310531",-122.71,-16.75,11.3
"CORM-1002","1",723060,"1310881",-117.81,-16.05,10.56
"CORM-1003","1",732520,"1310858",-83.26,-12,12.74
"COS9-0920","1",712500,"1310123",-121.66,-16.64,11.45
"COS9-0920","2",712480,"1310337",-116.93,-15.92,10.45
"COS9-0921","1",712380,"1310198",-137.44,-18.6,11.34
"COS9-0921","R",711860,"1310334",-125.26,-16.81,9.23
"COS9-0922","1",711920,"1310107",-103.94,-14.39,11.2
"COS9-0923","1",719560,"1310205",-113.94,-14.84,4.76
"COS9-0924","1",708560,"1310080",-129.23,-17.43,10.22
"COS9-0925","1",708660,"1310083",-93.19,-12.33,5.48
"COS9-0926","1",708540,"1310061",-52.35,-5.9,-5.17
"COS9-0928","1",711000,"1310164",-105.9,-13.18,-0.49
"COS9-0929","1",712520,"1310066",-116.68,-15.53,7.54
"COS9-0931","1",732560,"1310880",-115.14,-15.87,11.83
"COS9-0932","1",711840,"1310248",-124.45,-16.24,5.51
"COS9-0934","1",708580,"1310047",-106.21,-14.29,8.09
"COS9-0937","1",712320,"1310330",-129.21,-17.37,9.78
"COS9-0938","1",712340,"1310315",-129.28,-17.44,10.25
"COSS-1097","1",708620,"1310425",-88.6,-10.73,-2.76
"COSS-1099","1",712300,"1310261",-131.38,-17.44,8.11
"COSS-1109","1",732640,"1310885",-129.67,-17.38,9.33
"CTS9-0916","1",710760,"1310530",-49.17,-7.84,13.52
"CTS9-0916","2",710680,"1310642",-48.21,-7.89,14.92
"CTS9-0917","1",710740,"1310226",-54.78,-8.06,9.72
"CTS9-0921","1",710780,"1310284",-51.58,-7.99,12.33
"CTS9-0921","2",710800,"1310440",-50.95,-7.91,12.31
"CTSS-1077","1",710720,"1310075",-55.91,-8.37,11.07
"CTSS-1079","1",710840,"1310719",-47.21,-7.28,11.07
"CTSS-1080","1",711060,"1310744",-46.09,-7.29,12.19
"DELS-1036","1",704040,"1310029",-37.06,-6.17,12.28
"DER9-0903","1",708220,"1310269",-44.46,-7.07,12.09
"DER9-0903","2",719220,"1310586",-35.75,-6.39,15.41
"DERO-1001","1",706080,"1310313",-39.52,-6.4,11.72
"DERO-1002","1",708160,"1310721",-35.23,-6.12,13.76
"DERO-1005","1",706060,"1310595",-36.95,-6.34,13.79
"DES9-0908","1",707060,"1310640",-39.95,-6.92,15.43
"DES9-0912","1",704120,"1310240",-48.82,-7.49,11.14
"DES9-0912","2",704540,"1310427",-36.77,-6.26,13.33
"DESS-1081","1",704080,"1310186",-36.55,-6.03,11.65
"DESS-1085","1",704060,"1310117",-47.2,-7.17,10.14
"DESS-1090","1",719200,"1310624",-34.51,-5.58,10.16
"GALS-1051","1",730640,"1310753",-20.16,-3.89,10.96
"GALS-1055","1",703200,"1310737",-19.42,-3.42,7.97
"GAS9-0914","1",722280,"1310438",-23.43,-4.05,8.96
"GAS9-0914","2",722800,"1310700",-21.45,-3.94,10.09
"GAS9-0915","1",704940,"1310013",-27.68,-5.29,14.62
"GAS9-0916","1",711220,"1310027",-17.41,-3.24,8.53
"GAS9-0917","1",716480,"1310249",-22.78,-4.15,10.43
"GAS9-0919","1",711260,"1310094",-26.17,-4.84,12.55
"GAS9-0921","1",704920,"1310011",-24.55,-4.64,12.55
"GAS9-0922","1",711240,"1310070",-23.11,-4.24,10.81
"GAS9-0924","1",716800,"1310263",-25.4,-4.75,12.61
"GAS9-0925","1",722820,"1310514",-18.93,-3.62,9.99
"GAS9-0925","2",728560,"1310707",-19.13,-4.02,13.02
"GASS-1077","1",736160,"1310920",-29.73,-5.29,12.61
"GASS-1079","1",730660,"1310832",-23.99,-4.29,10.34
"GASS-1081","1",732180,"1310840",-25.07,-4.92,14.28
"GASS-1082","1",736140,"1310921",-24.85,-4.49,11.11
"HIKS13-001","1",726740,"1310708",-9.32,-3.22,16.47
