UID,SITE_ID,VISIT_NO,OE_SCORE
2014737,NRS18_OK_10062,1,0.531965216
2012488,NRS18_OK_10431,1,1.081364842
2012489,NRS18_OK_10025,1,1.303173617
2012490,NRS18_WI_10091,1,0.55463498
2012491,NRS18_WI_10006,1,1.190038091
2012492,NRS18_OK_10001,2,1.045063914
2012493,NRS18_OK_11085,1,1.003776994
2012494,NRS18_WI_10053,1,1.203661836
2012495,NRS18_OK_10053,1,0.635051912
2012496,NRS18_OK_10050,2,0.50649354
2012497,NRS18_WI_10036,1,1.507703919
2012498,NRS18_WI_10038,1,1.347873792
2012499,NRS18_WI_10019,1,0.971414653
2012500,NRS18_NC_10014,1,0.96126567
2012501,NRS18_OK_10023,1,0.979133293
2012502,NRS18_OK_10029,1,0.558513002
2012503,NRS18_OK_10018,1,0.904477312
2012504,NRS18_OK_10022,2,0.905092914
2012506,NRS18_OK_10003,1,0.829096524
2012507,NRS18_OK_10830,1,1.237793613
2012508,NRS18_OK_10034,1,0.896638104
2012510,NRS18_OK_11422,1,0.644915397
2012511,NRS18_OK_10340,1,0.714319964
2012512,NRS18_KS_10098,1,0.152836134
2012513,NRS18_KS_10086,1,1.125972109
2012514,NRS18_OH_10050,1,1.253772072
2012515,NRS18_KS_10103,1,1.584366087
2012516,NRS18_OH_10023,1,0.609520094
2012517,NRS18_KY_10006,1,0.339483514
2012518,NRS18_TX_10016,1,0.105279293
2012519,NRS18_OH_10014,1,0.749725221
2012520,NRS18_KS_10100,1,1.167491898
2012521,NRS18_MI_10033,1,0.997706247
2012522,NRS18_PA_10004,1,1.122726849
2012523,NRS18_IL_10363,1,0.650583888
2012524,NRS18_GA_10003,1,0.864169878
2012525,NRS18_OH_10029,1,1.145396452
2012526,NRS18_KS_10043,1,1.004684314
2012527,NRS18_WV_10010,1,1.133561758
2012528,NRS18_OK_10001,1,0.676217827
2012529,NRS18_VT_10034,1,0.884060754
2012530,NRS18_OK_10002,1,0.958627896
2012531,NRS18_VT_10011,1,0.854562099
2012532,NRS18_OK_10045,1,0.860392862
2012533,NRS18_CA_10048,1,0.910297495
2012534,NRS18_WI_10030,1,0.60274083
2012535,NRS18_SD_10038,1,0.971736633
2012536,NRS18_TX_10055,1,1.193243416
2012537,NRS18_MI_10056,1,1.050658035
2012538,NRS18_PA_10021,1,0.978422938
2012539,NRS18_CA_10011,1,1.111106621
2012540,NRS18_GA_10001,1,0.782830193
2012541,NRS18_WV_10031,1,0.683123619
2012542,NRS18_TN_10006,1,0.416771862
2012543,NRS18_OH_10033,1,1.038244312
2012544,NRS18_IL_10054,1,1.014784312
2012545,NRS18_LA_10002,1,0.620316833
2012546,NRS18_TN_10026,1,0.33341749
2012547,NRS18_NY_10010,1,0.94983536
2012548,NRS18_WV_10015,1,0.918430974
2012549,NRS18_OH_10012,1,0.951324964
2012550,NRS18_IL_10003,1,0.582067732
2012551,NRS18_LA_10010,1,0.414482694
2012552,NRS18_TN_10001,1,1.069967166
2012553,NRS18_IL_10001,1,1.489374049
2012554,NRS18_LA_10021,1,0.363212964
2012555,NRS18_LA_10013,1,0.560267653
2012556,NRS18_MI_10381,1,0.48307721
2012557,NRS18_CA_10035,1,0.432893766
2012558,NRS18_TN_10009,1,0.974454788
2012559,NRS18_LA_10001,1,0.694792628
2012560,NRS18_KS_10126,1,0.885843196
2012561,NRS18_IL_10013,1,0.865472128
2012562,NRS18_OK_10050,1,0.379870155
2012563,NRS18_IL_10030,1,0.710387887
2012564,NRS18_LA_10012,1,0.543554603
2012565,NRS18_NV_10012,1,1.29262692
2012566,NRS18_NY_10025,1,0.768331741
2012567,NRS18_TX_10009,1,0.748014152
2012568,NRS18_ND_10015,1,1.340506958
2012569,NRS18_MI_10010,1,1.13587226
2012570,NRS18_CA_10032,1,0.592262898
2012571,NRS18_WV_10012,1,0.511777858
2012572,NRS18_OH_10030,1,0.421434503
2012573,NRS18_LA_10014,1,0.976592716
2012574,NRS18_MN_RF001,1,1.123455429
2012575,NRS18_OK_10051,1,0.634093683
2012576,NRS18_UT_10003,1,0.776211979
2012577,NRS18_LA_10022,1,0.414770612
2012578,NRS18_OH_10005,1,0.794589134
2012579,NRS18_CA_10031,1,0.749829878
2012580,NRS18_TX_10081,1,0.376948407
2012581,NRS18_VT_10006,1,0.788809626
2012582,NRS18_CA_10033,1,0.296015963
2012584,NRS18_NE_10035,1,0.918134007
2012585,NRS18_MI_10081,1,1.245750553
2012586,NRS18_UT_10005,1,0.401234011
2012587,NRS18_NV_10016,1,1.029547167
2012588,NRS18_TN_10004,1,0.628249159
2012589,NRS18_TN_10024,1,0.154214167
2012590,NRS18_WV_10016,1,0.709307175
2012591,NRS18_WI_10001,1,0.914486481
2012592,NRS18_LA_10016,1,0.103551582
2012593,NRS18_OH_10001,1,0.587302452
2012594,NRS18_IL_10366,1,0.921579787
2012595,NRS18_VT_10335,1,0.970828076
2012596,NRS18_NY_10009,1,0.254890638
2012597,NRS18_CA_10088,1,0.759462675
2012598,NRS18_NE_10044,1,1.040116873
2012599,NRS18_ND_10010,1,1.590163717
2012600,NRS18_CA_10054,1,0.312482972
2012601,NRS18_MI_10015,1,0.667822346
2012602,NRS18_TN_10010,1,0.334199587
2012603,NRS18_WV_10003,1,1.061494905
2012604,NRS18_NV_10002,1,0.675599846
2012605,NRS18_UT_10012,1,0.959674428
2012606,NRS18_WI_10020,1,0.951321221
2012607,NRS18_OH_10011,1,0.518090399
2012608,NRS18_OH_10006,1,0.261791382
2012609,NRS18_PA_10028,1,0.855005318
2012610,NRS18_LA_10020,1,0.549230605
2012611,NRS18_LA_10018,1,0.716027123
2012612,NRS18_LA_10005,1,0.273656536
