"SITE_ID","VISIT_NO","AMMONIA_N_RESULT","AMMONIA_N_UNITS","ANC_RESULT","ANC_UNITS","CALCIUM_RESULT","CALCIUM_UNITS","CHLORIDE_RESULT","CHLORIDE_UNITS","COLOR_RESULT","COLOR_UNITS","COND_RESULT","COND_UNITS","DOC_RESULT","DOC_UNITS","MAGNESIUM_RESULT","MAGNESIUM_UNITS","NITRATE_N_RESULT","NITRATE_N_UNITS","NITRATE_NITRITE_N_RESULT","NITRATE_NITRITE_N_UNITS","NITRITE_N_RESULT","NITRITE_N_UNITS","NTL_RESULT","NTL_UNITS","PH_RESULT","PH_UNITS","POTASSIUM_RESULT","POTASSIUM_UNITS","PTL_RESULT","PTL_UNITS","SILICA_RESULT","SILICA_UNITS","SODIUM_RESULT","SODIUM_UNITS","SULFATE_RESULT","SULFATE_UNITS","TSS_RESULT","TSS_UNITS","TURB_RESULT","TURB_UNITS"
"NRS18_OK_10062",1,NA,"",6380,"uEQ/L",65.2,"mg/L",24.5,"mg/L",60,"APHA PT-CO",632,"uS/cm",5.49,"mg/L",12.3,"mg/L",1.57,"mg N/L",NA,"","0.01","mg N/L",3.24,"mg N/L",8.06,"Std. Units",2.32,"mg/L",223,"ug/L",30.5,"mg/L",55.9,"mg/L",20.4,"mg/L","264","mg/L",123,"NTU"
"NRS18_OK_10431",1,0.099,"mg N/L",3270,"uEQ/L",92.1,"mg/L",5.7,"mg/L",20,"APHA PT-CO",959,"uS/cm",4.45,"mg/L",39.4,"mg/L",0.133,"mg N/L",NA,"","0.024","mg N/L",0.257,"mg N/L",7.84,"Std. Units",4.53,"mg/L",55,"ug/L",6.65,"mg/L",23.7,"mg/L",365,"mg/L","23","mg/L",15.8,"NTU"
"NRS18_OK_10025",1,NA,"",5130,"uEQ/L",43.5,"mg/L",5.7,"mg/L",28,"APHA PT-CO",450,"uS/cm",2.18,"mg/L",28.1,"mg/L",0.033,"mg N/L",NA,"","","",0.305,"mg N/L",8.42,"Std. Units",1.76,"mg/L",50,"ug/L",8.65,"mg/L",6.55,"mg/L",8.2,"mg/L","18","mg/L",15.6,"NTU"
"NRS18_WI_10091",1,0.0454,"mg N/L",NA,"",86,"mg/L",36,"mg/L",20,"APHA PT-CO",NA,"",3.52,"mg/L",43.8,"mg/L",7.93,"mg N/L",7.95,"mg N/L","","",8.62,"mg N/L",NA,"",5.19,"mg/L",199,"ug/L",15.8,"mg/L",9.64,"mg/L",22.2,"mg/L","8","mg/L",7.68,"NTU"
"NRS18_WI_10006",1,0.0183,"mg N/L",2460,"uEQ/L",29.8,"mg/L",4.03,"mg/L",30,"APHA PT-CO",267,"uS/cm",4.88,"mg/L",14.1,"mg/L",NA,"",0.0922,"mg N/L","","",0.278,"mg N/L",8.17,"Std. Units",1.25,"mg/L",17.9,"ug/L",10.8,"mg/L",3.06,"mg/L",7.23,"mg/L","","",2.29,"NTU"
"NRS18_OK_10001",2,NA,"",6880,"uEQ/L",34.5,"mg/L",14.4,"mg/L",20,"APHA PT-CO",606,"uS/cm",5.93,"mg/L",34.6,"mg/L",0.071,"mg N/L",NA,"","0.028","mg N/L",0.609,"mg N/L",8.54,"Std. Units",3.8,"mg/L",54,"ug/L",13.3,"mg/L",39.3,"mg/L",10.3,"mg/L","<5.0","mg/L",9.4,"NTU"
"NRS18_OK_11085",1,NA,"",7130,"uEQ/L",66.8,"mg/L",217,"mg/L",49,"APHA PT-CO",1500,"uS/cm",3.54,"mg/L",32.9,"mg/L",0.144,"mg N/L",NA,"","0.031","mg N/L",1.175,"mg N/L",8.53,"Std. Units",8.35,"mg/L",249,"ug/L",10.4,"mg/L",191,"mg/L",142,"mg/L","16","mg/L",18.7,"NTU"
"NRS18_WI_10053",1,0.0462,"mg N/L",1606,"uEQ/L",24,"mg/L",5.82,"mg/L",25,"APHA PT-CO",204,"uS/cm",3.06,"mg/L",9.13,"mg/L",1.39,"mg N/L",1.41,"mg N/L","","",1.96,"mg N/L",8.03,"Std. Units",1.54,"mg/L",140,"ug/L",23.5,"mg/L",6.21,"mg/L",4.94,"mg/L","12.3","mg/L",14.5,"NTU"
"NRS18_OK_10053",1,0.02,"mg N/L",3320,"uEQ/L",212,"mg/L",5220,"mg/L",25,"APHA PT-CO",16000,"uS/cm",0.8,"mg/L",72.5,"mg/L",0.0637,"mg N/L",NA,"","0.002","mg N/L",0.9557,"mg N/L",8.59,"Std. Units",10.7,"mg/L",84,"ug/L",10.2,"mg/L",3120,"mg/L",639,"mg/L","40","mg/L",15.6,"NTU"
"NRS18_OK_10050",2,NA,"",3190,"uEQ/L",66.5,"mg/L",508,"mg/L",15,"APHA PT-CO",2380,"uS/cm",1.02,"mg/L",37.7,"mg/L",0.087,"mg N/L",NA,"","0.002","mg N/L",0.379,"mg N/L",8.57,"Std. Units",5.66,"mg/L",5,"ug/L",11.7,"mg/L",340,"mg/L",260,"mg/L","<5.0","mg/L",5.5,"NTU"
"NRS18_WI_10036",1,0.0379,"mg N/L",882,"uEQ/L",22.7,"mg/L",16.9,"mg/L",40,"APHA PT-CO",217,"uS/cm",4.14,"mg/L",7.19,"mg/L",4.66,"mg N/L",4.68,"mg N/L","","",5.68,"mg N/L",7.27,"Std. Units",3.54,"mg/L",659,"ug/L",13.3,"mg/L",5.94,"mg/L",14.3,"mg/L","23.3","mg/L",18.2,"NTU"
"NRS18_WI_10038",1,NA,"",4900,"uEQ/L",74.3,"mg/L",7.48,"mg/L",15,"APHA PT-CO",555,"uS/cm",1.84,"mg/L",30.7,"mg/L",2.57,"mg N/L",2.58,"mg N/L","","",2.98,"mg N/L",8.1,"Std. Units",1.53,"mg/L",34,"ug/L",12.9,"mg/L",3.97,"mg/L",29.6,"mg/L","","",3.39,"NTU"
"NRS18_WI_10019",1,0.0262,"mg N/L",2480,"uEQ/L",49.7,"mg/L",23.3,"mg/L",15,"APHA PT-CO",421,"uS/cm",2.07,"mg/L",18.2,"mg/L",9.77,"mg N/L",9.8,"mg N/L","","",10.1,"mg N/L",8.03,"Std. Units",3.8,"mg/L",296,"ug/L",16.6,"mg/L",6.03,"mg/L",17.9,"mg/L","29.8","mg/L",15.8,"NTU"
"NRS18_NC_10014",1,0.01,"mg N/L",NA,"",5.3,"mg/L",3.9,"mg/L",14,"APHA PT-CO",70.8,"uS/cm at 25 C",1.6,"mg/L",1.8,"mg/L",NA,"",0.73,"mg N/L","0.002","mg N/L",1,"mg N/L",7.63,"Std. Units",1.6,"mg/L",54,"ug/L",16.7,"mg/L",4.8,"mg/L",2.7,"mg/L","18.8","mg/L",11,"NTU"
"NRS18_OK_10023",1,NA,"",1540,"uEQ/L",9.26,"mg/L",4.69,"mg/L",32,"APHA PT-CO",262,"uS/cm",5.67,"mg/L",7.53,"mg/L",0.067,"mg N/L",NA,"","0.028","mg N/L",0.715,"mg N/L",7.83,"Std. Units",3.51,"mg/L",79,"ug/L",5.34,"mg/L",32.3,"mg/L",49.5,"mg/L","15","mg/L",15.2,"NTU"
"NRS18_OK_10029",1,NA,"",3320,"uEQ/L",84.5,"mg/L",286,"mg/L",10,"APHA PT-CO",1540,"uS/cm",1.87,"mg/L",28.1,"mg/L",0.072,"mg N/L",NA,"","0.002","mg N/L",0.744,"mg N/L",8.29,"Std. Units",6,"mg/L",71,"ug/L",6.14,"mg/L",185,"mg/L",205,"mg/L","26","mg/L",17.7,"NTU"
"NRS18_OK_10018",1,NA,"",1400,"uEQ/L",19,"mg/L",11.6,"mg/L",30,"APHA PT-CO",182,"uS/cm",6.47,"mg/L",4.44,"mg/L",0.056,"mg N/L",NA,"","0.002","mg N/L",0.758,"mg N/L",7.31,"Std. Units",3.76,"mg/L",30,"ug/L",4.69,"mg/L",7.03,"mg/L",3.55,"mg/L","8","mg/L",12.5,"NTU"
"NRS18_OK_10022",2,0.032,"mg N/L",283,"uEQ/L",2.67,"mg/L",1.5,"mg/L",25,"APHA PT-CO",41.4,"uS/cm",4.16,"mg/L",1.62,"mg/L",0.073,"mg N/L",NA,"","0.025","mg N/L",0.438,"mg N/L",6.86,"Std. Units",1.24,"mg/L",27,"ug/L",6.32,"mg/L",3.03,"mg/L",2.77,"mg/L","<5.0","mg/L",2.8,"NTU"
"NRS18_DE_10002",1,0.081,"mg N/L",1197.24,"uEQ/L",27.804,"mg/L",76.994,"mg/L",18,"APHA PT-CO",444,"uS/cm at 25 C",3.28,"mg/L",10.408,"mg/L",1.8909,"mg N/L",NA,"","0.0029","mg N/L",2.319,"mg N/L",7.93,"Std. Units",4.861,"mg/L",83.188,"ug/L",9.59,"mg/L",37.866,"mg/L",18.532,"mg/L","7.8","mg/L",12.65,"NTU"
"NRS18_OK_10003",1,NA,"",2680,"uEQ/L",30.4,"mg/L",63.4,"mg/L",30,"APHA PT-CO",473,"uS/cm",5.58,"mg/L",16.5,"mg/L",0.057,"mg N/L",NA,"","0.025","mg N/L",0.482,"mg N/L",7.19,"Std. Units",3.67,"mg/L",25,"ug/L",9.47,"mg/L",28.5,"mg/L",6.59,"mg/L","14","mg/L",0.3,"NTU"
"NRS18_OK_10830",1,NA,"",242,"uEQ/L",1.65,"mg/L",1.5,"mg/L",1,"APHA PT-CO",33.4,"uS/cm",1.72,"mg/L",1.24,"mg/L",0.07,"mg N/L",NA,"","","",0.232,"mg N/L",7.85,"Std. Units",0.97,"mg/L",15,"ug/L",7.19,"mg/L",2.71,"mg/L",1.67,"mg/L","6","mg/L",0.5,"NTU"
"NRS18_OK_10034",1,NA,"",336,"uEQ/L",2.34,"mg/L",1.5,"mg/L",25,"APHA PT-CO",49.6,"uS/cm",5.17,"mg/L",1.82,"mg/L",0.052,"mg N/L",NA,"","0.002","mg N/L",0.534,"mg N/L",7.02,"Std. Units",1.66,"mg/L",58,"ug/L",8.69,"mg/L",3.89,"mg/L",3.38,"mg/L","13","mg/L",1,"NTU"
"NRS18_DE_10002",2,0.061,"mg N/L",1033.94,"uEQ/L",18.073,"mg/L",22.83,"mg/L",71,"APHA PT-CO",222.8,"uS/cm at 25 C",7.87,"mg/L",6.524,"mg/L",1.4217,"mg N/L",NA,"","0.0053","mg N/L",2.375,"mg N/L",7.9,"Std. Units",8.829,"mg/L",291.831,"ug/L",10.087,"mg/L",10.783,"mg/L",11.802,"mg/L","48.9","mg/L",45.19,"NTU"
"NRS18_OK_11422",1,0.0294,"mg N/L",3530,"uEQ/L",44.7,"mg/L",8.54,"mg/L",55,"APHA PT-CO",378,"uS/cm",5.55,"mg/L",8.69,"mg/L",0.7,"mg N/L",NA,"","0.056","mg N/L",1.72,"mg N/L",7.93,"Std. Units",4.07,"mg/L",188,"ug/L",17.6,"mg/L",13.2,"mg/L",7.35,"mg/L","16","mg/L",14,"NTU"
"NRS18_OK_10340",1,NA,"",1990,"uEQ/L",35,"mg/L",5.1,"mg/L",31,"APHA PT-CO",253,"uS/cm",3.98,"mg/L",5.18,"mg/L",0.22,"mg N/L",NA,"","","",0.75,"mg N/L",8.07,"Std. Units",3.09,"mg/L",73,"ug/L",6.04,"mg/L",5.64,"mg/L",15.7,"mg/L","10","mg/L",13.1,"NTU"
"NRS18_KS_10098",1,0.064,"mg N/L",7130,"uEQ/L",226.829,"mg/L",138.944,"mg/L",36,"APHA PT-CO",1716.7,"uS/cm at 25 C",11.56,"mg/L",48.891,"mg/L",NA,"",NA,"","","",1.219,"mg N/L",8.24,"Std. Units",16.42,"mg/L",830.475,"ug/L",32.925,"mg/L",95.402,"mg/L",389.023,"mg/L","20.2","mg/L",9.59,"NTU"
