SITE_ID,VISIT_NO,PROTOCOL,XDEPTH_CM,SDDEPTH_CM,XWIDTH,XWXD,RP100,RPGT50,XBKF_W,XBKF_H,XINC_H,SINU,XSLOPE,REACHLEN,LSUB_DMM,XEMBED,PCT_FN,PCT_SA,PCT_SAFN,PCT_SFGF,LDCBF_G08,LDMB_BW5,LRBS_BW5,LRBS_G08,PCT_FAST,PCT_POOL,PCT_SLOW,RpRat,RPMXDEP_CM,RPXDEP_CM,PCT_BDRK,XFC_ALG,XFC_AQM,XFC_LWD,XFC_BRS,XFC_OHV,XFC_BIG,XFC_NAT,XFC_UCB,V1W_MSQ,XCDENBK,XCDENMID,XCL,XGB,XGW,XMW,XC,XCS,XCM,XCMGW,XPCAN,XPCM,XPCMG,QR1,QRVeg1,RDIST1,W1_HALL,W1H_WALL,W1H_LOG,W1_HNOAG,W1_HAG
NRS18_OK_10062,1,WADEABLE,31.04,17.65775647,16.22380952,5.9833,14.5533292,2,16.41818182,0,1,NA,0.940555556,360,-1.387841614,100,56.19047619,43.80952381,100,100,0.623550939,1.019722393,-2.407564007,-2.011392553,0,25,100,0.468857255,69.1645,18.00974488,0,0.004545455,0.875,0.009090909,0.022727273,0.875,0.009090909,0.906818182,0,0.001221884,100,100,0.088095238,0.038636364,0.088095238,0.15,0.231818182,0.147727273,0.856818182,0.465909091,0.545454545,0.545454545,0.545454545,0.676541764,0.309659091,0,0,0,0,0,0
NRS18_OK_10431,1,WADEABLE,22.43333333,19.4734087,2.611111111,0.737558824,19.74759199,1,6.345454545,0.259090909,1.468181818,1.276116201,0.28,150,1.222866713,58.27272727,2.857142857,11.42857143,14.28571429,57.14285714,0.588700544,0.721697891,0.501168822,0.634166169,0,82.66666667,82.66666667,0.880278989,88.34,23.72896134,10.47619048,0,0.036363636,0.004545455,0.05,0.009090909,0.009090909,0.077272727,0,0.005627125,76.73796791,74.06417112,0.281818182,0.046590909,0.05,0.089772727,0.722727273,0.440909091,1.261363636,0.8625,0.909090909,0.909090909,0.909090909,0.530093973,0.488125,0.614035088,1.590909091,0,0,0.090909091,1.5
NRS18_OK_10025,1,WADEABLE,149.94,56.77882305,18.20952381,27.0596,67.40690847,8,21.87272727,0.854545455,5.909090909,1.074557555,0.3171875,640,-1.145448281,96.36363636,60.95238095,31.42857143,92.38095238,92.38095238,1.730096513,1.556057834,-2.701506115,-2.875544794,0,27.72277228,100,0.449559214,195.0715,74.14759931,0,0,0,0.168181818,0.152272727,0,0.168181818,0.329545455,0,0.011955599,67.11229947,12.03208556,0.429545455,0.138636364,0,0.157954545,0.743181818,0.313636364,1.448863636,0.901136364,0.954545455,0.954545455,0.954545455,0.708658053,0.505511364,0,0,0,0,0,0
NRS18_WI_10091,1,WADEABLE,33.74545455,24.0036069,3.216666667,1.256175,23.07530415,3,3.640909091,0.42,1.26,2.106407445,0.84,150,1.203931388,53.41818182,16.19047619,0,16.19047619,30.47619048,1.390961617,1.480633643,-0.276702255,-0.187030228,31.81818182,15.45454545,68.18181818,0.68380481,85.05,27.63965003,0,0,0.120454545,0.013636364,0.045454545,0.2,0.156363636,0.354090909,0.022727273,5.45651e-4,79.14438503,52.94117647,0.102272727,0.173863636,0.186363636,0.204545455,0.159090909,0.056818182,0.856818182,0.55,0.409090909,0.409090909,0.409090909,0.431738216,0.3475,0.714904409,2.507595455,0.7197,0,1.666677273,0.840918182
NRS18_WI_10006,1,WADEABLE,79.01041667,18.84144077,20.8,12.88813636,13.44049848,1,18.31818182,0.5,0.65,1.02107721,0.046527778,720,0.163849512,83.22222222,8.333333333,46.875,55.20833333,66.66666667,0.850612605,0.562883966,-0.399034453,-0.686763092,1.834862385,0,96.33027523,0.170110462,57.79931818,19.79749101,0,0,0.016666667,0.027777778,0.044444444,0.044444444,0.288888889,0.341666667,0.022222222,0.004458306,97.21362229,52.05882353,0.156818182,0.252272727,0.492045455,0.490909091,0.482954545,0.326136364,1.030681818,1.465909091,0.909090909,0.909090909,0.909090909,0.690453723,0.759659091,0.555558249,1.250013636,0.136363636,0,1.250013636,0
NRS18_OK_10001,2,WADEABLE,33.59,23.21358667,6.461904762,2.259909091,18.91876431,1,8.609090909,0.290909091,3.818181818,1.359558375,0.266666667,240,0.649575578,66.54545455,35.23809524,20,55.23809524,59.04761905,0.80999659,0.901141071,-0.251565494,-0.160421012,12.5,55.20833333,87.5,0.563226088,64.864,22.29711508,0,0.161363636,0.259090909,0,0.031818182,0.027272727,0,0.104545455,0,8.13094e-4,83.42245989,17.2459893,0.168181818,0.027272727,0.002272727,0.185227273,0.363636364,0.195454545,1.3,0.551136364,0.818181818,0.818181818,0.590909091,0.611409605,0.348011364,0.228075592,0.295463636,0,0,0.068181818,0.227281818
NRS18_OK_11085,1,WADEABLE,44.81,20.58718587,5.26,2.705052632,24.40668544,1,7.3,0.436363636,3.2,1.320016727,0.039583333,240,-1.183492138,100,43.80952381,56.19047619,100,100,0.015750019,0.237325697,-1.420817835,-1.199242157,0,38,100,0.544670508,84.8825,26.55232812,0,0,0,0,0.063636364,0.004545455,0,0.068181818,0,0.001710616,64.70588235,42.2459893,0.063636364,0.171590909,0.094318182,0.1875,0.347727273,0.284090909,0.877272727,0.629545455,0.545454545,0.545454545,0.545454545,0.490248028,0.383295455,0.549489592,1.219704545,0,0,0.136363636,1.083340909
NRS18_WI_10053,1,WADEABLE,47.75,15.53645111,3.042857143,1.41485,21.78341678,0,2.781818182,0.281818182,0.872727273,1.245618969,0.003333333,150,-0.60436572,96.54545455,9.523809524,85.71428571,95.23809524,95.23809524,-1.168899484,-0.913389052,0.309023333,0.564533764,0,1,100,0.45619721,48.42395111,23.69844243,0,0.009090909,0.040909091,0.022727273,0.05,0.05,0.068181818,0.168181818,0.045454545,0.003434205,89.57219251,24.86631016,0.006818182,0.002380952,0.077272727,0.084090909,0.015909091,0.011111111,0.894318182,0.177272727,0.272727273,0.272727273,0.272727273,0.546144953,0.179772727,0,0,0,0,0,0
NRS18_OK_10053,1,WADEABLE,62.98,28.84930544,66.01904762,39.5415,18.54462256,4,146.7272727,0.327272727,3.545454545,1.217505467,0.049709695,2000,-0.507566948,100,2.857142857,97.14285714,100,100,0.433966957,0.419401152,-0.9269681,-0.941533906,0,0,99.00990099,0.294452565,131.7572576,26.1191867,0,0,0,0.004545455,0.022727273,0.004545455,0.004545455,0.059090909,0,1.22268e-4,14.97326203,0,0,0.267045455,0.018181818,0.323863636,0.079545455,0.079545455,0.771590909,0.421590909,0.181818182,0.181818182,0.045454545,0.370167803,0.289715909,0.254237288,0.340909091,0.068181818,0,0.136363636,0.204545455
NRS18_OK_10050,2,WADEABLE,24.71818182,10.06686983,46.3,10.4802381,6.785389525,0,62.14545455,0.2,0.7,1.161680002,0.095458333,1200,-0.460409377,100,0,100,100,100,0.276947028,0.394517451,-0.854926828,-0.737356405,0,0,100,0.274510058,46.273625,10.3346702,0,0,0.05,0,0,0.008333333,0,0.058333333,0,7.78e-7,48.7745098,0,0,0.013043478,0.05,0.215909091,0.0125,0.013043478,1.009375,0.260416667,0.083333333,0.083333333,0.083333333,0.489177678,0.2171875,0,0,0,0,0,0
NRS18_WI_10036,1,WADEABLE,44.68,14.10557594,3.014285714,1.3637,17.01094192,3,2.745454545,0.277272727,0.590909091,1.428651581,0.193733333,150,-0.595402385,93.09090909,15.23809524,79.04761905,94.28571429,94.28571429,0.826282176,0.866375922,-1.461778308,-1.421684561,0,0,100,0.380728333,62.73675,18.30525272,0,0,0.177272727,0,0.040909091,0.068181818,0.054545455,0.168181818,0.045454545,0,83.68983957,8.422459893,0.009090909,0,0.065909091,0.065909091,0.011363636,0.002272727,0.938636364,0.143181818,0.181818182,0.181818182,0.181818182,0.446528047,0.164431818,0.365392548,0.575777273,0.136363636,0,0.469713636,0.106063636
NRS18_WI_10038,1,WADEABLE,59.82,14.89314126,3.366666667,1.957025,26.98644719,1,3.388888889,0.268181818,NA,1.367769097,0.1375,160,0.69518728,67.18181818,15,23,38,50,NA,NA,NA,NA,5,4,95,0.451127502,79.12,27.2618191,0,0.318181818,0.05,0.004545455,0.05,0.05,0.109090909,0.209090909,0.036363636,NA,80.7486631,13.90374332,0.025,0.002272727,0.089772727,0.075,0.075,0.05,0.955681818,0.239772727,0.590909091,0.590909091,0.590909091,0.528148673,0.207897727,0.142861595,0.166672727,0,0,0.106063636,0.060609091
