"SITE_ID","VISIT_NO","SAMPLE_ID","H2O_dD","H2O_d18O","d.excess"
"NRS18_AL_10002","1",896800,-28.28,-4.99,11.62
"NRS18_AL_10002","2",107300,-27.69,-4.91,11.58
"NRS18_AL_10004","1",124360,-16.67,-3.37,10.31
"NRS18_AL_10004","2",134040,-8.13,-2.49,11.82
"NRS18_AL_10005","1",105460,-9.43,-2.36,9.43
"NRS18_AL_10006","1",134580,-17.68,-3.63,11.34
"NRS18_AL_10007","1",897540,-23.08,-3.89,8.08
"NRS18_AL_10008","1",124460,-17.04,-3.64,12.12
"NRS18_AL_10009","1",883980,-20.33,-3.98,11.53
"NRS18_AL_10009","2",105480,-15.52,-3.31,10.95
"NRS18_AL_10010","1",100100,-23.92,-4.3,10.51
"NRS18_AL_10010","2",105220,-22.01,-3.85,8.76
"NRS18_AL_10013","1",125660,-15.14,-2.88,7.91
"NRS18_AL_10014","1",109700,-16.04,-3.06,8.46
"NRS18_AL_10015","1",125620,-16.05,-3.26,10
"NRS18_AL_10016","1",100160,-23.97,-4.11,8.93
"NRS18_AL_10017","1",125720,-15.25,-2.8,7.12
"NRS18_AL_10018","1",125680,-19.58,-3.61,9.29
"NRS18_AL_10019","1",105180,-20.45,-4.27,13.72
"NRS18_AL_10020","1",110660,-24.33,-4.25,9.67
"NRS18_AL_10022","1",105500,-12.35,-2.61,8.53
"NRS18_AL_10023","1",105200,-26.84,-4.51,9.23
"NRS18_AL_10025","1",125500,-24.68,-4.38,10.32
"NRS18_AL_10031","1",134080,-23.46,-4.55,12.93
"NRS18_AL_10039","1",125600,-19.44,-3.68,10
"NRS18_AL_10188","1",124500,-15.33,-2.93,8.13
"NRS18_AL_10189","1",124480,-31.3,-5.3,11.14
"NRS18_AL_10191","1",125480,-27.58,-5.58,17.08
"NRS18_AL_10638","1",125560,-10.94,-1.87,4
"NRS18_AL_10938","1",125580,-17.32,-3.81,13.19
"NRS18_AL_11088","1",124520,-26.01,-4.5,10
"NRS18_AL_RF001","1",885860,-24.57,-4.54,11.78
"NRS18_AL_RF002","1",123120,-22.73,-4.53,13.55
"NRS18_AR_10001","1",890320,-17.71,-3.56,10.75
"NRS18_AR_10001","2",890240,-15.73,-2.85,7.04
"NRS18_AR_10002","1",899900,-40.25,-6.52,11.91
"NRS18_AR_10002","2",102880,-46.49,-6.83,8.19
"NRS18_AR_10004","1",897800,-30.65,-5.49,13.23
"NRS18_AR_10006","1",897820,-25.29,-4.05,7.08
"NRS18_AR_10007","1",103140,-18.27,-3.02,5.9
"NRS18_AR_10008","1",102080,-15.53,-2.5,4.48
"NRS18_AR_10009","1",103960,-13.64,-2.68,7.76
"NRS18_AR_10009","2",111580,-14.18,-1.86,0.71
"NRS18_AR_10010","1",100500,-48.32,-7.33,10.34
"NRS18_AR_10010","2",103040,-46.62,-6.86,8.24
