"lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"Lpt01_XCMGW","~","W1_HAG","ha3",-0.367528834078332,0.0582451646491126,-6.31003167889459,2.78978395940044e-10,-0.481687259064198,-0.253370409092466
"Lpt01_XCMGW","~","L_STRM_POWER","sp3",0.181291970206096,0.043791279618677,4.13991031512983,3.47441628743006e-05,0.0954626393165659,0.267121301095625
"Lpt01_XCMGW","~","PSUMPY_SY_WS_sc","p3",0.181437526186151,0.0345393779307375,5.2530629402183,1.49590387854559e-07,0.113741589393488,0.249133462978814
"L_STRM_POWER","~","L_NABD_NrmStorWs_ratio","d2",-0.196732660278947,0.0523840763535551,-3.75558135169058,0.000172939573182207,-0.299403563295311,-0.0940617572625829
"L_STRM_POWER","~","W1_HAG","ha4",-0.28434637034351,0.0455221645181082,-6.24632798887234,4.20214307794708e-10,-0.37356817329731,-0.195124567389711
"L_STRM_POWER","~","asin_PCTNATTERR_WsRp100","rn2",0.229770804714141,0.0444615921063649,5.16784923410891,2.36803205488911e-07,0.142627685490355,0.316913923937927
"LQLow_kmcl","~","asin_PCTURB_WS","u4",-0.129103435294978,0.0432188479382145,-2.98720214568291,0.00281543492712077,-0.213810820707191,-0.0443960498827642
"LQLow_kmcl","~","PSUMPY_SY_WS_sc","p4",0.365887288134969,0.0390169622175573,9.37764672951196,0,0.289415447402396,0.442359128867541
"LQLow_kmcl","~","asin_PCTNATTERR_WsRp100","rn3",-0.196047412773498,0.0524809942205319,-3.73558877237884,0.000187276497793487,-0.298908271318595,-0.0931865542284005
"LQLow_kmcl","~","W1_HAG","ha5",-0.304905277490572,0.0559807335812463,-5.44661096746892,5.13385796097054e-08,-0.414625499137947,-0.195185055843197
"LQbkf_kmcl","~","PSUMPY_SY_WS_sc","p5",0.35922643860205,0.0362329369623078,9.91436159248543,0,0.288211187101817,0.430241690102283
"LQbkf_kmcl","~","L_NABD_NrmStorWs_ratio","d3",-0.204878611063122,0.0304613845490157,-6.72584697302414,1.74573688838109e-11,-0.264581827698417,-0.145175394427826
"LQbkf_kmcl","~","W1_HAG","ha6",-0.281772145042687,0.0444232229035078,-6.34290190188872,2.25476970427962e-10,-0.368840062010757,-0.194704228074616
"evap_index_sc","~","LQLow_kmcl","l3",-0.201879186832664,0.0831558558697139,-2.42772063039027,0.0151940421361436,-0.364861669440907,-0.0388967042244213
"evap_index_sc","~","LQbkf_kmcl","b2",-0.204915017641324,0.0680782643675589,-3.00999180200857,0.00261254741183303,-0.338345963931736,-0.0714840713509126
"evap_index_sc","~","PSUMPY_SY_WS_sc","p6",-0.164700474577716,0.0471483499827651,-3.4932394163936,0.000477198465224316,-0.257109542474425,-0.0722914066810065
"evap_index_sc","~","L_NABD_NrmStorWs_ratio","d4",0.183600650209809,0.071041418027851,2.5844170246972,0.009754377219094,0.044362029464566,0.322839270955051
"evap_index_sc","~","asin_PCTNATTERR_WsRp100","rn4",-0.115763062185357,0.050451296352441,-2.2945507956161,0.0217588808631111,-0.214645786009498,-0.0168803383612158
"LRBS_use","~","asin_PCTURB_WS","u2",-0.1759665339157,0.0493821670209351,-3.56336192863104,0.000366135314025406,-0.272753802755274,-0.0791792650761253
"LRBS_use","~","Lpt01_XCMGW","x2",0.126901704223448,0.0525079559678962,2.41680906986814,0.0156572275316358,0.023988001624557,0.22981540682234
"LRBS_use","~","W1_HAG","ha2",-0.19451753893787,0.0674681178423943,-2.88310308866572,0.00393778548793722,-0.326752620013667,-0.0622824578620727
"LRBS_use","~","PSUMPY_SY_WS_sc","p2",0.206520271455069,0.0493445207041482,4.18527262010081,2.84824055201138e-05,0.109806788040547,0.30323375486959
"LRBS_use","~","L_STRM_POWER","sp2",-0.40384890882703,0.0483555310486986,-8.35165905675435,0,-0.498624008135787,-0.309073809518272
"L_NTL","~","asin_PCTURB_WS","u3",0.180249629096041,0.0592394118354005,3.04273157871441,0.00234441351166281,0.0641425154333207,0.296356742758762
"L_NTL","~","Lpt01_XCMGW","x3",-0.199364051849056,0.0434435546788002,-4.58903635586577,4.45296877638057e-06,-0.284511854379901,-0.114216249318211
"L_NTL","~","evap_index_sc","e2",0.201049184754528,0.0675878725049913,2.97463401795463,0.00293338289599254,0.0685793888530598,0.333518980655996
"L_NTL","~","asin_PCTWET_WsRp100","w2",0.186988379272296,0.0441534816489288,4.2349634114716,2.28588922250861e-05,0.100449145448345,0.273527613096247
"L_NTL","~","LQLow_kmcl","l2",-0.147905986727297,0.0718709170966777,-2.05793932653372,0.039595958030832,-0.28877039577265,-0.00704157768194527
"OE_SCORE","~","Lpt01_XCMGW","x1",0.163798299494893,0.0660639886940875,2.47938858571451,0.0131607839090597,0.0343152609794202,0.293281338010366
"OE_SCORE","~","LRBS_use","r1",0.216035246723644,0.0618168841708682,3.49476117441475,0.000474486123857032,0.0948763801122579,0.33719411333503
"OE_SCORE","~","L_NTL","n1",-0.175717141018374,0.0536460621596937,-3.2754900163091,0.00105478842454287,-0.280861490763771,-0.0705727912729777
"LQLow_kmcl","~~","LQbkf_kmcl","",0.648479323470056,0.0344296323685197,18.8349186110679,0,0.580998484026803,0.715960162913309
"L_STRM_POWER","~~","LQLow_kmcl","",0.448817073384585,0.0484310918828861,9.26712687935871,0,0.353893877562178,0.543740269206992
"L_STRM_POWER","~~","LQbkf_kmcl","",0.623462290762713,0.0353013280993559,17.661156798633,0,0.554272959081543,0.692651622443882
"Lpt01_XCMGW","~~","Lpt01_XCMGW","",0.701995023468511,0.0441902795024535,15.885733952634,0,0.615383667176943,0.788606379760078
"L_STRM_POWER","~~","L_STRM_POWER","",0.783016613628464,0.0390018756588833,20.0763835174711,0,0.706574342007543,0.859458885249385
"LQLow_kmcl","~~","LQLow_kmcl","",0.695926359264016,0.0435682047819431,15.973262216038,0,0.610534247020342,0.78131847150769
"LQbkf_kmcl","~~","LQbkf_kmcl","",0.634843912394283,0.0323696050411863,19.6123465697688,0,0.571400652319771,0.698287172468794
"evap_index_sc","~~","evap_index_sc","",0.671757880799439,0.0450402543201123,14.9146111837,0,0.583480604477494,0.760035157121383
"LRBS_use","~~","LRBS_use","",0.781377061680273,0.0375950917391981,20.7840179537474,0,0.707692035875966,0.855062087484581
"L_NTL","~~","L_NTL","",0.758317758850023,0.0397973394223786,19.0544837885221,0,0.680316406901645,0.836319110798401
"OE_SCORE","~~","OE_SCORE","",0.863533319158436,0.0402843184539401,21.4359669543814,0,0.784577505846972,0.942489132469901
"W1_HAG","~~","W1_HAG","",1,0,NA,NA,1,1
"W1_HAG","~~","PSUMPY_SY_WS_sc","",-0.320491489997509,0,NA,NA,-0.320491489997509,-0.320491489997509
"W1_HAG","~~","L_NABD_NrmStorWs_ratio","",0.185639367562439,0,NA,NA,0.185639367562439,0.185639367562439
"W1_HAG","~~","asin_PCTNATTERR_WsRp100","",-0.087883934186724,0,NA,NA,-0.087883934186724,-0.087883934186724
"W1_HAG","~~","asin_PCTURB_WS","",0.00534765549800149,0,NA,NA,0.00534765549800149,0.00534765549800149
"W1_HAG","~~","asin_PCTWET_WsRp100","",0.0823318302388444,0,NA,NA,0.0823318302388444,0.0823318302388444
"PSUMPY_SY_WS_sc","~~","PSUMPY_SY_WS_sc","",1,0,NA,NA,1,1
"PSUMPY_SY_WS_sc","~~","L_NABD_NrmStorWs_ratio","",-0.193129273339922,0,NA,NA,-0.193129273339922,-0.193129273339922
"PSUMPY_SY_WS_sc","~~","asin_PCTNATTERR_WsRp100","",0.03001491405509,0,NA,NA,0.03001491405509,0.03001491405509
"PSUMPY_SY_WS_sc","~~","asin_PCTURB_WS","",0.188877793881233,0,NA,NA,0.188877793881233,0.188877793881233
"PSUMPY_SY_WS_sc","~~","asin_PCTWET_WsRp100","",-0.0912755693414036,0,NA,NA,-0.0912755693414036,-0.0912755693414036
"L_NABD_NrmStorWs_ratio","~~","L_NABD_NrmStorWs_ratio","",1,0,NA,NA,1,1
"L_NABD_NrmStorWs_ratio","~~","asin_PCTNATTERR_WsRp100","",-0.136926001749786,0,NA,NA,-0.136926001749786,-0.136926001749786
"L_NABD_NrmStorWs_ratio","~~","asin_PCTURB_WS","",0.119469158692323,0,NA,NA,0.119469158692323,0.119469158692323
"L_NABD_NrmStorWs_ratio","~~","asin_PCTWET_WsRp100","",0.109888551917399,0,NA,NA,0.109888551917399,0.109888551917399
"asin_PCTNATTERR_WsRp100","~~","asin_PCTNATTERR_WsRp100","",1,0,NA,NA,1,1
"asin_PCTNATTERR_WsRp100","~~","asin_PCTURB_WS","",-0.338639952782463,0,NA,NA,-0.338639952782463,-0.338639952782463
"asin_PCTNATTERR_WsRp100","~~","asin_PCTWET_WsRp100","",-0.799067574206976,0,NA,NA,-0.799067574206976,-0.799067574206976
"asin_PCTURB_WS","~~","asin_PCTURB_WS","",1,0,NA,NA,1,1
"asin_PCTURB_WS","~~","asin_PCTWET_WsRp100","",-0.00803833184242015,0,NA,NA,-0.00803833184242015,-0.00803833184242015
"asin_PCTWET_WsRp100","~~","asin_PCTWET_WsRp100","",1,0,NA,NA,1,1
"urb_oe",":=","u2*r1+u3*n1+u4*l2*n1+u4*l3*e2*n1","urb_oe",-0.0739640305303188,0.0232274501082059,-3.18433707470061,0.00145085958277624,-0.119488996195103,-0.0284390648655343
"dam_oe",":=","d2*sp2*r1+d2*sp3*x1+d2*sp3*x2*r1+d2*sp3*x3*n1+d3*b2*e2*n1+d4*e2*n1","dam_oe",0.00112542406424536,0.00766068205920274,0.146909120564975,0.883203752866452,-0.0138892368688041,0.0161400849972949
"precip_oe",":=","p2*r1+p3*x1+p3*x2*r1+p3*x3*n1+p4*l2*n1+p4*l3*e2*n1+p5*b2*e2*n1+p6*e2*n1","precip_oe",0.106202803139895,0.0215544959677759,4.92717636722608,8.34264455518152e-07,0.0639567673381407,0.14844883894165
"strpwr_oe",":=","sp2*r1+sp3*x1+sp3*x2*r1+sp3*x3*n1","strpwr_oe",-0.0462291566677696,0.0322493507247755,-1.43349108210895,0.151717545653412,-0.10943672261313,0.0169784092775911
"hag_oe",":=","ha2*r1+ha3*x1+ha3*x2*r1+ha3*x3*n1+ha4*sp2*r1+ha4*sp3*x1+ha4*sp3*x2*r1+ha4*sp3*x3*n1+ha5*l2*n1+ha5*l3*e2*n1+ha6*b2*e2*n1","hag_oe",-0.124167936583895,0.0299698577975897,-4.1430939520134,3.42651486548995e-05,-0.182907778488958,-0.0654280946788328
"rnat_oe",":=","rn2*sp2*r1+rn2*sp3*x1+rn2*sp3*x2*r1+rn2*sp3*x3*n1+rn3*l2*n1+rn3*l3*e2*n1+rn4*e2*n1","rnat_oe",-0.0130258541979844,0.00963013008800587,-1.35261456272619,0.176178797648971,-0.0319005623369114,0.00584885394094269
"rwet_oe",":=","w2*n1","rwet_oe",-0.0328570634093873,0.0132958351365523,-2.47122975517786,0.0134649279002259,-0.0589164214214119,-0.00679770539736266
"lflow_oe",":=","l2*n1+l3*e2*n1","lflow_oe",0.0331215622309916,0.0142264916852978,2.32816093831628,0.0199035594863572,0.00523815090144944,0.0610049735605338
"bflow_oe",":=","b2*e2*n1","bflow_oe",0.0072391942908271,0.00373439127959926,1.93852056434856,0.0525597443939987,-8.00781213678887e-05,0.0145584667030221
"dexcess_oe",":=","e2*n1","dexcess_oe",-0.0353277879491405,0.0146306184269848,-2.41464761899482,0.0157504391940853,-0.0640032731375787,-0.00665230276070234
"xcmgw_oe",":=","x2*r1+x3*n1","xcmgw_oe",0.0624469221943186,0.0194055931304516,3.21798575155767,0.00129094230606408,0.0244126585599956,0.100481185828642
"urb_tot",":=","urb_oe","urb_tot",-0.0739640305303188,0.0232274501082059,-3.18433707470061,0.00145085958277624,-0.119488996195103,-0.0284390648655343
"dam_tot",":=","dam_oe","dam_tot",0.00112542406424536,0.00766068205920274,0.146909120564975,0.883203752866452,-0.0138892368688041,0.0161400849972949
"precip_tot",":=","precip_oe","precip_tot",0.106202803139895,0.0215544959677759,4.92717636722608,8.34264455518152e-07,0.0639567673381407,0.14844883894165
"strpwr_tot",":=","strpwr_oe","strpwr_tot",-0.0462291566677696,0.0322493507247755,-1.43349108210895,0.151717545653412,-0.10943672261313,0.0169784092775911
