"lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"L_STRM_POWER","~","drought_mean","ph2",-0.0937099877363654,0.0390157523179739,-2.40185007769784,0.0163123923463484,-0.170179457109329,-0.0172405183634014
"L_STRM_POWER","~","L_NABD_NrmStorWs_ratio","d2",-0.448516813710189,0.0502663545506681,-8.92280368686946,0,-0.54703705826362,-0.349996569156759
"L_STRM_POWER","~","W1_HAG","ha3",-0.104943067526221,0.046897790373092,-2.23769748406811,0.0252407894436089,-0.196861047611991,-0.0130250874404519
"L_STRM_POWER","~","asin_PCTNATTERR_WsRp100","rn2",0.340511196081574,0.0416637567761164,8.17283947559839,2.22044604925031e-16,0.258851733339749,0.422170658823399
"LQLow_kmcl","~","asin_PCTAGR_WS","a2",0.182689985396807,0.0582967268727465,3.1337949006227,0.00172561424347717,0.068430500309656,0.296949470483959
"LQLow_kmcl","~","PSUMPY_SY_WS_sc","p3",0.185892241110758,0.0476334001945633,3.90256081555091,9.51803129050077e-05,0.0925324922682307,0.279251989953285
"LQLow_kmcl","~","L_NABD_NrmStorWs_ratio","d3",-0.456971686140793,0.0517479092067656,-8.83072752398367,0,-0.558395724461303,-0.355547647820284
"LQLow_kmcl","~","asin_PCTWET_WsRp100","w2",0.270200458097021,0.0457423246702717,5.90701194232542,3.48368511815522e-09,0.180547149174151,0.359853767019892
"LQLow_kmcl","~","W1_HAG","ha4",-0.205824982336975,0.0495217649372725,-4.15625296468505,3.23509617479179e-05,-0.302885858064887,-0.108764106609062
"LQLow_kmcl","~","W1_HNOAG","na4",0.112861565481276,0.0479557266513006,2.35345334879239,0.0185999416329314,0.0188700683922792,0.206853062570273
"LQbkf_kmcl","~","asin_PCTURB_WS","u3",0.129710646355333,0.049767644580635,2.60632480094918,0.00915196305188259,0.0321678553818985,0.227253437328768
"LQbkf_kmcl","~","PSUMPY_SY_WS_sc","p4",0.181837232174081,0.0463373103691527,3.92420774372636,8.70156234793473e-05,0.0910177727100873,0.272656691638075
"LQbkf_kmcl","~","L_NABD_NrmStorWs_ratio","d4",-0.528336700038756,0.0437191241744082,-12.0847960707325,0,-0.61402460885623,-0.442648791221282
"LQbkf_kmcl","~","W1_HAG","ha5",-0.151040373165396,0.0471740306952353,-3.20176951045762,0.00136586238511582,-0.243499774333645,-0.0585809719971481
"LQbkf_kmcl","~","drought_mean","ph3",0.0919298493441642,0.0428153558204018,2.1471233295312,0.0317834644576698,0.00801329395090938,0.175846404737419
"evap_index_sc","~","LQLow_kmcl","l5",-0.324012955127439,0.0660720020485398,-4.90393729691137,9.39344857897595e-07,-0.453511699529033,-0.194514210725844
"evap_index_sc","~","LQbkf_kmcl","b3",-0.224532644269335,0.0643717934023617,-3.48805948073985,0.000486539829207544,-0.350699040958217,-0.098366247580453
"evap_index_sc","~","PSUMPY_SY_WS_sc","p7",-0.157063859759182,0.0389504478071919,-4.03240190040079,5.52096638828381e-05,-0.233405334642986,-0.0807223848753792
"evap_index_sc","~","asin_PCTNATTERR_WsRp100","rn3",-0.147043860846112,0.0592636738054279,-2.48118031509286,0.0130948112483458,-0.263198527096281,-0.0308891945959438
"evap_index_sc","~","drought_mean","ph5",0.116619680376378,0.0511280470614666,2.28093359866018,0.0225523764134326,0.0164105495360346,0.216828811216721
"evap_index_sc","~","L_STRM_POWER","sp2",-0.174979880366825,0.0628617861812109,-2.7835651990927,0.00537650552779145,-0.298186717285856,-0.0517730434477938
"LRBS_use","~","LQLow_kmcl","l2",0.185341238402956,0.0724993030236763,2.55645545092246,0.0105744610372127,0.0432452155722948,0.327437261233617
"LRBS_use","~","LQbkf_kmcl","b2",-0.41392166608549,0.0740977195128835,-5.58615931511254,2.32146286638368e-08,-0.559150527667293,-0.268692804503688
"LRBS_use","~","W1_HAG","ha2",-0.136120324384514,0.0539231885570037,-2.52433745160707,0.0115916598266332,-0.241807831887804,-0.0304328168812246
"LRBS_use","~","PSUMPY_SY_WS_sc","p2",0.337996996276601,0.0546638371131094,6.18319192590202,6.28182617035122e-10,0.230857844278143,0.44513614827506
"L_NTL","~","asin_PCTURB_WS","u2",0.3095338672041,0.075604202422901,4.09413573960725,4.23746020332683e-05,0.161352353375338,0.457715381032862
"L_NTL","~","W1_HNOAG","na2",0.151839140905261,0.0584783488767175,2.59650184763876,0.00941783991820633,0.0372236832315265,0.266454598578996
"L_NTL","~","LQLow_kmcl","l3",-0.306888184785805,0.0581814863235579,-5.27467076174616,1.32994632418004e-07,-0.420921802546988,-0.192854567024622
"L_NTL","~","PSUMPY_SY_WS_sc","p5",-0.17212539752259,0.0492064378277007,-3.49802597223756,0.000468715485316906,-0.268568243472393,-0.0756825515727873
"L_SULF","~","asin_PCTURB_WS","u4",0.179993420615171,0.0465854397993239,3.86372697972862,0.000111670030611632,0.0886876364045373,0.271299204825804
"L_SULF","~","evap_index_sc","e2",0.110241608087672,0.0507798654274658,2.17097085940769,0.029933375227474,0.0107149007100487,0.209768315465296
