"Effects","Predictor","est.std","se","pvalue","ci.lower","ci.upper","Model","Category","model"
"Total","Developed Ws",-0.1,0.03,0,-0.15,-0.05,"OE","Land use","OE"
"Total","Agriculture Ws",0.26,0.07,0,0.13,0.4,"OE","Land use","OE"
"Total","Dam",-0.17,0.03,0,-0.24,-0.11,"OE","Land use","OE"
"Total","Precipitation",0.2,0.03,0,0.13,0.27,"OE","Climate","OE"
"Total","Drought index",0,0.02,0.85,-0.04,0.04,"OE","Climate","OE"
"Total","Specific stream power",0.29,0.05,0,0.18,0.4,"OE","Hydromorphology","OE"
"Total","Ag index Rp-S",-0.08,0.02,0,-0.12,-0.04,"OE","Riparian land use","OE"
"Total","Non-ag index Rp-S",-0.04,0.02,0.04,-0.08,0,"OE","Riparian land use","OE"
"Total","Forest/Grass Rp-W",0.36,0.09,0,0.19,0.52,"OE","Riparian cover","OE"
"Total","Wetland Rp-W",0.18,0.06,0,0.07,0.29,"OE","Riparian cover","OE"
"Total","Summer flow/km2",0.17,0.03,0,0.11,0.23,"OE","Hydromorphology","OE"
"Total","Bankfull flow/km2",-0.07,0.03,0.01,-0.12,-0.02,"OE","Hydromorphology","OE"
"Total","Evaporation indicator",-0.03,0.01,0.06,-0.06,0,"OE","Hydromorphology","OE"
"Total","Relative bed stability",0.18,0.05,0,0.08,0.29,"OE","Substrate","OE"
"Total","TN",-0.15,0.06,0.01,-0.27,-0.04,"OE","Chemistry","OE"
"Total","Sulfate",-0.25,0.06,0,-0.37,-0.14,"OE","Chemistry","OE"
"Total","Developed Ws",-0.13,0.04,0,-0.2,-0.06,"MMI","Land use","MMI"
"Total","Agriculture Ws",0.01,0.02,0.48,-0.03,0.06,"MMI","Land use","MMI"
"Total","Dam",-0.08,0.02,0,-0.12,-0.04,"MMI","Land use","MMI"
"Total","Precipitation",0.27,0.04,0,0.2,0.34,"MMI","Climate","MMI"
"Total","Drought index",-0.1,0.05,0.04,-0.2,-0.01,"MMI","Climate","MMI"
"Total","Specific stream power",0.04,0.01,0.01,0.01,0.06,"MMI","Hydromorphology","MMI"
"Total","Ag index Rp-S",-0.1,0.02,0,-0.14,-0.06,"MMI","Riparian land use","MMI"
"Total","Non-ag index Rp-S",-0.24,0.05,0,-0.34,-0.14,"MMI","Riparian land use","MMI"
"Total","Forest/Grass Rp-W",0.03,0.01,0,0.01,0.04,"MMI","Riparian cover","MMI"
"Total","Wetland Rp-W",0.07,0.01,0,0.04,0.09,"MMI","Riparian cover","MMI"
"Total","Summer flow/km2",0.25,0.03,0,0.18,0.31,"MMI","Hydromorphology","MMI"
"Total","Bankfull flow/km2",-0.09,0.03,0,-0.15,-0.04,"MMI","Hydromorphology","MMI"
"Total","Evaporation indicator",-0.04,0.02,0.03,-0.07,0,"MMI","Hydromorphology","MMI"
"Total","Site-riparian cover index",0.13,0.05,0,0.04,0.22,"MMI","Riparian cover","MMI"
"Total","Relative bed stability",0.23,0.05,0,0.13,0.33,"MMI","Substrate","MMI"
"Total","TN",-0.28,0.06,0,-0.39,-0.17,"MMI","Chemistry","MMI"
"Total","Sulfate",-0.33,0.05,0,-0.42,-0.23,"MMI","Chemistry","MMI"
"Total","Developed Ws",-0.12,0.03,0,-0.18,-0.05,"EPT","Land use","EPT"
"Total","Agriculture Ws",0.01,0.02,0.56,-0.03,0.05,"EPT","Land use","EPT"
"Total","Dam",-0.09,0.02,0,-0.14,-0.05,"EPT","Land use","EPT"
"Total","Precipitation",0.29,0.04,0,0.21,0.36,"EPT","Climate","EPT"
"Total","Drought index",0.04,0.02,0.09,-0.01,0.08,"EPT","Climate","EPT"
"Total","Specific stream power",0.04,0.01,0,0.02,0.07,"EPT","Hydromorphology","EPT"
"Total","Ag index Rp-S",-0.1,0.02,0,-0.14,-0.06,"EPT","Riparian land use","EPT"
"Total","Non-ag index Rp-S",-0.1,0.03,0,-0.16,-0.03,"EPT","Riparian land use","EPT"
"Total","Forest/Grass Rp-W",0.11,0.04,0.01,0.03,0.2,"EPT","Riparian cover","EPT"
"Total","Wetland Rp-W",0.07,0.01,0,0.04,0.09,"EPT","Riparian cover","EPT"
"Total","Summer flow/km2",0.25,0.03,0,0.19,0.31,"EPT","Hydromorphology","EPT"
"Total","Bankfull flow/km2",-0.08,0.03,0,-0.13,-0.03,"EPT","Hydromorphology","EPT"
"Total","Evaporation indicator",-0.05,0.02,0.04,-0.1,0,"EPT","Hydromorphology","EPT"
"Total","Site-riparian cover index",0.14,0.05,0,0.05,0.23,"EPT","Riparian cover","EPT"
"Total","Relative bed stability",0.21,0.05,0,0.12,0.3,"EPT","Substrate","EPT"
"Total","TN",-0.18,0.05,0,-0.27,-0.09,"EPT","Chemistry","EPT"
"Total","Sulfate",-0.44,0.05,0,-0.53,-0.34,"EPT","Chemistry","EPT"
